"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,0.9944405837,0.0204883214,0.9905951506,0.0405725251
0,1,5,0.9940236275,0.0201482973,0.9883908891,0.0477832913
0,2,5,0.9947185546,0.0209390058,0.9889786921,0.0386095142
0,3,5,0.9949965254,0.0177770719,0.9880969875,0.0413251213
0,4,5,0.9952744962,0.0172415513,0.9888317414,0.0452687108
1,0,5,0.9947251527,0.0209116919,0.9882283697,0.0489996334
1,1,5,0.9956968351,0.0196868437,0.987198352,0.042064856
1,2,5,0.9938922821,0.0248387726,0.9874926428,0.0468555565
1,3,5,0.9944475292,0.0230685057,0.988375515,0.0398624935
1,4,5,0.9941699056,0.0230747615,0.9892583873,0.0381398194
2,0,5,0.9943938332,0.0184160672,0.992425346,0.0371575394
2,1,5,0.9939733707,0.0199123344,0.991405681,0.0307443491
2,2,5,0.9945339874,0.0184710089,0.9908230153,0.0374609148
2,3,5,0.9941135249,0.018428702,0.9900946832,0.0356842528
2,4,5,0.9941135249,0.0181984768,0.9918426803,0.0356879282
3,0,5,0.9952679193,0.0186761379,0.98972854,0.0417537858
3,1,5,0.993736952,0.0223765014,0.988701394,0.0416322662
3,2,5,0.9949895616,0.0173097253,0.9889948643,0.0399031628
3,3,5,0.9948503827,0.0179479621,0.9904622157,0.0364461518
3,4,5,0.9942936674,0.0181218857,0.9898752751,0.0375176815
4,0,5,0.9945247789,0.0203255773,0.989239494,0.039764536
4,1,5,0.9946651692,0.018058436,0.9915660899,0.035479372
4,2,5,0.9943843886,0.0198118919,0.9902573797,0.0419740222
4,3,5,0.9943843886,0.0197488407,0.9899665552,0.0458424131
4,4,5,0.9945247789,0.0185489382,0.9904027919,0.0381018577
0,0,10,0.9937456567,0.0203108058,0.9883908891,0.0555650517
0,1,10,0.9945795691,0.0188034144,0.9875091844,0.062252978
0,2,10,0.9938846421,0.0200034861,0.9875091844,0.0509401638
0,3,10,0.9958304378,0.0172650062,0.987803086,0.0587963695
0,4,10,0.9944405837,0.0186805079,0.9880969875,0.0576964222
1,0,10,0.9945863409,0.0222304122,0.9863154797,0.063407425
1,1,10,0.9934758468,0.0223913588,0.9891112419,0.0533194701
1,2,10,0.991532482,0.0288612269,0.9873454974,0.0601833449
1,3,10,0.9934758468,0.0241737864,0.9889640966,0.0581954944
1,4,10,0.9944475292,0.0218052307,0.9879340789,0.0581383804
2,0,10,0.992571829,0.0260225783,0.9906773489,0.0401222123
2,1,10,0.9943938332,0.0180413068,0.9916970138,0.04234388
2,2,10,0.9952347582,0.0158089006,0.9908230153,0.0450981717
2,3,10,0.9929922915,0.0238153481,0.9919883467,0.0432465507
2,4,10,0.9948142957,0.016962392,0.9928623452,0.0414991191
3,0,10,0.9949895616,0.0176905832,0.9889948643,0.0574545042
3,1,10,0.9917884482,0.0266797838,0.9901687454,0.0473531872
3,2,10,0.9947112039,0.0198808233,0.9885546588,0.0578446833
3,3,10,0.9944328462,0.0176796321,0.988701394,0.0509067798
3,4,10,0.9944328462,0.019722503,0.9900220103,0.052944375
4,0,10,0.9939632177,0.0207165057,0.9890940817,0.0588748451
4,1,10,0.9917169732,0.0252125719,0.9895303185,0.049806379
4,2,10,0.9949459497,0.0199918706,0.9893849062,0.054199482
4,3,10,0.9948055595,0.021127656,0.9899665552,0.0477163237
4,4,10,0.9936824372,0.0220326545,0.9889486695,0.0490335234
0,0,25,0.9956914524,0.0191184476,0.9861866275,0.0845571241
0,1,25,0.9951355108,0.0175697183,0.9880969875,0.0933580893
0,2,25,0.9940236275,0.0207650814,0.9870683321,0.090809565
0,3,25,0.9944405837,0.0187513204,0.9882439383,0.0903054378
0,4,25,0.99485754,0.0175894899,0.987803086,0.0859640882
1,0,25,0.9938922821,0.0229197195,0.9882283696,0.080311282
1,1,25,0.9937534703,0.0225303553,0.9854326075,0.0984826693
1,2,25,0.9936146585,0.0263919746,0.9839611537,0.1123477782
1,3,25,0.9926429761,0.0281337712,0.9867569159,0.0920866878
1,4,25,0.9927817879,0.0251527917,0.9861683343,0.1101914721
2,0,25,0.9904695165,0.0354041574,0.9871813547,0.1143872771
2,1,25,0.9943938332,0.0180716654,0.9900946832,0.0769764052
2,2,25,0.9948142957,0.0166477469,0.9898033503,0.0779595519
2,3,25,0.9945339874,0.0174233056,0.9905316824,0.0681119829
2,4,25,0.994253679,0.0203978775,0.9912600146,0.0809106411
3,0,25,0.995546277,0.0176627577,0.9878209831,0.0763332441
3,1,25,0.9927627001,0.0238158341,0.986647102,0.1077205656
3,2,25,0.9929018789,0.025115403,0.9882611886,0.0858263997
3,3,25,0.9952679193,0.0165861127,0.9889948643,0.0998935754
3,4,25,0.9942936674,0.0188420542,0.9889948643,0.0817802409
4,0,25,0.9953671206,0.0186192914,0.9885124327,0.0825383391
4,1,25,0.9953671206,0.0199057639,0.9904027919,0.0889772274
4,2,25,0.994103608,0.0222791312,0.9885124327,0.0815202015
4,3,25,0.9936824372,0.0229215523,0.9879307838,0.0953610416
4,4,25,0.9943843886,0.0207457678,0.9879307838,0.086995979
0,0,50,0.9944405837,0.0216261574,0.8655400441,0.1665809894
0,1,50,0.9940236275,0.0220482899,0.8358559882,0.1720393201
0,2,50,0.9951355108,0.018960876,0.8997795738,0.1638991762
0,3,50,0.9943015983,0.0223338648,0.927994122,0.161582024
0,4,50,0.9945795691,0.0212201936,0.8983100661,0.1605124821
1,0,50,0.9938922821,0.0237363762,0.9793996469,0.1350993858
1,1,50,0.9938922821,0.0240574652,0.9155385521,0.1691133862
1,2,50,0.9940310938,0.0219108199,0.8126839317,0.2124411
1,3,50,0.9938922821,0.0232826153,0.9649793996,0.1558524775
1,4,50,0.9936146585,0.0234589979,0.893025309,0.1730067096
2,0,50,0.994253679,0.0175434527,0.9458120903,0.1513783002
2,1,50,0.9935529082,0.020462553,0.8368536053,0.1790417544
2,2,50,0.9948142957,0.0179263868,0.9431900947,0.1521645345
2,3,50,0.9939733707,0.018980122,0.9631463948,0.1458321132
2,4,50,0.9935529082,0.0194340384,0.826802622,0.1763583919
3,0,50,0.9948503827,0.0189399839,0.966104182,0.1530521096
3,1,50,0.9944328462,0.0182261902,0.8968451943,0.1688466167
3,2,50,0.9940153097,0.0203392169,0.8952311077,0.1669509173
3,3,50,0.9934585943,0.0194277111,0.9345561262,0.1636430793
3,4,50,0.9933194154,0.0211487403,0.8500366838,0.1714180614
4,0,50,0.9939632177,0.0197532874,0.9745528573,0.1378837244
4,1,50,0.9942439983,0.0217860479,0.8342300422,0.1801499311
4,2,50,0.9939632177,0.0238598645,0.9264214047,0.1590039354
4,3,50,0.9949459497,0.0215420043,0.9208957394,0.1685653862
4,4,50,0.9936824372,0.0214799588,0.8183801076,0.1892526171
0,0,75,0.9937456567,0.0210963155,0.8110213079,0.292053021
0,1,75,0.9945795691,0.0209120101,0.8108743571,0.3268264566
0,2,75,0.9949965254,0.0182721539,0.8101396033,0.3072492656
0,3,75,0.9943015983,0.0192071061,0.811609111,0.3195610107
0,4,75,0.9938846421,0.0218729943,0.8108743571,0.2913289593
1,0,75,0.9934758468,0.02567903,0.8010594467,0.2799201133
1,1,75,0.9916712937,0.0319697474,0.8017951736,0.2739522517
1,2,75,0.9929205997,0.0250096731,0.7992937022,0.3184017868
1,3,75,0.9947251527,0.0196979761,0.8016480283,0.3092930313
1,4,75,0.9948639645,0.0222844951,0.800765156,0.3393852755
2,0,75,0.9943938332,0.0173963014,0.8077203205,0.3529022373
2,1,75,0.9946741416,0.0184223429,0.8103423161,0.2756269956
2,2,75,0.9943938332,0.0188677355,0.8103423161,0.2411510022
2,3,75,0.9946741416,0.0187858779,0.8099053169,0.3097253782
2,4,75,0.9948142957,0.0207552234,0.8094683176,0.2717197176
3,0,75,0.9959638135,0.0171741378,0.8045487895,0.3450796893
3,1,75,0.9947112039,0.0181734076,0.8042553192,0.3067503146
3,2,75,0.9947112039,0.0186563401,0.8042553192,0.2721218285
3,3,75,0.9949895616,0.0184676874,0.8046955246,0.2800594401
3,4,75,0.9949895616,0.0179519974,0.8044020543,0.3358753423
4,0,75,0.9945247789,0.0194511209,0.8095099607,0.2909333133
4,1,75,0.9942439983,0.0215103095,0.808492075,0.2772281518
4,2,75,0.9949459497,0.0202714465,0.8083466627,0.2605029304
4,3,75,0.9948055595,0.0202849047,0.8087828995,0.273021393
4,4,75,0.9953671206,0.0192086227,0.8095099607,0.2457493327
0,0,80,0.995552467,0.0172614451,0.811609111,0.3059582106
0,1,80,0.9945795691,0.0189508066,0.8111682587,0.2881323051
0,2,80,0.9945795691,0.0205205666,0.8110213079,0.3499369464
0,3,80,0.9952744962,0.0181573295,0.8104335048,0.3300425387
0,4,80,0.9944405837,0.0196640141,0.8105804556,0.3272694168
1,0,80,0.9931982232,0.0232799225,0.8003237198,0.3479098939
1,1,80,0.993337035,0.0241256034,0.7997351383,0.3567587365
1,2,80,0.9941699056,0.022564967,0.8013537375,0.339618937
1,3,80,0.9940310938,0.025414198,0.7995879929,0.3497919052
1,4,80,0.9947251527,0.023335648,0.7987051207,0.3765856873
2,0,80,0.994253679,0.0180238737,0.8099053169,0.3372462684
2,1,80,0.994253679,0.0178775143,0.8094683176,0.351815489
2,2,80,0.9911702873,0.0337026074,0.810633649,0.353266196
2,3,80,0.9941135249,0.0193723656,0.8101966497,0.2787192964
2,4,80,0.994253679,0.0169065839,0.8093226512,0.4199262132
3,0,80,0.9959638135,0.0172622649,0.8042553192,0.305815091
3,1,80,0.9948503827,0.0206992806,0.8049889949,0.3467615353
3,2,80,0.9952679193,0.0199195431,0.8038151137,0.2981937187
3,3,80,0.9947112039,0.0171345533,0.8054292003,0.3229424818
3,4,80,0.9959638135,0.01746461,0.8049889949,0.3303511592
4,0,80,0.9939632177,0.0219837333,0.8098007852,0.3302405811
4,1,80,0.994103608,0.0205781029,0.8087828995,0.3617950967
4,2,80,0.9948055595,0.018319665,0.8089283117,0.3211566865
4,3,80,0.9942439983,0.0218454396,0.8102370219,0.3135011529
4,4,80,0.9942439983,0.0213960719,0.8080558383,0.3194124752
0,0,85,0.995552467,0.0177188207,0.811609111,0.3412346354
0,1,85,0.9949965254,0.0195951355,0.810286554,0.3787160104
0,2,85,0.9947185546,0.0179224517,0.8098457017,0.4135632773
0,3,85,0.9947185546,0.0189184578,0.8107274063,0.4195798826
0,4,85,0.9952744962,0.0164999921,0.8094048494,0.389748059
1,0,85,0.9943087174,0.0218423676,0.8013537375,0.4775364909
1,1,85,0.9943087174,0.0225584294,0.8003237198,0.4463285045
1,2,85,0.9941699056,0.0223802388,0.8006180106,0.4145922954
1,3,85,0.9940310938,0.0225833538,0.8000294291,0.4135937845
1,4,85,0.9925041644,0.0251853208,0.8006180106,0.4054510271
2,0,85,0.9946741416,0.0169315726,0.8099053169,0.3634880308
2,1,85,0.9901892081,0.0313315914,0.8091769847,0.4093826768
2,2,85,0.9948142957,0.0175499082,0.8094683176,0.4356684604
2,3,85,0.9945339874,0.0178709433,0.8097596504,0.3770401985
2,4,85,0.9950946041,0.0191384613,0.8099053169,0.4551280798
3,0,85,0.9947112039,0.0173000969,0.8035216435,0.3620383302
3,1,85,0.9945720251,0.0206269769,0.8038151137,0.4370799797
3,2,85,0.9942936674,0.0195365175,0.8048422597,0.423951347
3,3,85,0.9949895616,0.0178985888,0.8046955246,0.4237332879
3,4,85,0.9954070981,0.0165624786,0.8048422597,0.4703274447
4,0,85,0.9939632177,0.0230094903,0.8083466627,0.4207295052
4,1,85,0.9945247789,0.0221882645,0.8102370219,0.3746308955
4,2,85,0.9945247789,0.0196416861,0.8082012505,0.427755868
4,3,85,0.9946651692,0.018930048,0.8086374872,0.4207501176
4,4,85,0.9942439983,0.0216968233,0.8100916097,0.3557160419
0,0,90,0.99485754,0.0198609975,0.8113152094,0.5115854479
0,1,90,0.9952744962,0.0185689568,0.8114621602,0.5413733921
0,2,90,0.9940236275,0.0221211772,0.8113152094,0.4623386446
0,3,90,0.9951355108,0.0194075499,0.8094048494,0.5592875145
0,4,90,0.9941626129,0.0186607257,0.8113152094,0.4512899589
1,0,90,0.9938922821,0.0240095454,0.8004708652,0.5318947726
1,1,90,0.9938922821,0.0242444477,0.8000294291,0.6169698105
1,2,90,0.9934758468,0.0255126942,0.7992937022,0.4886842891
1,3,90,0.9947251527,0.021906187,0.7998822837,0.5785886139
1,4,90,0.9943087174,0.0230511555,0.7987051207,0.5020666407
2,0,90,0.9945339874,0.0191924299,0.8094683176,0.4945641594
2,1,90,0.9935529082,0.0223907359,0.8091769847,0.5159628956
2,2,90,0.9943938332,0.0166485418,0.8091769847,0.5312726974
2,3,90,0.9932725999,0.0237662005,0.8099053169,0.4825349044
2,4,90,0.9946741416,0.0178937806,0.8094683176,0.567960629
3,0,90,0.9945720251,0.0214628817,0.8048422597,0.5631269257
3,1,90,0.9952679193,0.0182013851,0.8052824652,0.5434283834
3,2,90,0.9927627001,0.0235032644,0.8033749083,0.4908528353
3,3,90,0.9949895616,0.0176319134,0.8033749083,0.4803136524
3,4,90,0.9944328462,0.0178920975,0.80513573,0.5279666685
4,0,90,0.994103608,0.0225878017,0.8093645485,0.4185382415
4,1,90,0.9956479012,0.0190680969,0.8086374872,0.5214791749
4,2,90,0.9935420469,0.0221614663,0.8086374872,0.4730426079
4,3,90,0.9942439983,0.0201440588,0.8093645485,0.461166175
4,4,90,0.9925593149,0.0260644661,0.809073724,0.558244257
0,0,95,0.9940236275,0.0196056899,0.8107274063,0.7233660621
0,1,95,0.9952744962,0.0199867759,0.8114621602,0.6761034342
0,2,95,0.9944405837,0.0215018248,0.8123438648,0.6441059902
0,3,95,0.9951355108,0.0182517767,0.810286554,0.6781703009
0,4,95,0.9944405837,0.019782987,0.8099926525,0.5966255993
1,0,95,0.9943087174,0.022308614,0.8006180106,0.6741919068
1,1,95,0.9943087174,0.0236186373,0.8006180106,0.7105050621
1,2,95,0.9936146585,0.0257604239,0.8010594467,0.6132018553
1,3,95,0.9944475292,0.0234132189,0.7991465568,0.7805532186
1,4,95,0.9941699056,0.0209745361,0.8001765744,0.6460555772
2,0,95,0.993412754,0.0188800392,0.8101966497,0.8119230147
2,1,95,0.9939733707,0.0192131591,0.8094683176,0.9007176517
