"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,0.9941626129,0.0281422468,0.9872152829,0.0396090087
0,1,5,0.9938846421,0.0271175194,0.9898603968,0.0341058548
0,2,5,0.9940236275,0.0254952991,0.9895664952,0.0329958195
0,3,5,0.9938846421,0.0267508097,0.9879500367,0.0381631226
0,4,5,0.9941626129,0.0214490051,0.9886847906,0.0359125806
1,0,5,0.9940310938,0.023934861,0.9898469688,0.0340270153
1,1,5,0.993337035,0.0247407996,0.990288405,0.0323712198
1,2,5,0.9937534703,0.0229169823,0.9892583873,0.0348522316
1,3,5,0.9941699056,0.0227217014,0.9885226604,0.0352971663
1,4,5,0.9904219878,0.0454418624,0.9894055327,0.0353927203
2,0,5,0.9931324457,0.0206045757,0.9918426803,0.0272730482
2,1,5,0.9950946041,0.0174223406,0.9918426803,0.0279948422
2,2,5,0.994253679,0.0230266589,0.9918426803,0.0284828747
2,3,5,0.9936930624,0.0190044648,0.9925710124,0.0286063285
2,4,5,0.9939733707,0.0199125327,0.991405681,0.0275048631
3,0,5,0.9945720251,0.0224757427,0.9878209831,0.0350939521
3,1,5,0.9954070981,0.0199067782,0.9892883346,0.0325809454
3,2,5,0.9931802366,0.0238172164,0.9895818048,0.0306241016
3,3,5,0.9954070981,0.019053573,0.9900220103,0.0310129925
3,4,5,0.9942936674,0.0219592921,0.9903154806,0.0307342606
4,0,5,0.9936824372,0.0219594084,0.9899665552,0.0321085364
4,1,5,0.994103608,0.0211617925,0.9915660899,0.0318116139
4,2,5,0.9934016566,0.0220337859,0.9911298531,0.0334267994
4,3,5,0.994103608,0.031001838,0.9909844409,0.0312148001
4,4,5,0.9938228275,0.0262289733,0.9905482042,0.0325723293
0,0,10,0.99485754,0.0236317182,0.9904481999,0.0342130271
0,1,10,0.9941626129,0.0343810243,0.9891256429,0.035128928
0,2,10,0.9938846421,0.0242789391,0.9883908891,0.0354256563
0,3,10,0.9940236275,0.0269550405,0.9882439383,0.0342940815
0,4,10,0.9930507297,0.0290411793,0.9889786921,0.035051551
1,0,10,0.993337035,0.0344546297,0.9882283697,0.036720118
1,1,10,0.9934758468,0.0268464723,0.9892583873,0.033912136
1,2,10,0.9929205997,0.0287931879,0.9895526781,0.0329700162
1,3,10,0.9916712937,0.0379526024,0.9885226604,0.0377266335
1,4,10,0.9936146585,0.0244696902,0.9889640966,0.0354916322
2,0,10,0.9918710582,0.0308364436,0.9915513474,0.0284017318
2,1,10,0.9938332165,0.0249583309,0.9930080117,0.0283179066
2,2,10,0.9941135249,0.0278095519,0.9931536781,0.0267078218
2,3,10,0.9939733707,0.0258745795,0.9900946832,0.0301619286
2,4,10,0.9950946041,0.0209920547,0.9919883467,0.0296729986
3,0,10,0.9949895616,0.0328353583,0.98972854,0.0323887662
3,1,10,0.9944328462,0.0232414349,0.9901687454,0.0311156201
3,2,10,0.9949895616,0.0271701498,0.9895818048,0.033177277
3,3,10,0.9949895616,0.0276235731,0.9895818048,0.0305634641
3,4,10,0.9940153097,0.0250433786,0.990755686,0.0305512715
4,0,10,0.9935420469,0.0235616762,0.9899665552,0.0316863523
4,1,10,0.994103608,0.025669563,0.9909844409,0.0314914679
4,2,10,0.9929804858,0.030706858,0.9908390286,0.0313840464
4,3,10,0.992138144,0.0456247806,0.9893849062,0.034476051
4,4,10,0.9939632177,0.0279541203,0.9905482042,0.0340495233
0,0,25,0.9937456567,0.0361317636,0.9880969875,0.0399162387
0,1,25,0.9940236275,0.0382987817,0.9898603968,0.0364360367
0,2,25,0.9927727589,0.0374244117,0.9900073475,0.0346708639
0,3,25,0.9927727589,0.0629526316,0.9894195445,0.0341503403
0,4,25,0.9943015983,0.0371984886,0.9885378398,0.0352628698
1,0,25,0.9926429761,0.0430788573,0.9891112419,0.0339991212
1,1,25,0.9927817879,0.0342170514,0.9889640966,0.0381551033
1,2,25,0.9936146585,0.0312956984,0.9899941142,0.0329865186
1,3,25,0.9934758468,0.0459601683,0.9894055327,0.0335137037
1,4,25,0.992087729,0.057625548,0.9898469688,0.0331713975
2,0,25,0.9939733707,0.0470748504,0.9925710124,0.0296718711
2,1,25,0.9936930624,0.039499141,0.9919883467,0.0285239436
2,2,25,0.9941135249,0.0375938281,0.9919883467,0.0291745
