"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,0.9944405837,0.017638776,0.9891256429,0.0370857136
0,1,5,0.9944405837,0.0217986251,0.9873622337,0.0370343355
0,2,5,0.9945795691,0.0191202893,0.9892725937,0.036474972
0,3,5,0.9944405837,0.0206619362,0.9892725937,0.035679264
0,4,5,0.9958304378,0.0183692648,0.9882439383,0.0390251053
1,0,5,0.9937534703,0.0238177146,0.9879340789,0.0376640043
1,1,5,0.9934758468,0.0232453804,0.9892583873,0.0413593614
1,2,5,0.9916712937,0.0280821424,0.9898469688,0.0372992054
1,3,5,0.9930594114,0.0273674586,0.9898469688,0.0339968675
1,4,5,0.9940310938,0.0237598051,0.9899941142,0.0349771507
2,0,5,0.9953749124,0.0165402227,0.9906773489,0.0310919336
2,1,5,0.9939733707,0.0193697627,0.9922796795,0.0282185013
2,2,5,0.994253679,0.0183266677,0.9915513474,0.0287217624
2,3,5,0.9945339874,0.0175339078,0.991405681,0.0288492018
2,4,5,0.9945339874,0.0180367677,0.9919883467,0.0295198737
3,0,5,0.9951287404,0.0193310586,0.98972854,0.0338792296
3,1,5,0.995546277,0.0181244374,0.9884079237,0.0344060106
3,2,5,0.9948503827,0.018382289,0.9888481291,0.0359615691
3,3,5,0.9942936674,0.0211451068,0.9904622157,0.0343665984
3,4,5,0.9948503827,0.0183776024,0.9891415994,0.0358738208
4,0,5,0.9949459497,0.0195334769,0.9898211429,0.0358236656
4,1,5,0.9945247789,0.0206733222,0.9896757307,0.034399805
4,2,5,0.9948055595,0.0216088378,0.9904027919,0.0335545989
4,3,5,0.9946651692,0.0200827045,0.9909844409,0.0317063576
4,4,5,0.9929804858,0.0250142596,0.9888032572,0.0334366713
0,0,10,0.9949965254,0.0196545973,0.989713446,0.0364059833
0,1,10,0.9954134816,0.0201156873,0.9888317414,0.0422607779
0,2,10,0.99485754,0.0191611125,0.9894195445,0.0405544665
0,3,10,0.991104934,0.0324607494,0.9882439383,0.0408864563
0,4,10,0.99485754,0.0193109355,0.9891256429,0.0421423382
1,0,10,0.9931982232,0.0251376438,0.9895526781,0.045036667
1,1,10,0.9936146585,0.022809767,0.9901412596,0.0412478253
1,2,10,0.9943087174,0.0228609523,0.9892583873,0.0379823043
1,3,10,0.9944475292,0.0237241504,0.9877869335,0.0443481354
1,4,10,0.9941699056,0.0240496819,0.9877869335,0.0403941461
2,0,10,0.9936930624,0.0209545261,0.991405681,0.0327542131
2,1,10,0.9928521374,0.0242075149,0.9916970138,0.0336178412
2,2,10,0.9949544499,0.0198662867,0.9919883467,0.0357251886
2,3,10,0.9946741416,0.0193004185,0.9915513474,0.0364592958
2,4,10,0.9945339874,0.0210364553,0.9908230153,0.0347440785
3,0,10,0.9947112039,0.0182012352,0.9882611886,0.0408987482
3,1,10,0.9945720251,0.0199454879,0.9888481291,0.0396401861
3,2,10,0.9944328462,0.0202937116,0.9892883346,0.0388328671
3,3,10,0.9915100905,0.0324142362,0.9895818048,0.0431628165
3,4,10,0.9952679193,0.017902619,0.9898752751,0.0386850791
4,0,10,0.9934016566,0.022946671,0.9888032572,0.040753949
4,1,10,0.9938228275,0.0220034555,0.9906936164,0.0416498778
4,2,10,0.9934016566,0.0249129385,0.9902573797,0.0384066145
4,3,10,0.9939632177,0.0235957472,0.9899665552,0.0396581463
4,4,10,0.9945247789,0.0219167641,0.9890940817,0.0365568465
0,0,25,0.99485754,0.0197342811,0.9888317414,0.0558084031
0,1,25,0.9954134816,0.0200125034,0.9879500367,0.0667649512
0,2,25,0.9945795691,0.0199895073,0.9876561352,0.0603191542
0,3,25,0.9936066713,0.0209577255,0.9879500367,0.0514737325
0,4,25,0.9940236275,0.0218640932,0.9886847906,0.0639167149
1,0,25,0.9936146585,0.0240960339,0.9876397881,0.0639255116
1,1,25,0.9943087174,0.0221818777,0.9876397881,0.0557554235
1,2,25,0.9945863409,0.0235787985,0.9882283697,0.0591895268
1,3,25,0.9936146585,0.0243318123,0.9888169512,0.0640698132
1,4,25,0.9934758468,0.0230897943,0.9874926427,0.0586242751
2,0,25,0.9931324457,0.0231596811,0.9906773489,0.0524651951
2,1,25,0.9950946041,0.0167767621,0.9890750182,0.0756737585
2,2,25,0.9941135249,0.0180191287,0.990386016,0.0533092656
2,3,25,0.9948142957,0.0178687611,0.992425346,0.0450312881
2,4,25,0.9939733707,0.0196720874,0.9898033503,0.0612872948
3,0,25,0.995546277,0.0183391017,0.9869405723,0.0707824386
3,1,25,0.9942936674,0.0201020222,0.98972854,0.0528842605
3,2,25,0.9948503827,0.019269923,0.98972854,0.0585604617
3,3,25,0.9945720251,0.021344723,0.9884079237,0.0514741894
3,4,25,0.9948503827,0.0213978325,0.9881144534,0.0626136837
4,0,25,0.9939632177,0.0231426433,0.9895303185,0.0606893126
4,1,25,0.9942439983,0.0236491549,0.9899665552,0.0571267289
4,2,25,0.994103608,0.0226834685,0.9890940817,0.0510834461
4,3,25,0.99508634,0.0221647115,0.9904027919,0.0456170292
4,4,25,0.9894707286,0.0408003347,0.989239494,0.0632410591
0,0,50,0.9958304378,0.0174427333,0.986480529,0.1099366673
0,1,50,0.9943015983,0.0211828274,0.9839823659,0.1035567387
0,2,50,0.9954134816,0.018909751,0.9860396767,0.1272744502
0,3,50,0.9954134816,0.0183421204,0.9858927259,0.1254187699
0,4,50,0.9952744962,0.0201967977,0.9883908891,0.107147884
1,0,50,0.9944475292,0.022824788,0.9891112419,0.1141349976
1,1,50,0.9937534703,0.0251409489,0.9877869335,0.1164711826
1,2,50,0.9944475292,0.0242576257,0.9869040612,0.1063338145
1,3,50,0.9937534703,0.0245115018,0.987198352,0.1037058486
1,4,50,0.9940310938,0.0234289556,0.9870512066,0.105433246
2,0,50,0.9943938332,0.0201897538,0.9902403496,0.1030005528
2,1,50,0.993412754,0.0219048732,0.9896576839,0.1308045788
2,2,50,0.9955150666,0.0169401943,0.9908230153,0.0743153121
2,3,50,0.991730904,0.0283703649,0.9884923525,0.1084416174
2,4,50,0.9945339874,0.0175483087,0.9902403496,0.113167304
3,0,50,0.9954070981,0.0192225148,0.9885546588,0.0936007754
3,1,50,0.9942936674,0.0220902717,0.9888481291,0.1055443463
3,2,50,0.9941544885,0.0219233603,0.9888481291,0.1258458083
3,3,50,0.995546277,0.0205065264,0.9889948643,0.0944570195
3,4,50,0.9924843424,0.0250943453,0.9875275128,0.0942537658
4,0,50,0.9942439983,0.0238226522,0.9893849062,0.1035337945
4,1,50,0.9943843886,0.0237219476,0.9882216083,0.1060392031
4,2,50,0.994103608,0.0244509323,0.9863312491,0.1217134158
4,3,50,0.9943843886,0.0247096139,0.9885124327,0.108372416
4,4,50,0.9943843886,0.0224818924,0.9883670205,0.0887313119
0,0,75,0.9951355108,0.0199158548,0.9707567965,0.2427134555
0,1,75,0.9954134816,0.0205046046,0.9679647318,0.227980461
0,2,75,0.9930507297,0.0236269095,0.9776634827,0.2126699054
0,3,75,0.9952744962,0.018581241,0.9759000735,0.2334855453
0,4,75,0.995552467,0.017523328,0.9764878766,0.2125582218
1,0,75,0.9940310938,0.0246150012,0.9741024132,0.2470431043
1,1,75,0.9938922821,0.0233038215,0.9777810477,0.2255044572
1,2,75,0.9940310938,0.0243558779,0.9752795762,0.2339828066
1,3,75,0.9938922821,0.0239886918,0.9733666863,0.2471322128
1,4,75,0.992087729,0.0277103755,0.9845497351,0.1951116358
2,0,75,0.9938332165,0.0212464748,0.9810633649,0.2087300147
2,1,75,0.9946741416,0.018913704,0.9820830299,0.2184055046
2,2,75,0.994253679,0.0200049146,0.9794610342,0.2201727874
2,3,75,0.9945339874,0.0199418436,0.9826656956,0.2296729935
2,4,75,0.994253679,0.0196581218,0.9841223598,0.2187853322
3,0,75,0.9948503827,0.0184739697,0.9730007337,0.2319785401
3,1,75,0.9947112039,0.0204623352,0.9785766691,0.2175306792
3,2,75,0.9948503827,0.0203705787,0.973440939,0.2339108178
3,3,75,0.9951287404,0.0184221358,0.9768158474,0.2139758178
3,4,75,0.9951287404,0.0194053586,0.9798972853,0.2201356258
4,0,75,0.9945247789,0.021959475,0.9806601716,0.2160242726
4,1,75,0.9946651692,0.0222823938,0.9810964083,0.2164236132
4,2,75,0.9945247789,0.0246360964,0.9816780572,0.1940634863
4,3,75,0.9945247789,0.0234325085,0.9751345063,0.2344689569
4,4,75,0.9935420469,0.0250666158,0.9704813146,0.2335855454
0,0,80,0.9963863794,0.0176214033,0.9701689934,0.2520544535
0,1,80,0.9944405837,0.019693556,0.9753122704,0.2380797675
0,2,80,0.9952744962,0.0190971639,0.9695811903,0.2566351527
0,3,80,0.99485754,0.0203494239,0.9763409258,0.2426595407
0,4,80,0.9947185546,0.0200036947,0.963997061,0.2651338025
1,0,80,0.9913936702,0.032404165,0.9677751619,0.277146197
1,1,80,0.9937534703,0.0260166908,0.9683637434,0.2536059026
1,2,80,0.9934758468,0.0246963361,0.9704237787,0.2565702195
1,3,80,0.9931982232,0.0249344185,0.9721895232,0.2625614088
1,4,80,0.9943087174,0.025361725,0.9695409065,0.2549853276
2,0,80,0.9941135249,0.0205216934,0.9634377276,0.2501722701
2,1,80,0.9941135249,0.0208976789,0.9734887109,0.2517207282
2,2,80,0.994253679,0.0203568506,0.9791697014,0.2263317658
2,3,80,0.9945339874,0.0181605525,0.9749453751,0.2416212653
2,4,80,0.9953749124,0.0178412153,0.9660597232,0.2568553627
3,0,80,0.9945720251,0.0207457631,0.9696258254,0.2634891972
3,1,80,0.9948503827,0.0220109852,0.9706529714,0.2570187967
3,2,80,0.9942936674,0.0212787257,0.9712399118,0.2545760407
3,3,80,0.9938761308,0.0238433536,0.9688921495,0.2527241756
3,4,80,0.9956854558,0.0191748974,0.9707997065,0.2493726873
4,0,80,0.9932612663,0.0237318376,0.9662643595,0.2603130605
4,1,80,0.9942439983,0.0235991517,0.9787698123,0.2307241436
4,2,80,0.9949459497,0.0217369256,0.9696088412,0.2442625976
4,3,80,0.9936824372,0.0247175482,0.9762978043,0.2482748826
4,4,80,0.99508634,0.0229241903,0.975570743,0.2481892352
0,0,85,0.9949965254,0.0192607413,0.9334313005,0.2951180273
0,1,85,0.9951355108,0.0212710185,0.9594415871,0.2830104008
0,2,85,0.9947185546,0.0200411623,0.9644379133,0.2706905975
0,3,85,0.9952744962,0.0210172488,0.9366642175,0.2879728411
0,4,85,0.9945795691,0.02135049,0.9573842763,0.282972801
1,0,85,0.9940310938,0.0272304059,0.9482048263,0.298856366
1,1,85,0.9936146585,0.0256500333,0.9608593291,0.2848199825
1,2,85,0.9931982232,0.0270133384,0.9467333726,0.297491745
1,3,85,0.9950027762,0.0219239587,0.9624779282,0.2935997951
1,4,85,0.9936146585,0.0269123526,0.9539434962,0.3011070641
2,0,85,0.9948142957,0.0187840467,0.9621267298,0.280706707
2,1,85,0.9935529082,0.0244236575,0.9637290605,0.2755261995
2,2,85,0.993412754,0.0204006657,0.9624180626,0.2812894999
2,3,85,0.9931324457,0.0214161746,0.9618353969,0.2829665402
2,4,85,0.9945339874,0.018018602,0.9685360524,0.2698842253
3,0,85,0.9954070981,0.0185169719,0.9212032282,0.316236185
3,1,85,0.9949895616,0.0198867076,0.9545121055,0.2913343076
3,2,85,0.993736952,0.0216673567,0.9571533382,0.2918845814
3,3,85,0.9944328462,0.0229721844,0.9571533382,0.2887184581
3,4,85,0.9951287404,0.0217100135,0.9477622889,0.294116722
4,0,85,0.9928400955,0.0283971939,0.9479424167,0.2944062857
4,1,85,0.9935420469,0.0247563085,0.9557946779,0.291048431
4,2,85,0.9948055595,0.0230438037,0.9368910862,0.2940730491
4,3,85,0.9942439983,0.0241457106,0.9559400901,0.2794177888
4,4,85,0.9932612663,0.0251549821,0.9603024575,0.2805210238
0,0,90,0.99485754,0.0204018853,0.8787656135,0.3512588467
0,1,90,0.9944405837,0.0214168005,0.9178545187,0.3318831551
0,2,90,0.9947185546,0.021551599,0.8730345334,0.3398276224
0,3,90,0.9938846421,0.0231507794,0.8204261573,0.3412822349
0,4,90,0.9952744962,0.0188651303,0.8843497428,0.3364078554
1,0,90,0.993337035,0.02613986,0.8697763391,0.3639991244
1,1,90,0.9936146585,0.0248977686,0.8787522072,0.3562419924
1,2,90,0.9937534703,0.0261897191,0.8646262507,0.3521648
1,3,90,0.9940310938,0.0241180124,0.8276927604,0.3439109279
1,4,90,0.9927817879,0.028229361,0.8922895821,0.3495823164
2,0,90,0.9936930624,0.0222435395,0.8664238893,0.3351993979
2,1,90,0.994253679,0.0207102099,0.819227968,0.3471596546
2,2,90,0.9943938332,0.0198926686,0.8270939549,0.3324496411
2,3,90,0.9941135249,0.0212770563,0.8614712309,0.3408136434
2,4,90,0.9949544499,0.019183924,0.8961398398,0.3291349208
3,0,90,0.9944328462,0.0211642754,0.8253851798,0.3581292504
3,1,90,0.995546277,0.0212084675,0.8881878209,0.3483752096
3,2,90,0.9938761308,0.0221814733,0.8287600879,0.3594205315
3,3,90,0.9942936674,0.0224279782,0.9071166543,0.3483944097
3,4,90,0.9956854558,0.0201183341,0.8516507704,0.3570430383
4,0,90,0.9919977538,0.0267247904,0.9025737968,0.3294128412
4,1,90,0.9942439983,0.0221867998,0.8255053076,0.3365521871
4,2,90,0.9935420469,0.0226757648,0.8313217973,0.3367861542
4,3,90,0.9943843886,0.0247654715,0.8601134216,0.3447250646
4,4,90,0.9946651692,0.0220031973,0.8273956668,0.3276599866
0,0,95,0.9959694232,0.0188761918,0.813519471,0.4295876746
0,1,95,0.9944405837,0.0204538973,0.8123438648,0.4317080689
0,2,95,0.9954134816,0.0176019194,0.8108743571,0.4202678695
