"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,25,0.9923558026,0.0253140955,0.9888317414,0.0366711723
0,1,5,25,0.9952744962,0.0173494716,0.9892725937,0.034520022
0,2,5,25,0.9947185546,0.0181158274,0.9895664952,0.0345097991
0,3,5,25,0.9945795691,0.0201502482,0.9875091844,0.0372121388
0,4,5,25,0.9940236275,0.0221095742,0.9892725937,0.0356626012
1,0,5,25,0.9944475292,0.024116891,0.9888169512,0.0345765039
1,1,5,25,0.9938922821,0.021948168,0.9885226604,0.0348047114
1,2,5,25,0.9941699056,0.0219303757,0.9882283697,0.0376778856
1,3,5,25,0.9948639645,0.022078481,0.9896998235,0.033304387
1,4,5,25,0.9923653526,0.0305138526,0.9899941142,0.0352124512
2,0,5,25,0.9955150666,0.0168801592,0.9908230153,0.0287388002
2,1,5,25,0.9935529082,0.02005822,0.9915513474,0.027581437
2,2,5,25,0.9943938332,0.0169260331,0.9909686817,0.0284445955
2,3,5,25,0.9939733707,0.021176972,0.992425346,0.0266173634
2,4,5,25,0.9946741416,0.0185292001,0.9921340131,0.028068684
3,0,5,25,0.9956854558,0.0173806406,0.9898752751,0.0313372243
3,1,5,25,0.9947112039,0.0186272066,0.9894350697,0.0311642503
3,2,5,25,0.9951287404,0.0178770532,0.9894350697,0.0298252293
3,3,5,25,0.9947112039,0.0195286468,0.9892883346,0.0312297104
3,4,5,25,0.9947112039,0.0187957371,0.9891415994,0.0353161183
4,0,5,25,0.9942439983,0.0199615162,0.9905482042,0.0303224631
4,1,5,25,0.994103608,0.0197335011,0.9914206776,0.0307447213
4,2,5,25,0.994103608,0.0222640401,0.9902573797,0.0319776312
4,3,5,25,0.9949459497,0.0193650799,0.9899665552,0.0363271394
4,4,5,25,0.9942439983,0.0195035556,0.9899665552,0.0326460689
0,0,5,50,0.9938846421,0.021872276,0.9892725937,0.0355529266
0,1,5,50,0.9940236275,0.0196872978,0.9886847906,0.0347320156
0,2,5,50,0.9945795691,0.0189675467,0.9891256429,0.0353074333
0,3,5,50,0.9945795691,0.0213205373,0.9891256429,0.0366263192
0,4,5,50,0.99485754,0.0193887735,0.9875091844,0.0369459282
1,0,5,50,0.9934758468,0.0261157598,0.9879340789,0.0399197587
1,1,5,50,0.9938922821,0.0226772033,0.9892583873,0.0357525492
1,2,5,50,0.9937534703,0.0237374964,0.9901412596,0.0349689176
1,3,5,50,0.9945863409,0.0212589057,0.988375515,0.0360263362
1,4,5,50,0.9916712937,0.0281219856,0.9895526781,0.0352214486
2,0,5,50,0.9939733707,0.017805908,0.9919883467,0.0294763702
2,1,5,50,0.9941135249,0.0177885365,0.9909686817,0.0300314972
2,2,5,50,0.9943938332,0.0180390679,0.9927166788,0.0277629237
2,3,5,50,0.9941135249,0.0165638763,0.9916970138,0.0275795559
2,4,5,50,0.9948142957,0.0176751723,0.9911143481,0.029576564
3,0,5,50,0.9949895616,0.018086151,0.9892883346,0.0315172565
3,1,5,50,0.9948503827,0.0185341687,0.9898752751,0.0315712357
3,2,5,50,0.9938761308,0.0218692823,0.9901687454,0.0318645207
3,3,5,50,0.9952679193,0.0197130554,0.9909024211,0.0337522921
3,4,5,50,0.9945720251,0.0175028446,0.9894350697,0.0351231841
4,0,5,50,0.9934016566,0.0225064285,0.9905482042,0.0328222885
4,1,5,50,0.9943843886,0.0195293614,0.9883670205,0.0366124566
4,2,5,50,0.9945247789,0.0186719432,0.9895303185,0.0348595392
4,3,5,50,0.9953671206,0.0188683654,0.9896757307,0.0361673651
4,4,5,50,0.9952267303,0.0214448073,0.9899665552,0.0322972302
0,0,5,75,0.9951355108,0.016586989,0.9901542983,0.0364657713
0,1,5,75,0.99485754,0.0208622763,0.9885378398,0.0363093523
0,2,5,75,0.9952744962,0.0194239109,0.9898603968,0.0323032226
0,3,5,75,0.9947185546,0.020312817,0.9876561352,0.0383435748
0,4,5,75,0.99485754,0.0193025578,0.989713446,0.0329053263
1,0,5,75,0.9944475292,0.0215182775,0.9894055327,0.0337977181
1,1,5,75,0.993337035,0.025118864,0.9874926428,0.0411379082
1,2,5,75,0.9943087174,0.0239907108,0.9886698058,0.0358418965
1,3,5,75,0.9936146585,0.022457682,0.9879340789,0.0380052097
1,4,5,75,0.9947251527,0.0212152535,0.9895526781,0.0350683322
2,0,5,75,0.9948142957,0.0172336172,0.9915513474,0.0271667513
2,1,5,75,0.994253679,0.0193707007,0.9922796795,0.0291905288
2,2,5,75,0.9955150666,0.0157232984,0.9919883467,0.0296692196
2,3,5,75,0.9943938332,0.019722283,0.992425346,0.0291131047
