"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,0,5,25,0.9954134816,0.0169613965,0.9885378398,0.0350059914
0,1,5,25,0.9937456567,0.0218018803,0.9880969875,0.0350942909
0,2,5,25,0.99485754,0.0195106568,0.9888317414,0.0361462147
0,3,5,25,0.9954134816,0.0185137883,0.9892725937,0.0333181791
0,4,5,25,0.9947185546,0.0201808221,0.9891256429,0.0340694447
1,0,5,25,0.9930594114,0.0232323739,0.9888169511,0.0369004424
1,1,5,25,0.992087729,0.0277331447,0.9891112419,0.0356447579
1,2,5,25,0.9952803998,0.0212019856,0.9898469688,0.0347591322
1,3,5,25,0.9934758468,0.0255936449,0.9892583873,0.036340039
1,4,5,25,0.9927817879,0.0249062906,0.9894055327,0.0353937372
2,0,5,25,0.9939733707,0.0195935454,0.990386016,0.0315901766
2,1,5,25,0.9941135249,0.0189821973,0.990386016,0.0307194469
2,2,5,25,0.9948142957,0.0164086028,0.9928623452,0.0304888514
2,3,5,25,0.9949544499,0.0169873163,0.9916970138,0.0308184742
2,4,5,25,0.9920112123,0.0267134885,0.992425346,0.0280162975
3,0,5,25,0.9938761308,0.0211948222,0.9892883346,0.0370369018
3,1,5,25,0.9941544885,0.0190524674,0.9900220103,0.0319408739
3,2,5,25,0.9954070981,0.0173654386,0.9895818048,0.0322158713
3,3,5,25,0.9949895616,0.0168939822,0.9901687454,0.0348101236
3,4,5,25,0.9906750174,0.0279055934,0.98972854,0.0340105727
0,0,5,50,0.9938846421,0.018984579,0.9883908891,0.035300845
0,1,5,50,0.9961084086,0.0159962976,0.9888317414,0.0343207633
0,2,5,50,0.9954134816,0.0172993548,0.9894195445,0.0327049297
0,3,5,50,0.9952744962,0.0175224926,0.9894195445,0.0355146693
0,4,5,50,0.9952744962,0.0193686608,0.9879500367,0.0360059551
1,0,5,50,0.9936146585,0.0240627073,0.9882283697,0.0387060756
1,1,5,50,0.9937534703,0.0230191383,0.9894055327,0.0345905233
1,2,5,50,0.9952803998,0.0213669253,0.9879340789,0.0350531386
1,3,5,50,0.9943087174,0.0248130649,0.988375515,0.0386062699
1,4,5,50,0.9941699056,0.0239992143,0.9886698058,0.03616251
2,0,5,50,0.9943938332,0.0181722443,0.9922796795,0.0269484198
2,1,5,50,0.9949544499,0.0181669765,0.9912600146,0.028266344
2,2,5,50,0.9943938332,0.0186805882,0.9902403496,0.0320750557
2,3,5,50,0.9941135249,0.0171636593,0.9928623452,0.0266916188
2,4,5,50,0.9936930624,0.0173846817,0.9916970138,0.0291301788
3,0,5,50,0.9952679193,0.0177428197,0.9903154806,0.0315519616
3,1,5,50,0.9948503827,0.0168522607,0.9894350697,0.0341822829
3,2,5,50,0.9952679193,0.0191639456,0.9889948643,0.0322754467
3,3,5,50,0.995546277,0.0168331699,0.9900220103,0.0312448877
3,4,5,50,0.9948503827,0.0174207535,0.9901687454,0.0313746193
0,0,5,75,0.9954134816,0.0166835328,0.9905951506,0.031572123
0,1,5,75,0.9956914524,0.0189652292,0.9894195445,0.0323512903
0,2,5,75,0.9941626129,0.0172076876,0.9900073475,0.0351452184
0,3,5,75,0.9940236275,0.0186036798,0.9885378398,0.0344535311
0,4,5,75,0.99485754,0.0204325341,0.9866274798,0.043073245
1,0,5,75,0.9947251527,0.0226258382,0.9888169512,0.0362750345
1,1,5,75,0.9931982232,0.0241304698,0.9894055327,0.0349657299
1,2,5,75,0.9945863409,0.0228034667,0.9888169512,0.037268762
1,3,5,75,0.9948639645,0.0230418306,0.9896998235,0.0368922235
1,4,5,75,0.9938922821,0.0233350248,0.988375515,0.0349120255
2,0,5,75,0.9943938332,0.0167748112,0.991405681,0.0275432549
2,1,5,75,0.9932725999,0.0207781944,0.991405681,0.0289404371
2,2,5,75,0.9939733707,0.0176428275,0.991405681,0.0311137423
2,3,5,75,0.9952347582,0.0155790989,0.9922796795,0.0278956708
2,4,5,75,0.993412754,0.0217057614,0.991405681,0.029989429
3,0,5,75,0.9952679193,0.0194997119,0.9884079237,0.0354369735
3,1,5,75,0.9945720251,0.0202615488,0.98972854,0.0321847208
3,2,5,75,0.9916492693,0.0270324836,0.9900220103,0.0310442995
3,3,5,75,0.9956854558,0.0164000685,0.9894350697,0.031782979
3,4,5,75,0.995546277,0.0165586834,0.9889948643,0.0343484039
0,0,5,100,0.9952744962,0.0172537659,0.9880969875,0.0359690433
0,1,5,100,0.9951355108,0.0178250681,0.9901542983,0.0312360485
0,2,5,100,0.9952744962,0.0197265103,0.9892725937,0.0333666604
0,3,5,100,0.9943015983,0.0231260508,0.9888317414,0.0355752175
0,4,5,100,0.9951355108,0.0184787909,0.9898603968,0.0316084313
1,0,5,100,0.9941699056,0.0234045816,0.9892583873,0.0352947725
1,1,5,100,0.9940310938,0.0233817459,0.9886698058,0.0364395051
1,2,5,100,0.9936146585,0.0262433646,0.990288405,0.0355438544
1,3,5,100,0.9936146585,0.0267554116,0.988375515,0.0346809761
1,4,5,100,0.9930594114,0.0241151622,0.9896998235,0.0337678103
2,0,5,100,0.9939733707,0.0207415171,0.9922796795,0.0279683059
2,1,5,100,0.9939733707,0.0226645808,0.9908230153,0.0319263062
2,2,5,100,0.9945339874,0.0193050987,0.9915513474,0.0282350891
