Run Number,Mutation Number,Accuracy1,Loss1,Accuracy2,Loss2
0,0,0.99485754,0.019314834,0.990007348,0.035737804
0,1,0.994440584,0.019597436,0.988831741,0.034429416
0,2,0.995830438,0.01589456,0.990301249,0.030907212
0,3,0.995135511,0.019573909,0.988831741,0.035375059
0,4,0.994718555,0.018939186,0.98853784,0.038027221
1,0,0.994169906,0.023660459,0.990729841,0.032944095
1,1,0.993475847,0.026686652,0.989846969,0.033808857
1,2,0.994169906,0.020660812,0.989405533,0.033318184
1,3,0.994031094,0.022679561,0.988375515,0.036418266
1,4,0.994447529,0.0213292,0.988375515,0.035440086
2,0,0.993973371,0.019437219,0.991988347,0.026146839
2,1,0.995094604,0.018045235,0.991988347,0.02807334
2,2,0.99495445,0.016873447,0.990386016,0.030947047
2,3,0.994533987,0.017142164,0.991551347,0.029523523
2,4,0.992852137,0.0207194,0.992571012,0.025845326
3,0,0.995407098,0.018960064,0.98943507,0.03055915
3,1,0.995407098,0.017542452,0.98972854,0.031801712
3,2,0.995267919,0.017682888,0.989141599,0.033040948
3,3,0.995824635,0.017514395,0.987674248,0.035010651
3,4,0.993458594,0.021111992,0.98943507,0.032724521
4,0,0.994103608,0.019516007,0.989966555,0.032744266
4,1,0.993542047,0.019983473,0.989675731,0.03234799
4,2,0.994243998,0.021188545,0.990693616,0.031359031
4,3,0.993401657,0.021791149,0.990548204,0.031574854
4,4,0.994103608,0.022054542,0.989966555,0.03448309
