Mutation Number,Run Num,Percentage,Accuracy2,Loss
0,0,0.001,0.9895665,0.03481439
0,1,0.001,0.9895665,0.034326321
0,2,0.001,0.99000734,0.031549732
0,3,0.001,0.9895665,0.035997876
0,4,0.001,0.9892726,0.036864415
1,0,0.001,0.9902884,0.032368023
1,1,0.001,0.9892584,0.034202472
1,2,0.001,0.9889641,0.033190005
1,3,0.001,0.98837554,0.035123133
1,4,0.001,0.9882284,0.035573016
2,0,0.001,0.9911143,0.026707558
2,1,0.001,0.99198836,0.028084903
2,2,0.001,0.78878367,2.078406405
2,3,0.001,0.99126,0.029161672
2,4,0.001,0.9922797,0.025944695
3,0,0.001,0.990022,0.032486431
3,1,0.001,0.7895818,2.224530144
3,2,0.001,0.98928833,0.032611518
3,3,0.001,0.9875275,0.038984951
3,4,0.001,0.9891416,0.033120089
4,0,0.001,0.9899666,0.032801683
4,1,0.001,0.9890941,0.033710972
4,2,0.001,0.9902574,0.032935997
4,3,0.001,0.9902574,0.032303653
4,4,0.001,0.9882216,0.036152813
0,0,0.005,0.9898604,0.035749659
0,1,0.005,0.9892726,0.034527163
0,2,0.005,0.9892726,0.032202537
0,3,0.005,0.98883176,0.03483484
0,4,0.005,0.9889787,0.037410799
1,0,0.005,0.99072987,0.032663495
1,1,0.005,0.98969984,0.033852964
1,2,0.005,0.9889641,0.032995609
1,3,0.005,0.98911124,0.036170549
1,4,0.005,0.98837554,0.036111783
2,0,0.005,0.9909687,0.030759729
2,1,0.005,0.99213403,0.027959761
2,2,0.005,0.9909687,0.031961415
2,3,0.005,0.99140567,0.029071395
2,4,0.005,0.9922797,0.025731945
3,0,0.005,0.9894351,0.031199106
3,1,0.005,0.98855466,0.033382357
3,2,0.005,0.9891416,0.034044491
3,3,0.005,0.9866471,0.039866262
3,4,0.005,0.990022,0.03498878
4,0,0.005,0.9902574,0.034255261
4,1,0.005,0.98982114,0.032420228
4,2,0.005,0.99127525,0.032874338
4,3,0.005,0.9906936,0.031611695
4,4,0.005,0.9902574,0.036467682
0,0,0.01,0.9895665,0.035815832
0,1,0.01,0.982072,0.056288669
0,2,0.01,0.99030125,0.030982276
0,3,0.01,0.98853785,0.035918385
0,4,0.01,0.98883176,0.037894218
1,0,0.01,0.9902884,0.032547426
1,1,0.01,0.9895527,0.033706105
1,2,0.01,0.9895527,0.033004923
1,3,0.01,0.98660976,0.039817182
1,4,0.01,0.9880812,0.037327608
2,0,0.01,0.99198836,0.028642556
2,1,0.01,0.99155134,0.029567875
2,2,0.01,0.9905317,0.030286998
2,3,0.01,0.99082303,0.029193403
2,4,0.01,0.9922797,0.026365097
3,0,0.01,0.9907557,0.029883866
3,1,0.01,0.98987526,0.03265547
3,2,0.01,0.98826116,0.038252068
3,3,0.01,0.9862069,0.039229132
3,4,0.01,0.98987526,0.033039843
4,0,0.01,0.9892395,0.033448699
4,1,0.01,0.9902574,0.033120847
4,2,0.01,0.9911299,0.031440883
4,3,0.01,0.99011195,0.033198759
4,4,0.01,0.98982114,0.035141568
0,0,0.05,0.7925055,1.643499629
0,1,0.05,0.98853785,0.041879197
0,2,0.05,0.81146216,1.531529809
0,3,0.05,0.98912567,0.039981252
0,4,0.05,0.7146216,2.040974406
1,0,0.05,0.98793405,0.0392422
1,1,0.05,0.9854326,0.048938154
1,2,0.05,0.98793405,0.04002108
1,3,0.05,0.98646265,0.042290546
1,4,0.05,0.9743967,0.080726687
2,0,0.05,0.9898034,0.040217301
2,1,0.05,0.98689,0.050970246
2,2,0.05,0.98106337,0.054847144
2,3,0.05,0.97683907,0.073593019
2,4,0.05,0.9918427,0.027615489
3,0,0.05,0.98855466,0.034744893
3,1,0.05,0.73543656,1.876274379
3,2,0.05,0.9875275,0.0345853
3,3,0.05,0.44915628,2.480140469
3,4,0.05,0.9810712,0.059039712
4,0,0.05,0.9892395,0.035364407
4,1,0.05,0.9892395,0.035766341
4,2,0.05,0.988367,0.041528237
4,3,0.05,0.7923513,1.327779646
4,4,0.05,0.98618585,0.04112956
0,0,0.1,0.7265246,1.161766268
0,1,0.1,0.71888316,0.720959665
0,2,0.1,0.9772226,0.08150171
0,3,0.1,0.9814842,0.069050643
0,4,0.1,0.96223366,0.123264302
1,0,0.1,0.98396116,0.057261745
1,1,0.1,0.984844,0.052723909
1,2,0.1,0.98469687,0.057197603
1,3,0.1,0.29532078,4.906016924
1,4,0.1,0.7867863,0.716051933
2,0,0.1,0.982083,0.054625238
2,1,0.1,0.98455936,0.054946952
2,2,0.1,0.95863074,0.118561508
2,3,0.1,0.96605974,0.098036014
2,4,0.1,0.50560814,2.187713115
3,0,0.1,0.96214235,0.113717283
3,1,0.1,0.9697726,0.096697982
3,2,0.1,0.9182685,0.242327051
3,3,0.1,0.96096843,0.114127201
3,4,0.1,0.9744681,0.078953637
4,0,0.1,0.6574088,1.538722136
4,1,0.1,0.48480442,1.747680319
4,2,0.1,0.96960884,0.091560637
4,3,0.1,0.51214194,2.543827646
4,4,0.1,0.95739424,0.11800442
