Mutation Number,Run Num,Percentage,Accuracy2,Loss
0,0,0.001,0.99000734,0.035737793
0,1,0.001,0.98912567,0.034127314
0,2,0.001,0.99030125,0.031059573
0,3,0.001,0.98853785,0.035574524
0,4,0.001,0.9894195,0.037100773
1,0,0.001,0.99072987,0.032931846
1,1,0.001,0.9876398,0.03828521
1,2,0.001,0.9894055,0.033278929
1,3,0.001,0.98837554,0.036418261
1,4,0.001,0.98852265,0.036281926
2,0,0.001,0.99198836,0.026162106
2,1,0.001,0.99198836,0.028092228
2,2,0.001,0.990386,0.030947038
2,3,0.001,0.990386,0.032074099
2,4,0.001,0.99271667,0.026156799
3,0,0.001,0.98928833,0.030373225
3,1,0.001,0.990022,0.031448899
3,2,0.001,0.9891416,0.033759937
3,3,0.001,0.9866471,0.038173442
3,4,0.001,0.9894351,0.032806696
4,0,0.001,0.9899666,0.032742719
4,1,0.001,0.99011195,0.033735356
4,2,0.001,0.990839,0.032113853
4,3,0.001,0.99011195,0.032282167
4,4,0.001,0.9899666,0.034463669
0,0,0.005,0.9901543,0.034665934
0,1,0.005,0.9895665,0.034341442
0,2,0.005,0.99030125,0.030717757
0,3,0.005,0.98883176,0.035375056
0,4,0.005,0.98839086,0.03886416
1,0,0.005,0.99072987,0.033015404
1,1,0.005,0.98911124,0.034952799
1,2,0.005,0.9895527,0.033328314
1,3,0.005,0.98837554,0.036418261
1,4,0.005,0.98837554,0.035344008
2,0,0.005,0.991697,0.026324969
2,1,0.005,0.9918427,0.028316025
2,2,0.005,0.990386,0.031011786
2,3,0.005,0.99155134,0.029419824
2,4,0.005,0.99271667,0.025915312
3,0,0.005,0.9887014,0.034982544
3,1,0.005,0.99016875,0.031679905
3,2,0.005,0.9891416,0.033052133
3,3,0.005,0.9870873,0.035610844
3,4,0.005,0.98928833,0.032331022
4,0,0.005,0.9899666,0.032744561
4,1,0.005,0.98865783,0.034172589
4,2,0.005,0.9905482,0.032294815
4,3,0.005,0.9905482,0.032550819
4,4,0.005,0.98982114,0.034376369
0,0,0.01,0.98853785,0.03608616
0,1,0.01,0.9876561,0.037219809
0,2,0.01,0.9901543,0.030947791
0,3,0.01,0.98883176,0.035375206
0,4,0.01,0.988097,0.038378945
1,0,0.01,0.9905827,0.032946662
1,1,0.01,0.98984694,0.033811887
1,2,0.01,0.9894055,0.033278929
1,3,0.01,0.98837554,0.036441626
1,4,0.01,0.9882284,0.035729132
2,0,0.01,0.9924253,0.026437177
2,1,0.01,0.99155134,0.028178075
2,2,0.01,0.990386,0.030947371
2,3,0.01,0.989949,0.030696148
2,4,0.01,0.992571,0.025845322
3,0,0.01,0.98928833,0.030512565
3,1,0.01,0.9897285,0.031869067
3,2,0.01,0.9891416,0.033174709
3,3,0.01,0.98826116,0.035388023
3,4,0.01,0.98899484,0.03318072
4,0,0.01,0.99011195,0.032857959
4,1,0.01,0.9806602,0.0611651
4,2,0.01,0.9911299,0.031421985
4,3,0.01,0.9906936,0.031309909
4,4,0.01,0.99011195,0.034366498
0,0,0.05,0.988097,0.038272264
0,1,0.05,0.98883176,0.036212488
0,2,0.05,0.98795,0.041297355
0,3,0.05,0.9889787,0.035405644
0,4,0.05,0.8458486,0.33821387
1,0,0.05,0.89243674,0.238241074
1,1,0.05,0.9892584,0.034341132
1,2,0.05,0.98852265,0.034594513
1,3,0.05,0.8434373,0.305317442
1,4,0.05,0.9851383,0.043646358
2,0,0.05,0.9924253,0.028674413
2,1,0.05,0.98936635,0.03584451
2,2,0.05,0.9909687,0.033470162
2,3,0.05,0.98936635,0.030996363
2,4,0.05,0.99155134,0.027837228
3,0,0.05,0.9866471,0.042643323
3,1,0.05,0.8702861,0.314014799
3,2,0.05,0.98767424,0.041157279
3,3,0.05,0.96771824,0.096629401
3,4,0.05,0.9895818,0.033261717
4,0,0.05,0.78813434,0.475922376
4,1,0.05,0.9893849,0.035745186
4,2,0.05,0.9890941,0.037147067
4,3,0.05,0.9895303,0.033876995
4,4,0.05,0.932965,0.175688562
0,0,0.1,0.98795,0.040869482
0,1,0.1,0.98530495,0.040880298
0,2,0.1,0.8489346,0.299282247
0,3,0.1,0.98853785,0.042350332
0,4,0.1,0.9814842,0.057153489
1,0,0.1,0.8402001,0.33060501
1,1,0.1,0.9892584,0.037065498
1,2,0.1,0.8915539,0.23050645
1,3,0.1,0.7118893,0.543106152
1,4,0.1,0.9880812,0.039065494
2,0,0.1,0.98120904,0.057164422
2,1,0.1,0.989949,0.032860346
2,2,0.1,0.98849237,0.043194843
2,3,0.1,0.98863804,0.034601284
2,4,0.1,0.8741442,0.304971838
3,0,0.1,0.98826116,0.037939942
3,1,0.1,0.8735143,0.293738545
3,2,0.1,0.9881145,0.038867897
3,3,0.1,0.987821,0.045792204
3,4,0.1,0.9854732,0.046258079
4,0,0.1,0.97557074,0.076447891
4,1,0.1,0.9866221,0.041282788
4,2,0.1,0.96873635,0.095576431
4,3,0.1,0.9890941,0.039902877
4,4,0.1,0.9867675,0.045680085
