Mutation Number,Run Num,Percentage,Accuracy2,Loss
0,0,0.001,0.98971343,0.036647258
0,1,0.001,0.98883176,0.035146003
0,2,0.001,0.9907421,0.031044768
0,3,0.001,0.9886848,0.036349663
0,4,0.001,0.9886848,0.037897843
1,0,0.001,0.9905827,0.033164292
1,1,0.001,0.988817,0.034997344
1,2,0.001,0.9895527,0.033332045
1,3,0.001,0.98719835,0.037779855
1,4,0.001,0.9882284,0.03554366
2,0,0.001,0.99198836,0.026169288
2,1,0.001,0.99198836,0.028073616
2,2,0.001,0.99024034,0.031667714
2,3,0.001,0.9918427,0.029615684
2,4,0.001,0.9924253,0.025758395
3,0,0.001,0.98928833,0.030521597
3,1,0.001,0.9897285,0.031792353
3,2,0.001,0.98928833,0.033355893
3,3,0.001,0.98767424,0.034983462
3,4,0.001,0.9894351,0.032840452
4,0,0.001,0.9899666,0.03400608
4,1,0.001,0.9899666,0.032591305
4,2,0.001,0.9904028,0.032473374
4,3,0.001,0.98982114,0.033741693
4,4,0.001,0.9904028,0.03444633
0,0,0.005,0.98971343,0.035469487
0,1,0.005,0.98883176,0.034648904
0,2,0.005,0.99030125,0.030898834
0,3,0.005,0.98883176,0.034904365
0,4,0.005,0.98824394,0.037990619
1,0,0.005,0.9902884,0.034790623
1,1,0.005,0.98969984,0.034751243
1,2,0.005,0.988817,0.033569869
1,3,0.005,0.98778695,0.037166876
1,4,0.005,0.98852265,0.034558526
2,0,0.005,0.991697,0.026286821
2,1,0.005,0.991697,0.028959802
2,2,0.005,0.990386,0.031038406
2,3,0.005,0.99126,0.030519714
2,4,0.005,0.9922797,0.025766568
3,0,0.005,0.9895818,0.030426413
3,1,0.005,0.99016875,0.031683528
3,2,0.005,0.9891416,0.033114851
3,3,0.005,0.98767424,0.035506129
3,4,0.005,0.98855466,0.03426781
4,0,0.005,0.9899666,0.032738565
4,1,0.005,0.99011195,0.032787609
4,2,0.005,0.990839,0.031431558
4,3,0.005,0.9904028,0.03178545
4,4,0.005,0.98982114,0.034355218
0,0,0.01,0.9895665,0.03553153
0,1,0.01,0.9892726,0.034261596
0,2,0.01,0.9901543,0.031077737
0,3,0.01,0.9886848,0.035713158
0,4,0.01,0.98853785,0.037881817
1,0,0.01,0.99043554,0.033132518
1,1,0.01,0.98911124,0.034141983
1,2,0.01,0.9889641,0.033380603
1,3,0.01,0.98852265,0.036471162
1,4,0.01,0.98852265,0.035576651
2,0,0.01,0.9924253,0.026365175
2,1,0.01,0.9924253,0.027510997
2,2,0.01,0.990386,0.031362463
2,3,0.01,0.99155134,0.029545041
2,4,0.01,0.99329937,0.025821019
3,0,0.01,0.9895818,0.030997991
3,1,0.01,0.9895818,0.032642166
3,2,0.01,0.98899484,0.035112029
3,3,0.01,0.98723406,0.036225722
3,4,0.01,0.9891416,0.03315256
4,0,0.01,0.7872619,0.672876305
4,1,0.01,0.9895303,0.032672196
4,2,0.01,0.9914207,0.031129059
4,3,0.01,0.98967576,0.035285963
4,4,0.01,0.7869711,0.402814237
0,0,0.05,0.9895665,0.037875016
0,1,0.05,0.9878031,0.041712175
0,2,0.05,0.9886848,0.034857928
0,3,0.05,0.98883176,0.036507932
0,4,0.05,0.98795,0.037858915
1,0,0.05,0.9889641,0.035534151
1,1,0.05,0.98969984,0.035253144
1,2,0.05,0.7947322,0.932942234
1,3,0.05,0.8012066,0.86286664
1,4,0.05,0.616392,1.10108657
2,0,0.05,0.5688274,1.607763739
2,1,0.05,0.9909687,0.030643352
2,2,0.05,0.990386,0.033828135
2,3,0.05,0.989949,0.036539448
2,4,0.05,0.99213403,0.027595624
3,0,0.05,0.98855466,0.034798597
3,1,0.05,0.9829787,0.053091492
3,2,0.05,0.9884079,0.034591073
3,3,0.05,0.9879677,0.036322276
3,4,0.05,0.9897285,0.032797619
4,0,0.05,0.98894864,0.03602976
4,1,0.05,0.6354515,0.896582498
4,2,0.05,0.9906936,0.032454738
4,3,0.05,0.61087686,1.355757022
4,4,0.05,0.9854588,0.046445586
0,0,0.1,0.78618664,0.489812052
0,1,0.1,0.6008817,1.012930986
0,2,0.1,0.9876561,0.034207149
0,3,0.1,0.6758266,0.587888812
0,4,0.1,0.96311533,0.111365022
1,0,0.1,0.9863155,0.042825985
1,1,0.1,0.98425543,0.05232861
1,2,0.1,0.98646265,0.041953903
1,3,0.1,0.54708654,1.081844651
1,4,0.1,0.98793405,0.037121524
2,0,0.1,0.99024034,0.034078759
2,1,0.1,0.62388927,0.83324092
2,2,0.1,0.597815,1.521333918
2,3,0.1,0.9831027,0.059100193
2,4,0.1,0.80029136,0.971190356
3,0,0.1,0.9895818,0.036346817
3,1,0.1,0.98826116,0.039032017
3,2,0.1,0.98694056,0.043298893
3,3,0.1,0.9873808,0.038408939
3,4,0.1,0.9837124,0.050805705
4,0,0.1,0.9860404,0.046749048
4,1,0.1,0.9812418,0.059181844
4,2,0.1,0.9872037,0.049688975
4,3,0.1,0.78711647,0.823025161
4,4,0.1,0.79627746,0.753137218
