Mutation Number,Run Num,Percentage,Accuracy2,Loss
0,0,0.001,0.98912567,0.036225279
0,1,0.001,0.9895665,0.03413377
0,2,0.001,0.99059516,0.031503507
0,3,0.001,0.9886848,0.035702325
0,4,0.001,0.98839086,0.038322944
1,0,0.001,0.9901413,0.033297085
1,1,0.001,0.98969984,0.033894453
1,2,0.001,0.9892584,0.033306977
1,3,0.001,0.98837554,0.036436896
1,4,0.001,0.98837554,0.03544008
2,0,0.001,0.99198836,0.025949186
2,1,0.001,0.99155134,0.028390918
2,2,0.001,0.99024034,0.031198245
2,3,0.001,0.99155134,0.029644996
2,4,0.001,0.9918427,0.028359736
3,0,0.001,0.9894351,0.030559127
3,1,0.001,0.9897285,0.031772857
3,2,0.001,0.98928833,0.032995314
3,3,0.001,0.9875275,0.034581017
3,4,0.001,0.9895818,0.032340147
4,0,0.001,0.98982114,0.032292309
4,1,0.001,0.98967576,0.032544549
4,2,0.001,0.9904028,0.031530171
4,3,0.001,0.9905482,0.031550365
4,4,0.001,0.9899666,0.034827829
0,0,0.005,0.9898604,0.035548323
0,1,0.005,0.9889787,0.034429519
0,2,0.005,0.9901543,0.031584573
0,3,0.005,0.98883176,0.035375057
0,4,0.005,0.9886848,0.037903325
1,0,0.005,0.9913184,0.032165238
1,1,0.005,0.98984694,0.033797141
1,2,0.005,0.9894055,0.033286296
1,3,0.005,0.988817,0.036240497
1,4,0.005,0.9886698,0.03458072
2,0,0.005,0.99213403,0.025902539
2,1,0.005,0.80101967,1.345789374
2,2,0.005,0.990386,0.031109875
2,3,0.005,0.99155134,0.029523514
2,4,0.005,0.992571,0.02572843
3,0,0.005,0.98928833,0.030407422
3,1,0.005,0.98987526,0.031864051
3,2,0.005,0.9891416,0.033040944
3,3,0.005,0.98767424,0.035045246
3,4,0.005,0.9895818,0.032714918
4,0,0.005,0.98967576,0.033070131
4,1,0.005,0.9895303,0.03257859
4,2,0.005,0.9905482,0.03237214
4,3,0.005,0.9906936,0.031840387
4,4,0.005,0.99011195,0.03462838
0,0,0.01,0.98971343,0.035770228
0,1,0.01,0.9889787,0.034429519
0,2,0.01,0.9904482,0.030641717
0,3,0.01,0.98883176,0.036427179
0,4,0.01,0.988097,0.038795813
1,0,0.01,0.9901413,0.032377122
1,1,0.01,0.98969984,0.03363996
1,2,0.01,0.9894055,0.033320191
1,3,0.01,0.98793405,0.039751419
1,4,0.01,0.98837554,0.03510553
2,0,0.01,0.99198836,0.026158391
2,1,0.01,0.99155134,0.028386601
2,2,0.01,0.99067736,0.03097461
2,3,0.01,0.99140567,0.028798488
2,4,0.01,0.9922797,0.026112786
3,0,0.01,0.9894351,0.030634571
3,1,0.01,0.98987526,0.031814704
3,2,0.01,0.98928833,0.033196472
3,3,0.01,0.98826116,0.035165051
3,4,0.01,0.98987526,0.032298421
4,0,0.01,0.98967576,0.03293203
4,1,0.01,0.9892395,0.032632645
4,2,0.01,0.9904028,0.03157871
4,3,0.01,0.990839,0.03246203
4,4,0.01,0.7869711,1.194428811
0,0,0.05,0.826892,0.339494266
0,1,0.05,0.988097,0.040356572
0,2,0.05,0.93739897,0.171203765
0,3,0.05,0.9844232,0.048110384
0,4,0.05,0.8064658,0.459891294
1,0,0.05,0.988817,0.036368603
1,1,0.05,0.9889641,0.03701443
1,2,0.05,0.9889641,0.043693452
1,3,0.05,0.9869041,0.038687648
1,4,0.05,0.98778695,0.036793871
2,0,0.05,0.99140567,0.029579004
2,1,0.05,0.99155134,0.028300067
2,2,0.05,0.91405684,0.22126821
2,3,0.05,0.99024034,0.033134627
2,4,0.05,0.803059,0.594093523
3,0,0.05,0.7986794,0.733402382
3,1,0.05,0.98884815,0.034503197
3,2,0.05,0.98855466,0.035386215
3,3,0.05,0.9857667,0.041317662
3,4,0.05,0.9887014,0.03486788
4,0,0.05,0.7932238,0.47648232
4,1,0.05,0.98851246,0.035923758
4,2,0.05,0.99011195,0.033297582
4,3,0.05,0.98894864,0.033592365
4,4,0.05,0.9899666,0.034308459
0,0,0.1,0.9835415,0.05333941
0,1,0.1,0.6017634,1.373245155
0,2,0.1,0.98839086,0.042898625
0,3,0.1,0.77031595,1.160068373
0,4,0.1,0.98280674,0.053123193
1,0,0.1,0.9874926,0.03926445
1,1,0.1,0.8235727,0.517353709
1,2,0.1,0.98984694,0.036554782
1,3,0.1,0.98837554,0.039156676
1,4,0.1,0.98719835,0.037109658
2,0,0.1,0.9918427,0.029148897
2,1,0.1,0.7736344,0.931356236
2,2,0.1,0.87618357,0.323311308
2,3,0.1,0.9836854,0.053957903
2,4,0.1,0.9909687,0.030134377
3,0,0.1,0.82435805,0.469600998
3,1,0.1,0.98826116,0.037593522
3,2,0.1,0.98723406,0.045247761
3,3,0.1,0.9848863,0.049469854
3,4,0.1,0.7954512,0.618226479
4,0,0.1,0.9893849,0.035615823
4,1,0.1,0.82390577,0.551826489
4,2,0.1,0.61712956,1.089074072
4,3,0.1,0.98560417,0.054260358
4,4,0.1,0.98734915,0.039041765
