"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,0.099,0.158416666666667,0.126045833333333,0.760437500005,0.0203211689778352,6.78603861673865e-08,"large",1,"k","-0.644131122795852:-0.624394110501084","k",1.33289418967808e-52,"k",20,20,20
"2",2,2,0.0950833333333333,0.104333333333333,0.100645833333333,0.760437500005,0.00243495424864256,6.77647383397646e-08,"large",1,"k","-0.662539710927082:-0.657181004606059","k",1.29701040461747e-74,"k",20,20,20
"3",3,3,0.09775,0.11925,0.110825,0.760437500005,0.00696948759306891,6.78603861673865e-08,"large",1,"k","-0.653611566388758:-0.645683886496767","k",1.64516784988199e-67,"k",20,20,20
"4",4,4,0.464333333333333,0.601083333333333,0.5434,0.760437500005,0.0416443677172928,6.77647383397646e-08,"large",1,"k","-0.235980427325644:-0.196927367223938","k",5.44298504620493e-24,"k",20,20,20
"5",5,5,0.738916666666667,0.765583333333333,0.75715,0.760437500005,0.00657817363871254,0.0763757445782214,"medium",0.9976777323075,"nk","-0.00712371706526004:0.00111098663307296","nk",0.0876264191584856,"nk",3,0,0
"6",6,6,0.72825,0.770916666666667,0.7568125,0.760437500005,0.00943571954662564,0.213344717317195,"small",0.994786864873546,"nk","-0.00826546461132131:0.00140618640903828","nk",0.140675043395118,"nk",6,0,0
"7",7,7,0.743333333333333,0.766,0.757954166666667,0.760437500005,0.00608375238883496,0.233922377542691,"small",0.992688940694273,"nk","-0.00612419205423064:0.00109527105615281","nk",0.17335091095648,"nk",1,0,0
"8",8,8,0.738833333333333,0.768333333333333,0.75555,0.760437500005,0.00743521728938373,0.0314931938689348,"medium",0.999847811459308,"k","-0.00898791098195907:-0.000731030509365786","k",0.0209547547682809,"k",6,0,0
"9",9,9,0.74875,0.767583333333333,0.757608333333333,0.760437500005,0.00606007329197374,0.126377246947244,"medium",0.995923048835199,"nk","-0.00620814600639903:0.000752944301237776","nk",0.121397861977739,"nk",3,0,0
"10",10,10,0.739,0.768583333333333,0.75555,0.760437500005,0.00671007795773122,0.0166534932257003,"large",0.999933284614462,"k","-0.00859596663786496:-0.00103501332921448","k",0.0140545055162321,"k",4,0,0
"11",11,16,0.7375,0.77125,0.760054166666667,0.760437500005,0.00752103653076329,0.807638501210228,"negligible",0.951724483136007,"nk","-0.0044864835045509:0.00376941383426213","nk",0.85228288034269,"nk",1,0,0
"12",12,17,0.749,0.765666666666667,0.759933333333333,0.760437500005,0.00494535933450427,0.807638501210228,"negligible",0.954693090155982,"nk","-0.00383265964160051:0.00279312084956236","nk",0.755109847577199,"nk",2,0,0
"13",13,18,0.747416666666667,0.773583333333333,0.762358333333333,0.760437500005,0.00742300143421768,0.297654092916128,"small",0.979610396908103,"nk","-0.00201839272851278:0.00589009324591908","nk",0.349234828034119,"nk",2,0,0
"14",14,21,0.747666666666667,0.764583333333333,0.756604166666667,0.760437500005,0.00511561328376234,0.0238965514233157,"medium",0.999798620554442,"k","-0.00708942007924152:-0.000623565589036895","k",0.0240701069229233,"k",3,0,0
"15",15,22,0.753166666666667,0.769916666666667,0.760595833333333,0.760437500005,0.00515741071022254,0.978416746836389,"negligible",0.950464471059991,"nk","-0.0031196740993482:0.00345324910070586","nk",0.92349252828781,"nk",1,0,0
"16",16,23,0.742166666666667,0.76625,0.756025,0.760437500005,0.00692662567740265,0.0564933733712018,"medium",0.999719409922045,"nk","-0.00836819832804467:-0.000367314379175752","k",0.0284241169106272,"k",5,0,0
"17",17,24,0.750333333333333,0.768916666666667,0.760558333333333,0.760437500005,0.00542547192546742,0.967628537689158,"negligible",0.95025746192649,"nk","-0.003127259968842:0.00317828895593544","nk",0.943057217410596,"nk",1,0,0
"18",18,25,0.752583333333333,0.77275,0.762783333333333,0.760437500005,0.00624063040375389,0.310379560824775,"small",0.990543843348679,"nk","-0.00151522947559337:0.00597884810976808","nk",0.204365055280395,"nk",0,0,0
"19",19,26,0.749833333333333,0.77325,0.7621125,0.760437500005,0.0063428065692908,0.379287219986881,"small",0.978259414384601,"nk","-0.00211383815074442:0.00535738951563018","nk",0.3668700926334,"nk",2,0,0
"20",20,31,0.742916666666667,0.769416666666667,0.757325,0.760437500005,0.00780668760390917,0.239301665427796,"small",0.994453254257009,"nk","-0.0072840232991971:0.00107144365474748","nk",0.146086264021891,"nk",4,0,0
"21",21,32,0.754833333333333,0.775666666666667,0.763754166666667,0.760437500005,0.00633393781741294,0.163536450672224,"medium",0.998101333450535,"nk","-0.000580332695223377:0.00690476966520997","nk",0.0782358242449906,"nk",0,0,0
"22",22,33,0.74525,0.775083333333333,0.766508333333333,0.760437500005,0.00704931977971813,0.00178060058329077,"large",0.99999658453852,"k","0.00193665564501124:0.00980735300835582","nk",0.00364326402732941,"k",0,0,0
"23",23,36,0.742416666666667,0.76375,0.754616666666667,0.760437500005,0.00570224896640387,0.00213823002660026,"large",0.999999417777814,"k","-0.00930526157882243:-0.00220316849907874","k",0.00172181170496818,"k",5,0,0
"24",24,37,0.735,0.769166666666667,0.755375,0.760437500005,0.0080561126042526,0.02942566224341,"medium",0.999808847021964,"k","-0.00945053777283962:-0.000653484196243774","k",0.0234543943572156,"k",6,0,0
