"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,0.948285714285714,0.9625,0.952360714285714,0.99031785715,0.00371605474067064,6.76692076784542e-08,"large",1,"k","-0.0397480032867685:-0.0361800629187632","k",2.31807475956155e-34,"k",20,0,0
"2",2,2,0.0893571428571429,0.299642857142857,0.166378571428571,0.99031785715,0.0630087376512826,6.77647383397646e-08,"large",1,"k","-0.851682151815881:-0.792868001020213","k",7.78859532238404e-39,"k",20,20,20
"3",3,3,0.131571428571429,0.180714285714286,0.159517857142857,0.99031785715,0.0128013382717091,6.77647383397646e-08,"large",1,"k","-0.83683797111471:-0.824982371313984","k",3.77353221041662e-65,"k",20,20,20
"4",4,4,0.984071428571429,0.99,0.987792857142857,0.99031785715,0.00150935144450489,1.37137432527274e-06,"large",1,"k","-0.00724027583904313:0.00752806015326431","nk",1.42501085797592e-07,"k",0,0,0
"5",5,5,0.987214285714286,0.992857142857143,0.990278571428571,0.99031785715,0.00112721913842718,0.755687349186162,"negligible",0.950739772365449,"nk","-0.00330950497204981:0.00309773697469845","nk",0.903403005546091,"nk",0,0,0
"6",6,7,0.988785714285714,0.991642857142857,0.990232142857143,0.99031785715,0.000634606621388222,0.37904111960375,"negligible",0.95575490107807,"nk","-0.00235264569820922:0.00246630744551966","nk",0.72832257378479,"nk",0,0,0
"7",7,19,0.988642857142857,0.992142857142857,0.990414285714286,0.99031785715,0.000851358931400366,0.989206373310264,"negligible",0.955743012820003,"nk","-0.00350962871000496:0.0033960498901347","nk",0.728608927841269,"nk",0,0,0
"8",8,20,0.9885,0.991428571428571,0.990239285714286,0.99031785715,0.000935708546156994,0.796992403996555,"negligible",0.953552744383387,"nk","-0.00404289116688186:0.00419208607351162","nk",0.787338563882756,"nk",0,0,0
"9",9,21,0.988428571428571,0.992357142857143,0.990303571428571,0.99031785715,0.000919088361193876,0.881697738718261,"negligible",0.950123960900988,"nk","-0.00290173819484816:0.00288697216880665","nk",0.960496734619783,"nk",0,0,0
"10",10,22,0.988642857142857,0.9915,0.99015,0.99031785715,0.000799066318737113,0.473335328474885,"negligible",0.96621260593382,"nk","-0.00287614302481792:0.00312408162770477","nk",0.534738737001859,"nk",0,0,0
"11",11,23,0.9885,0.992,0.9903,0.99031785715,0.000938094601986984,0.881675687969442,"negligible",0.950189488161497,"nk","-0.00353982203340154:0.00351786610530722","nk",0.951154272312452,"nk",0,0,0
"12",12,26,0.988928571428571,0.992071428571429,0.990389285714286,0.99031785715,0.000931163242341693,0.946073873620089,"negligible",0.952969387424024,"nk","-0.00260324973432104:0.00283648233629357","nk",0.805768671827525,"nk",0,0,0
"13",13,27,0.989142857142857,0.992,0.990621428571429,0.99031785715,0.000716200441193409,0.350611823197442,"small",0.987728706634453,"nk","-0.00382610817263324:0.00375368484722127","nk",0.242959763913291,"nk",0,0,0
"14",14,38,0.989142857142857,0.992285714285714,0.990653571428571,0.99031785715,0.000965649272625875,0.394037783145796,"small",0.986391105622376,"nk","-0.00384297242290826:0.00396745686440607","nk",0.260782599866112,"nk",0,0,0
"15",15,31,0.987357142857143,0.992142857142857,0.990478571428571,0.99031785715,0.00106856760885491,0.490049141138304,"negligible",0.961679109131581,"nk","-0.00447220251334827:0.00439553552798078","nk",0.608744227825798,"nk",0,0,0
"16",16,32,0.988142857142857,0.991714285714286,0.990635714285714,0.99031785715,0.000826813016162026,0.285101280665633,"small",0.987200056840391,"nk","-0.0038809085858899:0.00400977142373774","nk",0.250033613409779,"nk",0,0,0
"17",17,33,0.989357142857143,0.991928571428571,0.990885714285714,0.99031785715,0.000673417307493822,0.0255216609964274,"medium",0.999709754454144,"k","-0.00339159230663375:0.0035209983614374","nk",0.0289141335349589,"k",0,0,0
"18",18,34,0.989214285714286,0.991571428571429,0.990325,0.99031785715,0.000799595426701345,0.946066292638161,"negligible",0.95003545176171,"nk","-0.0022913815236904:0.00249449526808261","nk",0.978877322854277,"nk",0,0,0
"19",19,37,0.987857142857143,0.991714285714286,0.990321428571429,0.99031785715,0.000930882029788652,0.967623982435216,"negligible",0.950007654828845,"nk","-0.00371745674739066:0.00390425218194793","nk",0.990185260355413,"nk",0,0,0
"20",20,42,0.988857142857143,0.9915,0.990064285714286,0.99031785715,0.000784140597665094,0.273172602223191,"small",0.979861192913675,"nk","-0.00362438719036554:0.00363300813395697","nk",0.345969971996507,"nk",0,0,0
"21",21,44,0.988428571428571,0.991928571428571,0.99025,0.99031785715,0.000939781952450942,0.63586533539371,"negligible",0.952662713584002,"nk","-0.00344646094162585:0.00356861516985303","nk",0.816164887437254,"nk",0,0,0
