"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,6,0.921597202,0.941263282,0.93239106475,0.989720553124001,0.00485470599823259,1.45088891038497e-11,"large",1,"k","-0.0597210349560768:-0.0549884519544168","k",8.20772200018008e-37,"k",20,19,0
"2",2,7,0.178818444,0.400465319,0.2513283628,0.989720553124001,0.0701580316107096,1.45088891038497e-11,"large",1,"k","-0.770624649617909:-0.704767030054453","k",2.66978548708365e-35,"k",20,20,20
"3",3,8,0.256016237,0.332799068,0.2985191244,0.989720553124001,0.0204726944218525,1.45088891038497e-11,"large",1,"k","-0.700578832207002:-0.681743760405009","k",2.15182733155796e-54,"k",20,20,20
"4",4,9,0.985430464,0.992337165,0.98890286365,0.989720553124001,0.00167471311683387,0.0634324461040135,"medium",0.998405602306988,"nk","-0.00673456678880955:0.00651983073400007","nk",0.0709983330959757,"nk",0,0,0
"5",5,10,0.986568458,0.992280804,0.9895757543,0.989720553124001,0.00153989989112706,0.820148096319688,"negligible",0.955727038889527,"nk","-0.00549500462575905:0.00502339651136704","nk",0.728994131666589,"nk",0,0,0
"6",6,11,0.987140143,0.991735537,0.98968419235,0.989720553124001,0.00124238715014286,0.925425784849299,"negligible",0.950502436506956,"nk","-0.0054562102323504:0.00554968504974271","nk",0.920422320350162,"nk",0,0,0
"7",7,12,0.989111242,0.992716679,0.99051624385,0.989720553124001,0.00102229807550715,0.0429846329009651,"medium",0.999873010980729,"k","-0.00443800039518869:0.00459125042878675","nk",0.0191749895537584,"k",0,0,0
"8",8,15,0.987612941,0.992178276,0.990072397,0.989720553124001,0.00118279885777213,0.301252638811279,"small",0.981624275779465,"nk","-0.00450974429929279:0.00468181922793594","nk",0.323060917185702,"nk",0,0,0
"9",9,16,0.987543962,0.99184268,0.9897866288,0.989720553124001,0.00123115001938399,0.968002395288752,"negligible",0.951657417206784,"nk","-0.000706433308855762:0.000870387613787704","nk",0.855199471600967,"nk",0,0,0
"10",10,17,0.988373804,0.993008012,0.9907283082,0.989720553124001,0.000932623581191232,0.00333469943937955,"large",0.999998554380242,"k","-0.00502298763840905:0.0050315432777783","nk",0.0025198115713686,"k",0,0,0
"11",11,20,0.987890283,0.991587957,0.98943659015,0.989720553124001,0.00106478716155821,0.429081640577506,"small",0.975915440327281,"nk","-0.00485491213587401:0.00481863580312358","nk",0.397762082795045,"nk",0,0,0
"12",12,23,0.986940572,0.992325856,0.98973529545,0.989720553124001,0.00139047876912192,0.989331633124253,"negligible",0.950072186059282,"nk","-0.00585543940433593:0.00567385425513184","nk",0.969857320826338,"nk",0,0,0
"13",13,29,0.987637969,0.991840303,0.98977109185,0.989720553124001,0.00118591557588243,0.989331633124253,"negligible",0.95101903583073,"nk","-0.00480985817662557:0.00469581346533043","nk",0.886576527912862,"nk",0,0,0
"14",14,30,0.987432413,0.991440378,0.98951769555,0.989720553124001,0.00118470974064197,0.620465061805682,"negligible",0.964130581293526,"nk","-0.00530748300364395:0.00486213059159271","nk",0.56752792643166,"nk",0,0,0
"15",15,39,0.987290583,0.992716679,0.9897067174,0.989720553124001,0.0011420246139364,0.968002395288752,"negligible",0.950080417578857,"nk","-0.00520873981721034:0.00540814002479352","nk",0.96818467858067,"nk",0,0,0
"16",16,40,0.987822557,0.992768595,0.98982953245,0.989720553124001,0.00129280111344263,0.925425784849299,"negligible",0.954143041124631,"nk","-0.00549962620194687:0.00547679855325615","nk",0.770122421156792,"nk",0,0,0
"17",17,41,0.987351081,0.990997639,0.9891502678,0.989720553124001,0.00117276630821797,0.127419070428211,"medium",0.996485623389424,"nk","-0.00397579696827271:0.00375903341858352","nk",0.111232572306702,"nk",0,0,0
"18",18,59,0.987932303,0.992280804,0.990006401,0.989720553124001,0.0013128619968724,0.67830620340172,"small",0.972115513929497,"nk","-0.00358597923738498:0.00370413959875173","nk",0.449167795676823,"nk",0,0,0
"19",19,60,0.986313466,0.992280804,0.98977729195,0.989720553124001,0.00134896103913728,0.820148096319688,"negligible",0.951099854092041,"nk","-0.00487325321087882:0.00496287269786451","nk",0.882149357561239,"nk",0,0,0
"20",20,63,0.987051207,0.993008012,0.99053901505,0.989720553124001,0.00165094807450789,0.0304112560387649,"medium",0.998525792925283,"k","-0.0041092160813559:0.00442235595246764","nk",0.0679959890199504,"nk",0,0,0
"21",21,66,0.989168111,0.993153678,0.9908984141,0.989720553124001,0.00101888975789831,0.00176678384348743,"large",0.999999901517721,"k","-0.00542611047258626:0.00532660135756808","nk",0.000838804155609655,"k",0,0,0
"22",22,67,0.987362234,0.99227968,0.9896985182,0.989720553124001,0.00130742236725365,0.968002395288752,"negligible",0.950174086168049,"nk","-0.0038084865888874:0.0038565113801003","nk",0.953182618932578,"nk",0,0,0
