Mutation Number,Run Number,Accuracy1,Loss1,Accuracy2,Loss2
6,0,0.959833218,0.139052819,0.926083762,0.22821924
6,1,0.953914492,0.162571607,0.925397292,0.237688835
6,2,0.95529082,0.150847763,0.933430444,0.210431481
6,3,0.955741127,0.158371361,0.927366104,0.238420382
6,4,0.956057841,0.146250005,0.935291552,0.223406747
6,5,0.957598657,0.148871683,0.937700613,0.204539343
6,6,0.959307237,0.143300907,0.934908669,0.22285919
6,7,0.953348277,0.160160462,0.921597202,0.235580888
6,8,0.961436356,0.137159034,0.933800964,0.215221789
6,9,0.955869992,0.151950284,0.935150102,0.211020838
6,10,0.955422858,0.153634105,0.932637153,0.23702061
6,11,0.956755229,0.145065832,0.93067591,0.233637895
6,12,0.959489767,0.13889502,0.938100786,0.218146529
6,13,0.95819398,0.145884105,0.936254396,0.216766495
6,14,0.956657224,0.140420858,0.928530259,0.22565258
6,15,0.951135105,0.179965385,0.941263282,0.202219741
6,16,0.955725191,0.146341394,0.931861663,0.222532649
6,17,0.959506796,0.13438593,0.93020545,0.23899847
6,18,0.959245911,0.135316176,0.931476569,0.226846031
6,19,0.959877403,0.137968573,0.936089123,0.218889684
7,0,0.496594858,1.462387156,0.20382072,1.792337221
7,1,0.412687396,1.529233845,0.196144791,1.692228089
7,2,0.414295725,1.508495809,0.213401311,1.678414288
7,3,0.470842032,1.463182809,0.316801174,1.624128353
7,4,0.520005616,1.441878761,0.400465319,1.561728895
7,5,0.343129023,1.578113429,0.247154946,1.7004884
7,6,0.368628555,1.5497277,0.19947811,1.767651385
7,7,0.226534043,1.587836898,0.201253279,1.675367124
7,8,0.411345536,1.579351081,0.366505918,1.613408095
7,9,0.190109274,1.833775657,0.201399009,1.872050445
7,10,0.315511734,1.503093104,0.274305045,1.596570255
7,11,0.200960995,1.675920241,0.196851531,1.658530869
7,12,0.482197925,1.538764444,0.352461404,1.560514702
7,13,0.198439242,1.700557228,0.212338804,1.783963496
7,14,0.190084986,1.733716954,0.178818444,1.90984693
7,15,0.534330011,1.476600362,0.294864227,1.692386365
7,16,0.322137405,1.61335626,0.200883002,1.816135416
7,17,0.220260614,1.750260699,0.204720968,1.837779612
7,18,0.51926809,1.454132585,0.353964044,1.673748231
7,19,0.392309836,1.503258727,0.21093521,1.657661683
8,0,0.327310632,1.449925871,0.303306392,1.493138761
8,1,0.274569684,1.483641145,0.304296645,1.500890927
8,2,0.268955851,1.466494405,0.320320466,1.486949511
8,3,0.310090466,1.477074843,0.263829787,1.497347933
8,4,0.298610136,1.47187386,0.285298822,1.509457436
8,5,0.284494822,1.477374622,0.322147651,1.496568154
8,6,0.278231484,1.477849738,0.256016237,1.525783249
8,7,0.266881479,1.486983353,0.298455261,1.501123923
8,8,0.25751013,1.491401258,0.280432559,1.504225261
8,9,0.2751471,1.470986167,0.306178957,1.497579731
8,10,0.280655465,1.470496506,0.268421827,1.503655704
8,11,0.273035613,1.475450189,0.294916233,1.512700376
8,12,0.2869358,1.46070284,0.319982523,1.484911276
8,13,0.287346711,1.453115329,0.287368113,1.5072932
8,14,0.283569405,1.477412122,0.293804035,1.505963112
8,15,0.284883721,1.468979175,0.308293979,1.490377212
8,16,0.294378904,1.451068912,0.308462105,1.483598889
8,17,0.333053104,1.436355702,0.332799068,1.485031133
8,18,0.308428057,1.453274097,0.297376953,1.500239971
8,19,0.26720535,1.469081245,0.318674875,1.491419092
9,0,0.995135511,0.078406421,0.987656135,0.198959709
9,1,0.994447529,0.089495374,0.98852266,0.184992973
9,2,0.993833217,0.099402768,0.989949017,0.162002825
9,3,0.994432846,0.089732035,0.988114453,0.191572493
9,4,0.992840095,0.115404144,0.989966555,0.161720139
9,5,0.99202351,0.128565952,0.986723081,0.213998758
9,6,0.994086173,0.095319748,0.988692375,0.182257504
9,7,0.99467638,0.085806735,0.989653162,0.166771435
9,8,0.994271343,0.092335163,0.988309221,0.188433208
9,9,0.994256094,0.092580942,0.988924512,0.178515894
9,10,0.994028607,0.096247598,0.98705692,0.208617913
9,11,0.996184285,0.061502179,0.987868284,0.19554027
9,12,0.994533221,0.088114182,0.991406933,0.138503998
9,13,0.991499443,0.137012915,0.989009379,0.177148002
9,14,0.994617564,0.08675474,0.987752161,0.19741195
9,15,0.993909192,0.09817235,0.991292798,0.14034363
9,16,0.993060375,0.111853661,0.985430464,0.234833296
9,17,0.994955864,0.081301988,0.989946088,0.162050036
9,18,0.994455226,0.089371316,0.992337165,0.123510428
9,19,0.994566732,0.087574056,0.98944591,0.170111944
10,0,0.995413482,0.01752112,0.989419544,0.033736566
10,1,0.9929206,0.026048838,0.989846969,0.032363458
10,2,0.994814296,0.016181156,0.992134013,0.029715579
10,3,0.994432846,0.021122871,0.989141599,0.033699637
10,4,0.994103608,0.020127586,0.989675731,0.032502213
10,5,0.99286314,0.023835869,0.988036183,0.03421275
10,6,0.994226978,0.018680825,0.987967527,0.03701591
10,7,0.994536285,0.02065595,0.989653162,0.034256729
10,8,0.994830236,0.01734922,0.989916703,0.033535421
10,9,0.994256094,0.020514426,0.988487321,0.036798494
10,10,0.993750868,0.018402103,0.988380644,0.036269401
10,11,0.99491238,0.014127868,0.986568458,0.041111494
10,12,0.995093916,0.015448488,0.992280804,0.026005981
10,13,0.993311037,0.024594482,0.989742087,0.03348657
10,14,0.995042493,0.015941634,0.989913545,0.031982515
10,15,0.993493909,0.019796762,0.991145218,0.028722794
10,16,0.99222762,0.028944194,0.986902134,0.04113828
10,17,0.995516323,0.014863844,0.990528923,0.029990647
10,18,0.996118658,0.016730069,0.99071618,0.030274185
10,19,0.995820563,0.016919369,0.991058341,0.029692611
11,0,0.994162613,0.020021428,0.988243938,0.036996342
11,1,0.993892282,0.022203991,0.98852266,0.035815344
11,2,0.992992292,0.021254605,0.991114348,0.030099668
11,3,0.994293667,0.019671183,0.988994864,0.034931262
11,4,0.994805559,0.020214924,0.990402792,0.033563474
11,5,0.993143017,0.022437309,0.989203385,0.03536453
11,6,0.994649395,0.01884929,0.989272253,0.034153474
11,7,0.994816475,0.019425899,0.990090353,0.034434388
11,8,0.994271343,0.022497866,0.987140143,0.038304748
11,9,0.994536285,0.021976017,0.988924512,0.036379441
11,10,0.995417303,0.01531449,0.989116046,0.034714495
11,11,0.995901639,0.013067382,0.987723859,0.041286195
11,12,0.994813569,0.015471577,0.990824352,0.02730495
11,13,0.993171683,0.025302981,0.989742087,0.032979151
11,14,0.994759207,0.016472394,0.99092219,0.030219275
11,15,0.994047619,0.016531017,0.991735537,0.026136876
11,16,0.992921582,0.028255327,0.989403974,0.033308532
11,17,0.995095979,0.015116889,0.990528923,0.03319012
11,18,0.995286942,0.018434961,0.991305629,0.027440848
11,19,0.988158261,0.036821668,0.990472002,0.030816641
12,0,0.995969423,0.015747791,0.990007348,0.030856167
12,1,0.994863964,0.022030878,0.989111242,0.034372128
12,2,0.995094604,0.016801828,0.992716679,0.026646353
12,3,0.995407098,0.019016725,0.989141599,0.032317016
12,4,0.994805559,0.020814618,0.990693616,0.033793333
12,5,0.992443325,0.025579887,0.990224686,0.0312917
12,6,0.995916643,0.01654615,0.989272253,0.031062953
12,7,0.995096666,0.016847512,0.990090353,0.036099514
12,8,0.99538913,0.016574443,0.990939646,0.031300329
12,9,0.99495657,0.020095029,0.989944623,0.034871565
12,10,0.995417303,0.015810753,0.989410207,0.03522569
12,11,0.996608253,0.011798331,0.989601386,0.034602235
12,12,0.99523409,0.014466563,0.991115642,0.026050352
12,13,0.993729097,0.025772265,0.990621336,0.029743863
12,14,0.996175637,0.013426212,0.991498559,0.025604862
