Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,50,0.96595746,0.090985951,0.9715836,0.099584501,0.9873765,0.086581389,0.96240395,0.099991067
0,1,50,0.9843972,0.077039676,0.97486794,0.097153842,0.98573,0.081853388,0.9725576,0.095430142
0,2,50,0.8964539,0.109354127,0.8976153,0.131921523,0.8655324,0.12099291,0.9237102,0.129923566
0,3,50,0.9801418,0.082676809,0.9750107,0.104589421,0.9923161,0.086192546,0.96734357,0.105595119
0,4,50,0.95460993,0.083493859,0.94645154,0.10298154,0.9344127,0.09458273,0.9599341,0.100383378
1,0,50,0.97159094,0.091411576,0.972012,0.0965486,0.9881998,0.086167081,0.9648738,0.100267483
1,1,50,0.90625,0.116282172,0.89890045,0.126573505,0.8605928,0.126567127,0.9182217,0.127324342
1,2,50,0.9318182,0.091910583,0.92803085,0.106763004,0.9072448,0.101744276,0.9407245,0.110418227
1,3,50,0.91335225,0.102032259,0.9088962,0.110571458,0.868551,0.114214444,0.9226125,0.110656553
1,4,50,0.9261364,0.106958243,0.92031986,0.10732946,0.8817234,0.112714599,0.9385291,0.107622775
2,0,50,0.93607956,0.107379465,0.9298872,0.107907269,0.9681668,0.036999152,0.91410536,0.135889842
2,1,50,0.96875,0.091229151,0.97015566,0.097063636,0.99149287,0.032998574,0.96542263,0.12199874
2,2,50,0.9786932,0.097344828,0.96601456,0.097579578,0.9884742,0.035219648,0.9560922,0.123590628
2,3,50,0.94034094,0.100155573,0.92731684,0.106442022,0.9599341,0.039039178,0.9165752,0.134920242
2,4,50,0.9261364,0.115285865,0.91660714,0.119129867,0.9552689,0.043279292,0.9017563,0.147544441
3,0,50,0.9786932,0.085805639,0.9792916,0.09099546,0.9964325,0.047420776,0.96597147,0.125510439
3,1,50,0.95028406,0.097932541,0.9493002,0.102119809,0.97969264,0.052911884,0.928101,0.139321087
3,2,50,0.92471594,0.092704985,0.91888034,0.107993078,0.93688256,0.060477922,0.8970911,0.154406094
3,3,50,0.90767044,0.09951201,0.8994573,0.111962587,0.9187706,0.066850928,0.8715697,0.152709917
3,4,50,0.9105114,0.102054528,0.9098829,0.11011027,0.92700326,0.064751737,0.8907794,0.155167912
4,0,50,0.907932,0.093398652,0.8986004,0.121837544,0.88501644,0.101107741,0.9088913,0.1556051
4,1,50,0.9121813,0.088472245,0.9101685,0.116260057,0.8896817,0.096411288,0.9215148,0.149061541
4,2,50,0.9348442,0.078818498,0.9347329,0.106847407,0.9212404,0.086571393,0.9404501,0.141712679
4,3,50,0.97025496,0.077822485,0.9588689,0.107864538,0.9714599,0.077504031,0.9453897,0.141629724
4,4,50,0.9121813,0.100408973,0.90359896,0.134422742,0.8880351,0.11236315,0.9130077,0.163682088
0,0,75,0.89078015,0.186209327,0.89176065,0.203592111,0.8586718,0.235025379,0.9163008,0.172923878
0,1,75,0.89361703,0.154371759,0.89018995,0.176432988,0.8586718,0.176075074,0.91712403,0.162096718
0,2,75,0.89219856,0.153232409,0.89261746,0.172432804,0.8589462,0.179341338,0.91931945,0.154449359
0,3,75,0.89219856,0.173681342,0.89247465,0.183446474,0.8586718,0.199941615,0.9187706,0.161926178
0,4,75,0.89361703,0.155888701,0.8934742,0.18654581,0.8586718,0.200204083,0.9212404,0.163209312
1,0,75,0.8963068,0.131770984,0.8927602,0.139213448,0.8592206,0.140700782,0.9097146,0.135721391
1,1,75,0.8963068,0.141611943,0.8940454,0.159972701,0.8592206,0.179488738,0.91191,0.149532292
1,2,75,0.8963068,0.217590211,0.89318866,0.233712227,0.8592206,0.289791628,0.90944016,0.205268958
1,3,75,0.89346594,0.136844679,0.89318866,0.153735662,0.8592206,0.157669988,0.9105379,0.151880196
1,4,75,0.89914775,0.164650974,0.89361703,0.175533865,0.8592206,0.205757948,0.909989,0.155901732
2,0,75,0.8948864,0.182658532,0.8911895,0.181415842,0.94758505,0.077473739,0.868551,0.226428737
2,1,75,0.890625,0.195763132,0.8916179,0.187094422,0.94758505,0.075250045,0.86937433,0.231749409
2,2,75,0.8948864,0.158265009,0.89018995,0.155895465,0.94758505,0.062676958,0.8688255,0.19686967
2,3,75,0.8948864,0.178154031,0.8910467,0.185039059,0.94758505,0.074846779,0.8688255,0.237634047
2,4,75,0.890625,0.226588336,0.89004713,0.21380391,0.94758505,0.086483588,0.8690999,0.271623029
3,0,75,0.890625,0.148684887,0.8901742,0.160516525,0.91712403,0.101804298,0.863337,0.21455135
3,1,75,0.890625,0.161207949,0.88831764,0.176011434,0.91712403,0.110803611,0.8605928,0.238473249
3,2,75,0.890625,0.187264515,0.8897458,0.184084207,0.91712403,0.122871833,0.8622393,0.244556501
3,3,75,0.890625,0.132489865,0.8897458,0.14594104,0.91712403,0.088731072,0.8625137,0.193764125
3,4,75,0.88920456,0.162294246,0.88846046,0.171393231,0.91712403,0.107375982,0.8622393,0.231369911
4,0,75,0.9008499,0.172449854,0.8913168,0.206659181,0.88035125,0.19530336,0.89187706,0.230431371
4,1,75,0.89660054,0.14232992,0.890317,0.16989772,0.88035125,0.146036854,0.8935236,0.206589991
4,2,75,0.90226626,0.171146999,0.8914596,0.216587028,0.88035125,0.199309624,0.89379805,0.24917253
4,3,75,0.898017,0.15291368,0.89203084,0.18281661,0.88035125,0.172926498,0.8943469,0.207011943
4,4,75,0.89943343,0.179820045,0.8933162,0.204470913,0.88035125,0.198422385,0.8973655,0.241817963
0,0,80,0.89078015,0.184562848,0.8907611,0.19373934,0.8586718,0.195147274,0.91712403,0.184699566
0,1,80,0.89219856,0.17043708,0.89261746,0.188507432,0.8586718,0.215958782,0.9215148,0.161075161
0,2,80,0.89503545,0.186595754,0.89304584,0.205341798,0.8586718,0.234691408,0.92041713,0.17213531
0,3,80,0.89503545,0.206436874,0.8904755,0.231160807,0.8586718,0.266363052,0.9168496,0.196191162
0,4,80,0.89361703,0.171404472,0.8916179,0.189807325,0.8586718,0.211204005,0.9179473,0.165301962
1,0,80,0.8963068,0.159040077,0.89290303,0.17207404,0.8592206,0.196503766,0.909989,0.16384645
1,1,80,0.8963068,0.227470505,0.89318866,0.241993576,0.8592206,0.297987828,0.9102634,0.214665318
1,2,80,0.89772725,0.209287982,0.89261746,0.213647739,0.8592206,0.235692212,0.9097146,0.202004461
1,3,80,0.8963068,0.1852216,0.89290303,0.198881375,0.8592206,0.228376731,0.90944016,0.186526222
1,4,80,0.8948864,0.212017845,0.8907611,0.222019133,0.8592206,0.247537052,0.90806806,0.205428943
2,0,80,0.890625,0.216821632,0.8904755,0.213093956,0.94758505,0.093889533,0.86937433,0.265730106
2,1,80,0.8948864,0.168339022,0.8897615,0.170551912,0.94758505,0.067701271,0.86937433,0.213237702
2,2,80,0.8948864,0.221412635,0.8906183,0.21224808,0.94758505,0.091163812,0.87239295,0.255323915
2,3,80,0.89204544,0.224094699,0.89190346,0.214777567,0.94758505,0.091463455,0.86937433,0.259503618
2,4,80,0.89346594,0.190183217,0.8904755,0.17867353,0.94758505,0.0668118,0.8682766,0.228035511
3,0,80,0.89204544,0.193484394,0.8906027,0.19701147,0.91712403,0.127904033,0.8638858,0.263303341
3,1,80,0.88920456,0.231497091,0.8906027,0.230391632,0.91712403,0.157026385,0.86416024,0.301499849
3,2,80,0.88352275,0.269648104,0.888032,0.270832583,0.91712403,0.187402253,0.8608672,0.351478821
3,3,80,0.89204544,0.265088114,0.8901742,0.265482275,0.91712403,0.19063011,0.86169046,0.343353258
3,4,80,0.89346594,0.190800631,0.8900314,0.20019906,0.91712403,0.138804646,0.8655324,0.25421425
4,0,80,0.89943343,0.15747458,0.89088833,0.181818202,0.88035125,0.170968541,0.89489573,0.208894062
4,1,80,0.89660054,0.173363694,0.89217365,0.201602789,0.88035125,0.18488594,0.8943469,0.240813726
4,2,80,0.89660054,0.189013349,0.89217365,0.214447144,0.88035125,0.21441207,0.895719,0.2393625
4,3,80,0.89943343,0.147253047,0.89274496,0.173555592,0.88035125,0.162965702,0.895719,0.1971558
4,4,80,0.89660054,0.194638307,0.89203084,0.210766144,0.88035125,0.207433916,0.89489573,0.23253581
0,0,85,0.89361703,0.234370736,0.8920463,0.265061525,0.8586718,0.296969525,0.9198683,0.2209733
0,1,85,0.89361703,0.269406685,0.8910467,0.286026107,0.8586718,0.335261496,0.91739845,0.231607999
0,2,85,0.89361703,0.203728892,0.89247465,0.230376255,0.8586718,0.26387641,0.9195939,0.194887609
0,3,85,0.89361703,0.231673942,0.8907611,0.263443364,0.8586718,0.294949045,0.9163008,0.226818507
0,4,85,0.8964539,0.214421585,0.8904755,0.231627648,0.8586718,0.25923693,0.9152031,0.203668133
1,0,85,0.8948864,0.20234605,0.8920463,0.224738951,0.8592206,0.250465834,0.9105379,0.211287213
1,1,85,0.8963068,0.231959403,0.89318866,0.259068928,0.8592206,0.304916568,0.90916574,0.231169975
1,2,85,0.89772725,0.189476947,0.89290303,0.201197595,0.8592206,0.224936871,0.90944016,0.19171127
1,3,85,0.8963068,0.20046826,0.8920463,0.207700517,0.8592206,0.242344107,0.9075192,0.186331269
1,4,85,0.8963068,0.276668186,0.89290303,0.282896516,0.8592206,0.33711719,0.90779364,0.253622969
2,0,85,0.89346594,0.228941249,0.8909039,0.223042782,0.94758505,0.089751989,0.8718441,0.272288691
2,1,85,0.8963068,0.232408799,0.8903327,0.229301998,0.94758505,0.100795627,0.86937433,0.276999039
2,2,85,0.890625,0.214705625,0.88961875,0.209341125,0.94758505,0.090637088,0.86937433,0.257733977
2,3,85,0.8963068,0.21834692,0.8907611,0.215832655,0.94758505,0.086791724,0.86937433,0.272315087
2,4,85,0.8948864,0.17903757,0.8907611,0.181482191,0.94758505,0.073783082,0.8701976,0.22940415
3,0,85,0.88920456,0.249799891,0.890317,0.246678087,0.91712403,0.175432105,0.86169046,0.316200542
3,1,85,0.89204544,0.192794656,0.88946015,0.203734554,0.91712403,0.132802659,0.8619649,0.268595581
3,2,85,0.8948864,0.289097771,0.8907455,0.287246921,0.91712403,0.187624147,0.86470914,0.385724077
3,3,85,0.88920456,0.244345746,0.88960296,0.25280833,0.91712403,0.175107113,0.8636114,0.321289887
3,4,85,0.890625,0.222330715,0.8914596,0.221559491,0.91712403,0.152462148,0.86278814,0.2922588
4,0,85,0.89943343,0.202758815,0.89274496,0.226120652,0.88035125,0.221995083,0.8946213,0.24962088
4,1,85,0.898017,0.229991235,0.89231646,0.265066073,0.88035125,0.273807845,0.8935236,0.28744871
4,2,85,0.90226626,0.236084036,0.8926021,0.272674466,0.88035125,0.280552097,0.89626783,0.294573289
