Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,50,0.99432623,0.089607087,0.98843354,0.104643123,1,0.100428549,0.9827113,0.101356984
0,1,50,0.99432623,0.085891564,0.9898615,0.105307042,1,0.10287167,0.98435783,0.105328814
0,2,50,0.9929078,0.09299489,0.9861488,0.110825807,1,0.101454386,0.98161364,0.104614659
0,3,50,0.99007094,0.12574551,0.9875767,0.12464301,1,0.125067138,0.9807903,0.122053259
0,4,50,0.98723406,0.082567308,0.98786235,0.098764283,1,0.082485382,0.9805159,0.104813267
1,0,50,0.9957386,0.064110395,0.9900043,0.084038244,1,0.075158434,0.98326015,0.087818863
1,1,50,0.9900568,0.0761739,0.9910039,0.083250975,1,0.075451423,0.983809,0.086128833
1,2,50,0.99147725,0.11182473,0.9891475,0.112116348,1,0.117033498,0.98435783,0.107104491
1,3,50,0.99147725,0.095155256,0.9870056,0.104955277,1,0.102503703,0.9780461,0.109180973
1,4,50,0.9943182,0.086928725,0.9904327,0.084325139,1,0.076444013,0.98463225,0.08900256
2,0,50,0.99147725,0.100786278,0.9882907,0.103464015,1,0.038972078,0.98161364,0.129376178
2,1,50,0.99289775,0.099816714,0.99028987,0.10017991,1,0.034062459,0.9835346,0.127712699
2,2,50,0.9900568,0.107707452,0.9892903,0.109174359,1,0.041987838,0.9854556,0.137283122
2,3,50,0.98579544,0.121302185,0.98857635,0.12230155,1,0.048166873,0.9824369,0.155428822
2,4,50,0.99147725,0.088348687,0.9894331,0.094400397,1,0.034307563,0.9821625,0.123572096
3,0,50,0.99147725,0.087660316,0.99100256,0.096431781,1,0.051208399,0.9813392,0.137976419
3,1,50,0.9886364,0.101826838,0.9900029,0.109303096,1,0.062122503,0.9807903,0.154683676
3,2,50,0.9900568,0.092484333,0.9904313,0.097136174,1,0.053796319,0.97969264,0.141704731
3,3,50,0.9943182,0.085603784,0.9905741,0.104593574,1,0.060750503,0.98326015,0.143303795
3,4,50,0.9886364,0.094018896,0.98971725,0.098257363,1,0.054408887,0.98106474,0.135018849
4,0,50,0.9971671,0.07867739,0.98957443,0.104203168,1,0.089764859,0.97722286,0.128293019
