Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,75,25,0.99007094,0.026192786,0.9897187,0.036099683,1,2.84E-06,0.9851811,0.055624676
0,1,75,25,0.9929078,0.019835375,0.9892903,0.037286683,1,7.52E-06,0.9840834,0.058520461
0,2,75,25,0.99432623,0.014380151,0.9900043,0.035473994,1,2.40E-06,0.98463225,0.056963868
0,3,75,25,0.99007094,0.0232831,0.9892903,0.036846537,1,1.82E-06,0.98188806,0.063022821
0,4,75,25,0.99432623,0.020878845,0.99071825,0.037490665,1,5.90E-07,0.9851811,0.056937774
1,0,75,25,0.9957386,0.019359405,0.99014705,0.031648258,1,1.67E-06,0.98463225,0.05062635
1,1,75,25,0.9943182,0.025105625,0.9900043,0.037012089,1,5.36E-07,0.9821625,0.060707062
1,2,75,25,0.9943182,0.024939329,0.9895759,0.038995005,1,8.74E-06,0.98463225,0.06412623
1,3,75,25,0.99147725,0.037350926,0.99028987,0.037981804,1,1.14E-06,0.9835346,0.055489292
1,4,75,25,0.9943182,0.028988897,0.9904327,0.036302178,1,2.45E-07,0.9835346,0.056434388
2,0,75,25,0.9886364,0.047417691,0.9892903,0.036575392,1,3.30E-07,0.98326015,0.055262632
2,1,75,25,0.9900568,0.041297664,0.9895759,0.033640532,1,2.17E-07,0.98627883,0.052090756
2,2,75,25,0.99147725,0.041282727,0.9900043,0.034870104,1,6.14E-07,0.9849067,0.054387247
2,3,75,25,0.99289775,0.035282978,0.99028987,0.034746174,1,2.93E-07,0.9851811,0.054388274
2,4,75,25,0.99289775,0.032515252,0.9904327,0.033624381,1,6.70E-07,0.9860044,0.049679235
3,0,75,25,0.9900568,0.02040439,0.9902885,0.033819237,1,5.79E-07,0.98326015,0.058747424
3,1,75,25,0.99289775,0.021659688,0.9902885,0.040619496,1,6.47E-07,0.98161364,0.073331973
3,2,75,25,0.99289775,0.020645972,0.9915738,0.031619298,1,9.69E-07,0.9854556,0.061714544
3,3,75,25,0.99289775,0.018777397,0.9904313,0.034255512,1,5.55E-07,0.983809,0.056643391
3,4,75,25,0.99147725,0.02383841,0.9905741,0.035273673,1,1.10E-06,0.9807903,0.06354337
4,0,75,25,0.99291784,0.023601622,0.9894316,0.037854925,1,8.01E-06,0.9788694,0.077831845
4,1,75,25,0.9957507,0.014520189,0.99071693,0.036870149,1,8.68E-07,0.97859496,0.082059643
4,2,75,25,0.9971671,0.008264385,0.99085975,0.038470538,1,5.87E-07,0.98161364,0.079039685
4,3,75,25,0.9943343,0.019206406,0.9917166,0.036948156,1,4.39E-07,0.9805159,0.085182901
4,4,75,25,0.9957507,0.016439256,0.98928875,0.046963821,1,3.01E-07,0.97722286,0.104250709
0,0,75,50,0.99432623,0.020157395,0.9905755,0.037819401,1,2.23E-07,0.9868277,0.061567227
0,1,75,50,0.98865247,0.028812492,0.9892903,0.038960869,1,9.37E-06,0.9824369,0.062248458
0,2,75,50,0.9957447,0.019071148,0.98900473,0.040084935,1,1.27E-06,0.9851811,0.059316172
0,3,75,50,0.9929078,0.019868678,0.98900473,0.038381524,1,2.84E-06,0.9835346,0.058575054
0,4,75,50,0.99148935,0.023601501,0.9888619,0.042490747,1,1.03E-06,0.9835346,0.064460217
1,0,75,50,0.99147725,0.037709087,0.9897187,0.040058498,1,2.43E-07,0.98326015,0.062853213
1,1,75,50,0.9957386,0.02572053,0.98900473,0.038991505,1,1.99E-05,0.98161364,0.062142966
1,2,75,50,0.9900568,0.035618665,0.9900043,0.035001904,1,1.01E-06,0.9827113,0.060042212
1,3,75,50,0.9943182,0.029874902,0.9921462,0.032463168,1,1.15E-06,0.9840834,0.052080813
1,4,75,50,0.9943182,0.036263304,0.99028987,0.034961738,1,2.93E-07,0.9835346,0.057869057
2,0,75,50,0.99147725,0.049692749,0.98900473,0.034676215,1,2.73E-06,0.983809,0.053246288
2,1,75,50,0.99147725,0.040594357,0.9897187,0.037175845,1,1.79E-07,0.9854556,0.05203944
2,2,75,50,0.9900568,0.047477323,0.98900473,0.037290557,1,8.12E-07,0.9840834,0.053190391
2,3,75,50,0.9900568,0.041475347,0.9888619,0.038876334,1,8.05E-07,0.98161364,0.060423056
2,4,75,50,0.99147725,0.041077329,0.9905755,0.034081431,1,1.66E-07,0.9849067,0.05239557
3,0,75,50,0.9957386,0.01248811,0.9921451,0.035248833,1,1.26E-06,0.9835346,0.066329808
3,1,75,50,0.99289775,0.020360086,0.98986006,0.034738257,1,1.93E-06,0.9824369,0.060022382
3,2,75,50,0.9943182,0.016693594,0.9917166,0.033806014,1,4.19E-07,0.9840834,0.061890886
3,3,75,50,0.9943182,0.014924804,0.9915738,0.031775199,1,1.26E-06,0.98161364,0.060059379
