Run Num,Mutation Num,Percentage,Accuracy50,Loss50,Accuracy5,Loss5,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,1,0.99148935,0.016019203,0.9935742,0.029998412,1,3.14E-07,0.98792535,0.053767009
1,0,1,0.9943182,0.029684112,0.9921462,0.02965372,1,2.01E-07,0.98792535,0.040601686
2,0,1,0.99289775,0.024798361,0.992289,0.028419883,1,4.01E-07,0.9868277,0.042129728
3,0,1,0.9900568,0.017878778,0.9920023,0.027984529,1,1.18E-06,0.9860044,0.047691092
4,0,1,0.99858356,0.006955298,0.9902885,0.043011424,1,1.57E-07,0.9813392,0.087455283
5,0,1,0.99148935,0.030825423,0.9917178,0.031526471,1,1.27E-06,0.98957187,0.042223219
6,0,1,0.98865247,0.054751979,0.9898615,0.039966807,1,4.27E-07,0.9881998,0.048090114
7,0,1,0.99146515,0.038373447,0.9904327,0.037332749,1,5.33E-07,0.9884742,0.044951904
8,0,1,0.9843972,0.054367407,0.9917166,0.026395991,1,2.56E-07,0.983809,0.07011024
9,0,1,0.98866856,0.044484241,0.9907196,0.033748399,1,4.30E-06,0.9868277,0.04844574
10,0,1,0.9985816,0.005290422,0.993003,0.026541815,1,1.80E-08,0.98765093,0.048342822
11,0,1,0.9957507,0.011939914,0.9924318,0.035506627,1,1.47E-07,0.98929745,0.057993368
12,0,1,0.98721594,0.052679419,0.9910039,0.035688771,1,3.04E-09,0.9868277,0.057370623
13,0,1,0.9957447,0.016402072,0.9915738,0.035241956,1,4.21E-07,0.98627883,0.054694815
14,0,1,0.990085,0.02596507,0.9927174,0.0235812,1,7.85E-07,0.9871021,0.03640137
15,0,1,0.9971631,0.012781555,0.9931468,0.025072728,1,5.93E-07,0.98792535,0.040132891
16,0,1,0.9971671,0.023121713,0.99086106,0.039737673,1,5.17E-08,0.98573,0.057433162
17,0,1,0.98721594,0.030061992,0.993002,0.029030737,1,7.30E-09,0.99012077,0.039338303
18,0,1,0.99432623,0.025193651,0.99100256,0.037787413,1,7.92E-09,0.98902303,0.039208288
19,0,1,0.9886202,0.026606901,0.9917166,0.027536216,1,1.63E-07,0.9881998,0.037828325
0,0,2,0.9985816,0.006572507,0.99200344,0.033822345,1,5.95E-07,0.98765093,0.055291781
1,0,2,0.9957386,0.015496159,0.9918606,0.027270753,1,3.02E-06,0.98627883,0.04053923
2,0,2,0.9943182,0.02878052,0.9911466,0.031994858,1,7.80E-08,0.98765093,0.043414112
3,0,2,0.99289775,0.01673788,0.9918595,0.031738139,1,3.18E-06,0.9840834,0.059658168
4,0,2,0.99858356,0.005780715,0.9918595,0.033262195,1,1.41E-07,0.9835346,0.072410323
5,0,2,0.99432623,0.026328331,0.99157506,0.032965058,1,4.59E-08,0.98792535,0.045245645
