Run Num,Mutation Num,Percentage,Accuracy50,Loss50,Accuracy5,Loss5,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,1,0.9929078,0.029064816,0.98843354,0.041531567,1,4.55E-07,0.98298573,0.07000442
1,0,1,0.9900568,0.047999405,0.9892903,0.037882274,1,1.05E-07,0.9805159,0.065288039
2,0,1,0.99147725,0.041957568,0.98857635,0.038760117,1,1.22E-06,0.98298573,0.057452364
3,0,1,0.99147725,0.01628172,0.98986006,0.035514026,1,1.00E-06,0.9824369,0.065634727
4,0,1,0.9957507,0.010264445,0.99085975,0.038085915,1,2.89E-06,0.98188806,0.08370631
5,0,1,0.98865247,0.041274243,0.9870056,0.044847086,1,1.79E-06,0.9827113,0.056970102
6,0,1,0.98723406,0.07018231,0.98843354,0.049535842,1,2.03E-08,0.9835346,0.065954618
7,0,1,0.9928876,0.039030273,0.9898615,0.046612827,1,4.86E-08,0.98655325,0.06176354
8,0,1,0.98723406,0.055254073,0.9915738,0.024591156,1,7.48E-08,0.98106474,0.067585815
9,0,1,0.9915014,0.045050142,0.98857796,0.043144864,1,1.09E-06,0.98463225,0.060831543
10,0,1,0.9957447,0.010341723,0.99385977,0.026352766,1,5.23E-07,0.98655325,0.053295801
11,0,1,0.9957507,0.014612546,0.98771954,0.04701363,1,6.68E-08,0.9851811,0.070301594
12,0,1,0.98579544,0.042608199,0.9894331,0.037268082,1,2.41E-07,0.9851811,0.056519028
13,0,1,0.99148935,0.021982866,0.9870037,0.046215694,1,1.44E-05,0.9780461,0.08140096
14,0,1,0.9915014,0.030374356,0.99143225,0.028802447,1,5.14E-08,0.9871021,0.040725893
15,0,1,0.9929078,0.019370459,0.99114794,0.031542551,1,1.03E-05,0.9824369,0.056232634
16,0,1,0.9915014,0.02457928,0.98714834,0.050581789,1,1.98E-07,0.9788694,0.07203349
17,0,1,0.98579544,0.045387698,0.9900029,0.038782467,1,1.02E-06,0.98902303,0.043265541
18,0,1,0.99432623,0.028521066,0.9904313,0.037696451,1,7.36E-08,0.9868277,0.043357563
19,0,1,0.9900427,0.031877624,0.98986006,0.042263614,1,9.63E-08,0.9851811,0.052943698
0,0,3,0.9929078,0.031923702,0.9894331,0.03509259,1,4.24E-06,0.98298573,0.060855435
1,0,3,0.99289775,0.035074855,0.98900473,0.038876551,1,5.70E-06,0.9807903,0.058961164
2,0,3,0.99147725,0.040585665,0.98857635,0.03902361,1,1.03E-05,0.98326015,0.059116496
3,0,3,0.9900568,0.037695163,0.9862896,0.050639875,1,4.02E-05,0.974753,0.094640537
4,0,3,0.9957507,0.011720021,0.99085975,0.037393361,1,6.21E-06,0.9807903,0.084126002
5,0,3,0.9858156,0.042395451,0.98786235,0.042996296,1,1.38E-06,0.983809,0.05627351
6,0,3,0.9829787,0.076660744,0.98857635,0.046148654,1,1.71E-06,0.98435783,0.060083792
7,0,3,0.9928876,0.028209953,0.99028987,0.041715652,1,1.05E-06,0.98655325,0.050280664
8,0,3,0.9815603,0.06367735,0.991431,0.02634035,1,7.43E-06,0.9813392,0.069007707
9,0,3,0.990085,0.056332734,0.9884352,0.041286313,1,2.01E-06,0.983809,0.067957116
10,0,3,0.9985816,0.00464635,0.9927174,0.029512238,1,1.56E-06,0.9868277,0.057886773
11,0,3,0.9943343,0.01833233,0.9891475,0.041733373,1,1.83E-06,0.9860044,0.066138329
12,0,3,0.98579544,0.044306722,0.9898615,0.035961731,1,7.98E-07,0.983809,0.062358204
13,0,3,0.99432623,0.015658343,0.9894316,0.043138885,1,2.05E-06,0.97859496,0.072487532
14,0,3,0.990085,0.024259849,0.9895759,0.034718198,1,1.93E-06,0.9851811,0.048447176
15,0,3,0.9957447,0.012355425,0.9920046,0.027062466,1,1.71E-06,0.9868277,0.045728546
16,0,3,0.99291784,0.025979922,0.98800516,0.050518932,1,1.26E-06,0.9807903,0.064466707
