Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,0.25,0.25,0.99007094,0.028326946,0.9904327,0.039814684,1,5.22E-07,0.983809,0.06365175
0,1,0.25,0.25,0.9929078,0.02811154,0.9900043,0.0346837,1,1.68E-06,0.9840834,0.056987774
0,2,0.25,0.25,0.99148935,0.026162936,0.99014705,0.035833983,1,7.87E-07,0.98655325,0.052479311
0,3,0.25,0.25,0.99432623,0.018571005,0.99014705,0.035416543,1,5.17E-07,0.98298573,0.0597199
0,4,0.25,0.25,0.9957447,0.02122713,0.99143225,0.040311644,1,1.65E-07,0.9860044,0.06100096
1,0,0.25,0.25,0.9943182,0.023973419,0.9894331,0.038106086,1,4.59E-05,0.98106474,0.059274448
1,1,0.25,0.25,0.9943182,0.01592164,0.9917178,0.028351461,1,2.79E-06,0.98627883,0.04063585
1,2,0.25,0.25,0.9943182,0.018894461,0.9898615,0.031128414,1,2.25E-06,0.9824369,0.050641537
1,3,0.25,0.25,0.9943182,0.025710969,0.9911466,0.030545801,1,9.38E-07,0.9849067,0.046417549
1,4,0.25,0.25,0.99147725,0.022862117,0.99128944,0.036504184,1,2.27E-07,0.9824369,0.060978938
2,0,0.25,0.25,0.9943182,0.032534187,0.99071825,0.032490064,1,9.68E-07,0.9854556,0.046982497
2,1,0.25,0.25,0.9943182,0.024329681,0.99128944,0.032465898,1,2.91E-07,0.98655325,0.047116014
2,2,0.25,0.25,0.9943182,0.039166046,0.9911466,0.036640051,1,4.50E-07,0.9851811,0.051835475
2,3,0.25,0.25,0.99289775,0.037534407,0.99071825,0.034537998,1,1.86E-07,0.9860044,0.056627205
2,4,0.25,0.25,0.9900568,0.034908371,0.9895759,0.035255375,1,4.48E-07,0.98435783,0.054879639
3,0,0.25,0.25,0.99715906,0.013053096,0.9915738,0.03127593,1,1.16E-06,0.98627883,0.054261625
3,1,0.25,0.25,0.99289775,0.019540065,0.991431,0.033912053,1,2.74E-07,0.98463225,0.060331725
3,2,0.25,0.25,0.9957386,0.015337493,0.9917166,0.030423762,1,1.58E-06,0.98326015,0.059454395
3,3,0.25,0.25,0.99289775,0.015095143,0.9912882,0.03383091,1,2.12E-07,0.9840834,0.059296906
3,4,0.25,0.25,0.99289775,0.01728846,0.9900029,0.034449768,1,9.56E-07,0.98188806,0.058908744
4,0,0.25,0.25,0.9971671,0.009556161,0.9884319,0.04241419,1,1.05E-06,0.9788694,0.086563145
4,1,0.25,0.25,0.99291784,0.018022517,0.9888603,0.042386818,1,1.10E-06,0.9788694,0.083166141
4,2,0.25,0.25,0.99291784,0.015376377,0.98914593,0.043105474,1,2.04E-07,0.9813392,0.082212153
4,3,0.25,0.25,1,0.007206888,0.9885747,0.039319387,1,2.10E-06,0.9807903,0.077312107
4,4,0.25,0.25,0.99858356,0.00729495,0.9900029,0.039183748,1,2.74E-07,0.98161364,0.081940015
0,0,0.25,0.5,0.99007094,0.026103967,0.99028987,0.039534062,1,3.28E-06,0.9849067,0.064079146
0,1,0.25,0.5,0.99007094,0.0293761,0.99014705,0.036887358,1,9.14E-07,0.9840834,0.059765709
0,2,0.25,0.5,0.99432623,0.020628654,0.9904327,0.034461771,1,1.97E-06,0.98627883,0.053222217
0,3,0.25,0.5,0.99148935,0.026945272,0.9887191,0.038679434,1,1.80E-06,0.98106474,0.067803313
0,4,0.25,0.5,0.99007094,0.022860435,0.9898615,0.037246354,1,1.32E-06,0.9835346,0.061005139
1,0,0.25,0.5,0.9957386,0.02660997,0.99028987,0.035614312,1,2.24E-05,0.9835346,0.055124255
1,1,0.25,0.5,0.9943182,0.016819566,0.99157506,0.03090076,1,7.25E-06,0.9871021,0.044671127
1,2,0.25,0.5,0.9886364,0.029940985,0.98714834,0.041223566,1,4.77E-05,0.97832054,0.066171885
1,3,0.25,0.5,0.99147725,0.027823428,0.9905755,0.031661049,1,4.78E-06,0.9849067,0.048405952
1,4,0.25,0.5,0.99147725,0.020384522,0.9904327,0.034815085,1,4.06E-07,0.98298573,0.056828897
2,0,0.25,0.5,0.99147725,0.041874539,0.9875767,0.03779042,1,1.81E-05,0.9827113,0.054340736
2,1,0.25,0.5,0.99289775,0.029984354,0.9898615,0.038209561,1,4.76E-07,0.9854556,0.056456246
2,2,0.25,0.5,0.99289775,0.035232289,0.9895759,0.034110496,1,1.71E-06,0.983809,0.051343306
2,3,0.25,0.5,0.99289775,0.035728487,0.9910039,0.036089005,1,4.68E-07,0.9851811,0.059065347
2,4,0.25,0.5,0.9886364,0.041136116,0.98900473,0.038539442,1,1.31E-06,0.9851811,0.057337248
3,0,0.25,0.5,0.9900568,0.021212909,0.9884319,0.038037038,1,2.47E-06,0.9807903,0.064990199
3,1,0.25,0.5,0.98721594,0.027246926,0.98971725,0.0402152,1,7.72E-06,0.9805159,0.074347484
3,2,0.25,0.5,0.99289775,0.017915491,0.99228793,0.028571894,1,3.62E-06,0.98463225,0.051874155
3,3,0.25,0.5,0.99147725,0.018623097,0.98928875,0.03693394,1,4.19E-07,0.98106474,0.060380148
