Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,1,0.2822695,8.942142665,0.2884478,8.90896874,0.28073546,9.233565646,0.29473105,8.672244828
1,0,1,0.46732953,2.003066659,0.46594316,2.005005536,0.5194841,1.955894936,0.43880352,2.036934416
2,0,1,0.99147725,0.03833916,0.9904327,0.036016515,1,1.19E-07,0.9851811,0.054122632
3,0,1,0.9900568,0.02308808,0.9902885,0.033832455,1,1.63E-06,0.98188806,0.054935494
4,0,1,0.9971671,0.008709451,0.99071693,0.040141636,1,1.19E-07,0.9824369,0.087180799
5,0,1,0.26524824,11.47234505,0.2704555,11.42540331,0.36992317,9.969396507,0.21267837,12.28641462
6,0,1,0.9843972,0.052304163,0.98771954,0.0436884,1,1.19E-07,0.98435783,0.057915108
7,0,1,0.9943101,0.031245423,0.99200344,0.038152979,1,1.19E-07,0.99149287,0.048898054
8,0,1,0.9843972,0.051385073,0.991431,0.027623542,1,1.19E-07,0.98463225,0.061235494
9,0,1,0.09773371,12.22812134,0.09723015,12.19281367,0.10428101,12.2056178,0.08863886,12.39902334
10,0,1,0.40567377,1.93724545,0.41153792,1.936621416,0.55845225,1.825206721,0.32162458,2.005526238
11,0,1,0.3611898,6.027541064,0.36384407,5.987854324,0.53293085,4.099105216,0.298573,6.73952648
12,0,1,0.61647725,1.95628435,0.62773097,1.957170536,0.8430296,1.826332888,0.53402853,2.017259317
13,0,1,0.40567377,1.99829772,0.40759784,2.002000801,0.53896815,1.90641085,0.32601535,2.062482609
14,0,1,0.98866856,0.032668386,0.9911466,0.027332688,1,1.19E-07,0.98792535,0.036164264
15,0,1,0.39716312,1.952438502,0.3996288,1.957187755,0.60839736,1.811338123,0.29939628,2.02721041
16,0,1,0.09773371,11.26253578,0.09838641,11.1606622,0.14434688,10.06287758,0.06970362,11.83026827
17,0,1,0.98721594,0.035177558,0.991431,0.036724884,1,0.000161772,0.98792535,0.047338645
18,0,1,0.33333334,10.01821319,0.32490718,10.04587714,0.46103182,8.218048926,0.2837541,10.61734536
19,0,1,0.9886202,0.033977879,0.98986006,0.033205564,1,1.19E-07,0.9860044,0.04721284
0,0,2,0.99007094,0.018325232,0.99086106,0.034985153,1,1.19E-07,0.9854556,0.056076669
1,0,2,0.99147725,0.030547602,0.9917178,0.032876163,1,1.19E-07,0.983809,0.051634316
2,0,2,0.99147725,0.039513272,0.9904327,0.037019383,1,1.19E-07,0.9851811,0.055663154
3,0,2,0.9900568,0.02308808,0.9902885,0.033832455,1,1.63E-06,0.98188806,0.054935494
4,0,2,0.9971671,0.008709451,0.99071693,0.040141636,1,1.19E-07,0.9824369,0.087180799
5,0,2,0.99007094,0.032325272,0.9904327,0.03491747,1,1.19E-07,0.9868277,0.047892215
6,0,2,0.1035461,9.859315339,0.10081394,9.850797296,0.109769486,9.007033127,0.09302964,10.35297339
7,0,2,0.9943101,0.031245423,0.99200344,0.038152979,1,1.19E-07,0.99149287,0.048898054
8,0,2,0.19148937,9.316167174,0.19308768,9.39162086,0.2327113,8.682314498,0.16822173,9.761682384
9,0,2,0.09773371,12.22812134,0.09723015,12.19281367,0.10428101,12.2056178,0.08863886,12.39902334
10,0,2,0.9971631,0.009173904,0.9917178,0.029800877,1,1.19E-07,0.9881998,0.05065842
