Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,0.05,0.98865247,0.031445239,0.99128944,0.037418139,1,4.23E-06,0.983809,0.059916794
0,1,0.05,0.98865247,0.040947857,0.9864344,0.049906105,1,0.001127535,0.97832054,0.079546902
0,2,0.05,0.9929078,0.023730729,0.9892903,0.034017838,1,2.74E-06,0.9873765,0.051659609
0,3,0.05,0.9744681,0.081022512,0.96944165,0.092591744,0.98929745,0.04016569,0.95636666,0.130921374
0,4,0.05,0.93333334,0.150999033,0.94045407,0.166659894,0.9802415,0.04735527,0.91273326,0.259729931
1,0,0.05,0.9943182,0.026268752,0.9898615,0.037642554,1,0.000178053,0.9805159,0.060768054
1,1,0.05,0.94034094,0.168835644,0.93788373,0.187494555,0.9742042,0.073446591,0.91849613,0.236819549
1,2,0.05,0.99147725,0.022026147,0.9895759,0.03368814,1,1.45E-05,0.98106474,0.055825439
1,3,0.05,0.96732956,0.100750342,0.95573324,0.125670398,0.9722832,0.076690066,0.9519758,0.146698134
1,4,0.05,0.9900568,0.024071275,0.9895759,0.038016505,1,8.10E-06,0.98188806,0.061990621
2,0,0.05,0.94034094,0.191589679,0.9383122,0.16974821,0.9794182,0.050146824,0.9187706,0.217220261
2,1,0.05,0.9943182,0.027654315,0.99086106,0.034980111,1,9.03E-07,0.98627883,0.049912334
2,2,0.05,0.9943182,0.031280281,0.99071825,0.032436058,1,4.32E-06,0.9860044,0.044249787
2,3,0.05,0.9943182,0.032085357,0.9911466,0.030618037,1,8.89E-06,0.9873765,0.048863076
2,4,0.05,0.9900568,0.033714162,0.99014705,0.034012606,1,9.04E-07,0.9840834,0.049194536
3,0,0.05,0.92897725,0.173280147,0.9277349,0.195780449,0.960483,0.088474871,0.91245884,0.258477709
3,1,0.05,0.93892044,0.187232041,0.9448729,0.168010023,0.9884742,0.032282305,0.9237102,0.237466896
3,2,0.05,0.9943182,0.01764878,0.9905741,0.029334658,1,5.75E-06,0.9827113,0.05556921
3,3,0.05,0.984375,0.026945236,0.987575,0.048846861,1,1.92E-06,0.97639954,0.090145035
3,4,0.05,0.88778406,0.235617872,0.88846046,0.242749372,0.9108123,0.070207628,0.8754116,0.329134499
4,0,0.05,0.7606232,0.674418007,0.7584976,0.695719465,0.7563118,0.548744907,0.7543908,0.811174719
4,1,0.05,0.9915014,0.020828095,0.9874322,0.044408491,1,1.81E-05,0.9791438,0.081857582
4,2,0.05,0.99291784,0.016991154,0.9870037,0.045600415,1,1.57E-06,0.9777717,0.08066488
4,3,0.05,0.99291784,0.010015975,0.98814625,0.044826296,1,3.20E-07,0.9788694,0.094446366
4,4,0.05,0.99858356,0.012484983,0.99085975,0.037083226,1,2.59E-05,0.9824369,0.070444199
0,0,0.1,0.6751773,0.727869731,0.6677138,0.740682904,0.7351811,0.587997004,0.62211853,0.849800946
0,1,0.1,0.883688,0.305672151,0.8736256,0.311937691,0.8636114,0.267933948,0.881449,0.345118501
0,2,0.1,0.99007094,0.025056109,0.98786235,0.048044303,1,3.25E-07,0.98161364,0.076061805
0,3,0.1,0.9361702,0.164889235,0.93088675,0.18760019,0.9489572,0.118202745,0.92233807,0.231391814
0,4,0.1,0.99148935,0.030017925,0.9875767,0.043257322,1,4.02E-05,0.9791438,0.065375153
1,0,0.1,0.9957386,0.041120012,0.9881479,0.051472066,1,0.004429236,0.9802415,0.080999964
1,1,0.1,0.9957386,0.023103208,0.99028987,0.036016045,1,0.000120176,0.98573,0.049918073
1,2,0.1,0.99289775,0.039999314,0.98414963,0.059661271,1,0.001237845,0.9714599,0.095284371
1,3,0.1,0.9375,0.159578373,0.9333143,0.180503288,0.9552689,0.109960081,0.92069155,0.220422883
1,4,0.1,0.9957386,0.020389825,0.98900473,0.040774514,1,0.00047307,0.9788694,0.065357325
2,0,0.1,0.97017044,0.097053226,0.95944595,0.115801646,0.9953348,0.019791833,0.93551046,0.17426387
2,1,0.1,0.85795456,0.27359135,0.8589176,0.292916528,0.8701976,0.236512852,0.8416575,0.335518972
2,2,0.1,0.91903406,0.271006627,0.9087534,0.281733062,0.9201427,0.198948091,0.9042261,0.318855344
2,3,0.1,0.98721594,0.072037126,0.97658145,0.074591934,0.9989023,0.006526204,0.9648738,0.110552254
2,4,0.1,0.953125,0.146570392,0.94502354,0.167195904,0.96020854,0.083777976,0.9344127,0.221045362
3,0,0.1,0.87357956,0.25979638,0.8714653,0.275879286,0.8817234,0.208262113,0.86278814,0.326386458
3,1,0.1,0.78409094,0.536112243,0.7904884,0.561614032,0.7933589,0.432957362,0.79088914,0.651247031
3,2,0.1,0.9431818,0.159480875,0.9458726,0.14485932,0.9571899,0.110811667,0.9409989,0.167527208
3,3,0.1,0.78409094,0.489326497,0.7930591,0.486144374,0.78896815,0.371478138,0.796652,0.544671977
3,4,0.1,0.98721594,0.041036724,0.97700655,0.068289297,1,0.000507163,0.96350163,0.114330203
4,0,0.1,0.7365439,0.6155446,0.7405027,0.596892583,0.71240395,0.53146803,0.76564217,0.633876871
4,1,0.1,0.87393767,0.324337349,0.872465,0.345996838,0.847146,0.346502998,0.88556534,0.35794961
4,2,0.1,0.89943343,0.271539549,0.8944587,0.284917874,0.93660814,0.131332008,0.85976946,0.402062473
4,3,0.1,0.97875357,0.077530608,0.97272205,0.103881789,1,0.00022477,0.94950604,0.18802919
4,4,0.1,0.9957507,0.015136972,0.9874322,0.049024852,1,6.55E-06,0.97502744,0.098866059
