Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,0.001,0.99007094,0.025518982,0.9905755,0.038612226,1,4.66E-07,0.98435783,0.061000901
0,1,0.001,0.9929078,0.026512809,0.9910039,0.03503397,1,6.18E-07,0.9854556,0.057881988
0,2,0.001,0.99432623,0.024004512,0.9900043,0.046823798,1,1.20E-07,0.9854556,0.067881053
0,3,0.001,0.99432623,0.020614518,0.9905755,0.035153631,1,2.99E-07,0.9840834,0.058756622
0,4,0.001,0.99432623,0.021442772,0.9910039,0.038494341,1,1.82E-07,0.9854556,0.059256793
1,0,0.001,0.7855114,0.654810543,0.78580606,0.613250973,0.9050494,0.242192073,0.7244786,0.829052755
1,1,0.001,0.99715906,0.01323859,0.9924318,0.027557087,1,1.69E-06,0.98765093,0.039742253
1,2,0.001,0.99289775,0.020577775,0.9894331,0.03195437,1,4.72E-06,0.98106474,0.052553284
1,3,0.001,0.9943182,0.025299101,0.99157506,0.029737243,1,1.47E-06,0.9854556,0.045176117
1,4,0.001,0.99289775,0.019542641,0.9904327,0.033748952,1,3.12E-07,0.9805159,0.057195532
2,0,0.001,0.99715906,0.031636783,0.99071825,0.030990734,1,1.12E-06,0.9871021,0.043724483
2,1,0.001,0.99289775,0.025188681,0.99157506,0.033971606,1,2.11E-07,0.9873765,0.048154636
2,2,0.001,0.99289775,0.036125684,0.99086106,0.034371092,1,3.37E-07,0.9860044,0.04879838
2,3,0.001,0.9943182,0.036775386,0.99071825,0.034093574,1,2.02E-07,0.9860044,0.055910286
2,4,0.001,0.99289775,0.032399759,0.9910039,0.033602416,1,2.71E-07,0.98627883,0.049397984
3,0,0.001,0.9943182,0.014993187,0.991431,0.0319225,1,6.76E-07,0.9860044,0.056549683
3,1,0.001,0.7769886,1.099234337,0.77749217,1.12243201,0.8336992,1.576326166,0.75192094,0.816457396
3,2,0.001,0.9943182,0.01536166,0.991431,0.028214473,1,3.05E-06,0.9827113,0.055140266
3,3,0.001,0.99147725,0.014618786,0.9912882,0.033683855,1,2.54E-07,0.98435783,0.059532637
3,4,0.001,0.79971594,1.407499148,0.7982005,1.361178557,0.84357846,1.387325119,0.7650933,1.356904066
4,0,0.001,0.796034,1.650237018,0.7912025,1.686431445,0.80488473,2.317747544,0.77826566,1.279418007
4,1,0.001,0.99291784,0.026965904,0.98971725,0.037945089,1,4.74E-05,0.9794182,0.073818247
4,2,0.001,0.9943343,0.014719699,0.9894316,0.042980851,1,2.02E-07,0.98161364,0.080875606
4,3,0.001,0.99858356,0.009900536,0.98828906,0.041379391,1,9.59E-06,0.9794182,0.077947091
4,4,0.001,0.99858356,0.006399461,0.99100256,0.039874245,1,1.75E-07,0.9821625,0.084283284
0,0,0.005,0.99148935,0.026195238,0.99071825,0.037166496,1,1.25E-06,0.98463225,0.060060421
0,1,0.005,0.99148935,0.025502264,0.99071825,0.034575259,1,5.22E-07,0.9854556,0.056590758
0,2,0.005,0.906383,1.356173961,0.9046123,1.360657658,0.91136116,1.391451398,0.90614706,1.28797017
0,3,0.005,0.99432623,0.020152585,0.99071825,0.034650275,1,3.04E-07,0.9835346,0.059982757
0,4,0.005,0.99432623,0.020212008,0.99128944,0.038646031,1,1.84E-07,0.9854556,0.058461161
1,0,0.005,0.9957386,0.022442716,0.9918606,0.030618539,1,1.30E-06,0.9851811,0.049936657
1,1,0.005,0.9943182,0.01483662,0.992289,0.027912142,1,2.33E-06,0.98655325,0.039888953
1,2,0.005,0.8963068,0.574051565,0.89233184,0.596195413,0.8592206,0.742826843,0.90779364,0.477276302
1,3,0.005,0.9943182,0.024782669,0.99143225,0.02980094,1,9.33E-07,0.9849067,0.045270719
1,4,0.005,0.9957386,0.017455944,0.99071825,0.034157628,1,2.99E-07,0.9813392,0.05815576
