Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,0.05,0.99007094,0.026868084,0.9898615,0.038778446,1,6.30E-06,0.983809,0.058921741
0,1,0.05,0.99007094,0.027461949,0.9895759,0.035732761,1,2.92E-06,0.98326015,0.058357529
0,2,0.05,0.90921986,0.256782051,0.91075253,0.278461583,0.9088913,0.23319503,0.91465425,0.314733504
0,3,0.05,0.9078014,0.587271164,0.90261316,0.603202438,0.91136116,0.606194338,0.89791435,0.593001127
0,4,0.05,0.99432623,0.019156935,0.9911466,0.035044373,1,7.28E-07,0.9871021,0.05373404
1,0,0.05,0.9161932,0.348524983,0.9151792,0.302959348,0.974753,0.059421515,0.8748628,0.459107659
1,1,0.05,0.9019886,0.481742097,0.8984721,0.507143655,0.8891328,0.511871797,0.90340286,0.486483761
1,2,0.05,0.9943182,0.02178432,0.98743397,0.04204081,1,8.09E-05,0.97832054,0.065296839
1,3,0.05,0.8948864,0.980558469,0.89261746,0.970204382,0.8592206,1.428618159,0.91136116,0.715635746
1,4,0.05,0.9943182,0.016555888,0.98843354,0.035678762,1,1.89E-05,0.9794182,0.057616301
2,0,0.05,0.9957386,0.029818441,0.9895759,0.031056713,1,2.05E-05,0.98627883,0.044348748
2,1,0.05,0.8963068,1.216749856,0.89547336,1.194554788,0.98298573,0.201796338,0.847146,1.783612462
2,2,0.05,0.9943182,0.034446462,0.99014705,0.034238826,1,1.46E-05,0.9835346,0.050490383
2,3,0.05,0.79403406,1.399181626,0.79180354,1.414726343,0.67398465,2.230290371,0.8556531,0.979326112
2,4,0.05,0.88778406,0.510523118,0.89018995,0.537817639,0.9250823,0.267829657,0.87211853,0.666146578
3,0,0.05,0.99147725,0.024578943,0.98986006,0.037788282,1,1.05E-06,0.983809,0.065456696
3,1,0.05,0.75284094,1.892236513,0.76706654,1.864247509,0.7096597,2.722205623,0.80049396,1.322131285
3,2,0.05,0.98579544,0.040769759,0.9890031,0.04428836,1,0.000553039,0.97530186,0.080982316
3,3,0.05,0.8963068,0.661838903,0.8931734,0.682272515,0.884742,0.772240682,0.9006586,0.586144168
3,4,0.05,0.89346594,0.390213518,0.8906027,0.41238472,0.94154775,0.164511952,0.85675085,0.560291111
4,0,0.05,0.89660054,0.629042936,0.8898886,0.616468798,0.85949504,0.753104974,0.9088913,0.548243354
4,1,0.05,0.89235127,0.523535078,0.8887461,0.528165358,0.88062567,0.582505161,0.8899561,0.523434202
4,2,0.05,0.9943343,0.017556567,0.9884319,0.037953656,1,1.86E-05,0.9802415,0.072954321
4,3,0.05,0.99858356,0.013045825,0.9885747,0.038603879,1,4.61E-05,0.97859496,0.072813781
4,4,0.05,0.9305949,0.228477753,0.9107398,0.27487855,0.99945116,0.000943926,0.84687155,0.497529756
0,0,0.1,0.98865247,0.043408956,0.9847208,0.054118454,1,0.001168612,0.97722286,0.084389883
0,1,0.1,0.78723407,1.084183007,0.7849493,1.069896771,0.79226124,0.876616297,0.77799124,1.201293607
0,2,0.1,0.98723406,0.039773957,0.98771954,0.042431918,1,0.000222557,0.9821625,0.067155268
0,3,0.1,0.9673759,0.122699924,0.9745823,0.114809664,0.9997256,0.044032573,0.9599341,0.163836617
0,4,0.1,0.99007094,0.033997175,0.9875767,0.045983295,1,0.000273717,0.97859496,0.074294785
1,0,0.1,0.890625,0.744312076,0.88662004,0.730678741,0.854281,1.015699728,0.91108674,0.533096536
1,1,0.1,0.9957386,0.014399145,0.9904327,0.032343263,1,1.33E-05,0.9854556,0.046507735
1,2,0.1,0.8963068,0.444842437,0.8939026,0.453693857,0.88556534,0.497711155,0.8992865,0.435523362
1,3,0.1,0.98295456,0.07730131,0.98443526,0.071858173,1,0.005331038,0.97392976,0.112178313
1,4,0.1,0.9005682,0.581026024,0.8941882,0.59401515,0.8781559,0.66231522,0.89983535,0.555339873
2,0,0.1,0.89914775,0.592404307,0.8946166,0.566942849,0.91410536,0.449975392,0.88583976,0.627877347
2,1,0.1,0.9943182,0.021058935,0.9900043,0.030130071,1,5.52E-06,0.9854556,0.045413941
2,2,0.1,0.9900568,0.042416269,0.9900043,0.03534836,1,5.22E-06,0.98326015,0.053583177
2,3,0.1,0.62357956,1.997167436,0.61516494,1.969444903,0.6470911,1.681266841,0.6009879,2.104418527
2,4,0.1,0.984375,0.060481731,0.98386407,0.061415436,1,0.001448101,0.9777717,0.088355545
3,0,0.1,0.88920456,0.578608208,0.8861754,0.560605042,0.91712403,0.469357164,0.85976946,0.643963486
3,1,0.1,0.89772725,0.407850778,0.89217365,0.425532227,0.8413831,0.611991077,0.91849613,0.315249455
3,2,0.1,0.87784094,0.429488834,0.8791774,0.44564943,0.99615806,0.017416386,0.8155873,0.670100027
3,3,0.1,0.89204544,0.614915139,0.8897458,0.672210638,0.81805706,1.209175737,0.93358946,0.359460631
3,4,0.1,0.70454544,1.143282479,0.71036845,1.145393613,0.6635565,1.356230316,0.74725574,0.968067115
4,0,0.1,0.990085,0.025435903,0.98671806,0.045147645,1,0.00033318,0.97502744,0.088066197
4,1,0.1,0.8541077,0.453092419,0.863896,0.420766419,0.91383094,0.214467065,0.8287596,0.560394198
4,2,0.1,0.89518416,0.721261003,0.8931734,0.733285193,0.8817234,0.849923613,0.90340286,0.632415242
4,3,0.1,0.80878186,1.117920277,0.8067695,1.107678289,0.8298573,0.918872375,0.78924257,1.263077942
4,4,0.1,0.7776204,1.193753478,0.77563554,1.229358143,0.9250823,0.545047951,0.6695939,1.749607862
