Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,25,1,0.9912537,0.066836353,0.985899,0.08639166,1,0.055739516,0.97723824,0.100907527
0,1,25,1,0.9912537,0.08046838,0.9885429,0.095317687,1,0.072026727,0.97723824,0.108210631
0,2,25,1,0.9912537,0.073370951,0.98795533,0.089606137,1,0.06827008,0.9762266,0.110639761
0,3,25,1,0.9941691,0.07462109,0.9885429,0.090550118,1,0.069160666,0.9787557,0.10605556
0,4,25,1,0.9912537,0.070816989,0.987074,0.088506647,1,0.060648334,0.9792615,0.100031246
1,0,25,1,0.99122804,0.088768642,0.98764706,0.085932642,1,0.055774824,0.9848247,0.089138072
1,1,25,1,0.9853801,0.095019364,0.9835294,0.10670881,1,0.073319043,0.9790686,0.108865733
1,2,25,1,0.98245615,0.114387882,0.9832353,0.114929372,1,0.096035414,0.9811617,0.114674968
1,3,25,1,0.9883041,0.093735932,0.9844118,0.100845489,1,0.070169712,0.9806384,0.107529893
1,4,25,1,0.9883041,0.107046332,0.9844118,0.115546216,1,0.093606649,0.978022,0.119071197
2,0,25,1,0.9942029,0.093522017,0.98631334,0.115150468,0.99936146,0.117487928,0.9809671,0.107263085
2,1,25,1,0.9942029,0.055926763,0.99039024,0.078669088,1,0.055467245,0.9845679,0.082719431
2,2,25,1,0.9971014,0.058726926,0.9895166,0.077250587,1,0.057504257,0.9845679,0.084303882
2,3,25,1,0.9942029,0.046675727,0.99039024,0.068906913,1,0.047910114,0.9835391,0.076399305
2,4,25,1,0.9971014,0.058902567,0.9906814,0.082478438,1,0.062858762,0.9855967,0.085941649
3,0,25,1,0.9941691,0.063998747,0.98796946,0.074793001,1,0.037608167,0.9748804,0.103616392
3,1,25,1,1,0.081647061,0.9867958,0.107215507,1,0.063357531,0.97129184,0.137276763
3,2,25,1,0.98542273,0.074511654,0.9882629,0.085971334,1,0.04313542,0.9766746,0.117888621
3,3,25,1,0.9912537,0.086659598,0.9903169,0.098368077,1,0.056472175,0.9778708,0.130972731
3,4,25,1,0.9912537,0.072450056,0.9891432,0.080088536,1,0.04262118,0.9796651,0.109040607
4,0,25,1,0.9971182,0.069715526,0.9869186,0.086126762,1,0.052667891,0.9754145,0.113328468
4,1,25,1,0.9942363,0.084083752,0.9901163,0.089010344,1,0.064724104,0.9811321,0.11250264
4,2,25,1,0.9942363,0.076363765,0.9877907,0.083281047,1,0.057227022,0.97884506,0.104024284
4,3,25,1,0.9942363,0.089343179,0.9860465,0.097947766,1,0.065539336,0.9748428,0.125655336
4,4,25,1,0.9971182,0.081738632,0.9880814,0.087833938,1,0.056118684,0.9748428,0.120457335
0,0,50,1,0.88921285,0.146073778,0.8642773,0.165949733,0.8434483,0.156769467,0.87860394,0.173236261
0,1,50,1,0.8425656,0.152385044,0.83460635,0.172411055,0.7937931,0.169848398,0.85685384,0.175240517
0,2,50,1,0.8979592,0.148670424,0.90070504,0.16321601,0.8903448,0.154789542,0.9003541,0.173736879
0,3,50,1,0.9212828,0.150976775,0.93037605,0.160553335,0.9282759,0.150588935,0.93019724,0.16643956
0,4,50,1,0.90670556,0.144636957,0.89629847,0.164263066,0.882069,0.154379172,0.90541226,0.16537749
1,0,50,1,0.9766082,0.137908828,0.97794116,0.141642541,0.9981355,0.125038859,0.974359,0.135802375
1,1,50,1,0.9239766,0.172381175,0.9117647,0.176432918,0.9254195,0.172344471,0.9173208,0.164541689
1,2,50,1,0.8128655,0.204829761,0.815,0.216713183,0.75450593,0.226991339,0.8492936,0.196022972
1,3,50,1,0.9736842,0.159617905,0.95941174,0.1634682,0.9919205,0.154436534,0.9555207,0.152794229
1,4,50,1,0.88011694,0.173981919,0.8914706,0.181232687,0.86451215,0.178257536,0.90947145,0.165575944
2,0,50,1,0.95072466,0.130190127,0.9440885,0.153121363,0.95977014,0.148634155,0.9423868,0.146793356
2,1,50,1,0.8318841,0.150345554,0.8360512,0.18024632,0.7962963,0.179372345,0.85751027,0.177678246
2,2,50,1,0.95652175,0.129313516,0.9446709,0.152951602,0.95913154,0.150915203,0.9372428,0.151997661
2,3,50,1,0.9681159,0.123416342,0.9606872,0.147383106,0.98020434,0.143858149,0.9506173,0.146657055
2,4,50,1,0.8289855,0.152127322,0.82760626,0.177697627,0.7771392,0.182546429,0.8539095,0.16896944
3,0,50,1,0.9883382,0.129596135,0.9668427,0.150131787,0.9974874,0.100302496,0.9431818,0.188815361
3,1,50,1,0.9037901,0.1486699,0.8967136,0.168971177,0.9241206,0.114713034,0.87081337,0.210456784
3,2,50,1,0.8921283,0.148711484,0.8952465,0.166668674,0.9271357,0.113852741,0.86901915,0.205555322
3,3,50,1,0.941691,0.141348852,0.9342723,0.162892415,0.96080405,0.10905941,0.9180622,0.202245299
3,4,50,1,0.8600583,0.156591719,0.85387325,0.168247207,0.86231154,0.120227592,0.84389955,0.205981146
4,0,50,1,0.98847264,0.127446284,0.97209305,0.140182261,0.99570125,0.115574881,0.95254433,0.161068276
4,1,50,1,0.84149855,0.168875264,0.83343023,0.184096553,0.80924237,0.164434016,0.8547742,0.197003744
4,2,50,1,0.9423631,0.152894949,0.9258721,0.161733887,0.9290704,0.141234296,0.9188107,0.182458455
4,3,50,1,0.9481268,0.16027345,0.9156977,0.169699866,0.9468028,0.139958642,0.8885077,0.203063407
4,4,50,1,0.832853,0.178693256,0.81860465,0.191079263,0.79742074,0.174929182,0.8347627,0.20403193
0,0,75,1,0.8075802,0.287341438,0.810517,0.291318136,0.7772414,0.315162062,0.8300455,0.281001667
0,1,75,1,0.81341106,0.30649789,0.8108108,0.325335325,0.7772414,0.362167993,0.8295397,0.307813418
0,2,75,1,0.81341106,0.289673481,0.8111046,0.305253171,0.7772414,0.328223489,0.8290339,0.292054535
0,3,75,1,0.81341106,0.297533258,0.81227964,0.32055094,0.7772414,0.340611071,0.83105713,0.308950351
0,4,75,1,0.8075802,0.278996277,0.810517,0.291040051,0.7772414,0.308704182,0.8300455,0.282197154
1,0,75,1,0.80409354,0.280280258,0.7994118,0.286261421,0.74456185,0.309007497,0.83150184,0.257903884
1,1,75,1,0.80409354,0.2782067,0.80058825,0.278368074,0.74456185,0.304264866,0.8325484,0.252877384
1,2,75,1,0.80409354,0.31692743,0.79735297,0.326657977,0.74456185,0.372662804,0.8309786,0.28301632
1,3,75,1,0.8011696,0.308832345,0.7994118,0.318451834,0.74456185,0.34909757,0.8325484,0.283525719
1,4,75,1,0.80409354,0.350592807,0.79970586,0.344174458,0.74456185,0.398000515,0.8309786,0.304684014
2,0,75,1,0.81449276,0.32541731,0.8072219,0.35623605,0.76947635,0.409685682,0.8287037,0.324868086
2,1,75,1,0.8173913,0.250850889,0.81042516,0.277959993,0.76947635,0.298355064,0.83230454,0.257846301
2,2,75,1,0.8173913,0.20102321,0.81100756,0.241663323,0.76947635,0.253457808,0.8307613,0.236296214
2,3,75,1,0.8173913,0.278864539,0.81013393,0.314626086,0.76947635,0.339003907,0.8307613,0.288754983
2,4,75,1,0.81449276,0.24764857,0.80984277,0.271837584,0.76947635,0.290827719,0.83179015,0.257443674
