Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,25,1,0.9912537,0.046834473,0.9882491,0.055488839,1,0.020032832,0.9812848,0.07816681
0,1,25,1,0.9941691,0.049451839,0.98795533,0.067046379,1,0.030909316,0.9792615,0.090678938
0,2,25,1,0.9912537,0.045095481,0.9873678,0.062560257,1,0.021857195,0.97774404,0.088449552
0,3,25,1,0.99708456,0.033331602,0.9861927,0.054161973,1,0.01679668,0.97723824,0.07775817
0,4,25,1,1,0.042625787,0.9882491,0.066026947,1,0.030924755,0.9822964,0.085435893
1,0,25,1,0.9883041,0.058050556,0.9844118,0.073894904,1,0.031704258,0.9837781,0.078148422
1,1,25,1,0.99122804,0.047117734,0.98558825,0.062286774,1,0.023354165,0.981685,0.071894204
1,2,25,1,0.9883041,0.050544139,0.98588234,0.068998919,1,0.026986698,0.98325485,0.074439037
1,3,25,1,0.9883041,0.053455427,0.98764706,0.070951709,1,0.033672031,0.985348,0.077866606
1,4,25,1,0.9883041,0.049744776,0.9852941,0.066411804,1,0.023604737,0.9837781,0.073845628
2,0,25,1,0.9942029,0.038460818,0.988643,0.056519818,1,0.02682219,0.9835391,0.065311931
2,1,25,1,0.9942029,0.057613178,0.9892254,0.076648206,1,0.054131822,0.9835391,0.085347625
2,2,25,1,0.9942029,0.042407865,0.9895166,0.053710304,1,0.032101608,0.9845679,0.06064032
2,3,25,1,0.9971014,0.032609097,0.99184626,0.045312655,1,0.020705063,0.9886831,0.054310998
2,4,25,1,0.9942029,0.04757496,0.9892254,0.062185753,1,0.035834708,0.9835391,0.074690803
3,0,25,1,0.99708456,0.050256298,0.9867958,0.069468371,0.9994975,0.028281228,0.9730861,0.102097863
3,1,25,1,0.9912537,0.037002319,0.9900235,0.052119762,1,0.01249966,0.9814593,0.07860486
3,2,25,1,0.99708456,0.036430614,0.9900235,0.058190978,1,0.017269652,0.9820574,0.086688701
3,3,25,1,0.99708456,0.03111863,0.9882629,0.050313712,1,0.012229741,0.9778708,0.078496574
3,4,25,1,0.99708456,0.045745957,0.9876761,0.063052756,1,0.018171877,0.9778708,0.094249078
4,0,25,1,0.9942363,0.057388076,0.9877907,0.06391429,1,0.029452275,0.97884506,0.090160082
4,1,25,1,0.99135447,0.052088374,0.9901163,0.058648368,1,0.023879724,0.9794168,0.085600679
4,2,25,1,0.98847264,0.054050408,0.9883721,0.053011934,1,0.014992984,0.97884506,0.08566697
4,3,25,1,0.99135447,0.034523127,0.98953485,0.04770297,1,0.013720744,0.9805603,0.076610199
4,4,25,1,0.98559076,0.067939519,0.9880814,0.067818522,1,0.029222926,0.9771298,0.095442918
0,0,50,1,0.9912537,0.090166597,0.9856052,0.110923045,1,0.080171511,0.9762266,0.130477642
0,1,50,1,0.9912537,0.087875561,0.98325497,0.106332646,1,0.065827469,0.97420335,0.129114961
0,2,50,1,0.9912537,0.112613062,0.9861927,0.129653552,1,0.1049291,0.97723824,0.13784779
0,3,50,1,0.9912537,0.111294769,0.9853114,0.127038981,1,0.10366037,0.9787557,0.140689597
0,4,50,1,0.9912537,0.088065699,0.9894242,0.107780285,1,0.086689568,0.9812848,0.122753546
1,0,50,1,0.9883041,0.109601264,0.98735297,0.120009984,1,0.109654402,0.9863946,0.112695441
1,1,50,1,0.9883041,0.111459119,0.98588234,0.122280187,1,0.103516822,0.9848247,0.121040207
1,2,50,1,0.99122804,0.096675564,0.9844118,0.113111832,1,0.08831725,0.9843014,0.114854728
1,3,50,1,0.99122804,0.09162411,0.985,0.111659436,1,0.086289203,0.985348,0.111497171
1,4,50,1,0.9883041,0.100847119,0.9844118,0.112417906,1,0.090188848,0.9837781,0.106275324
2,0,50,1,0.9971014,0.09207537,0.99039024,0.10315745,1,0.092857854,0.9835391,0.108824756
2,1,50,1,0.99130434,0.120794214,0.988643,0.132800929,1,0.121122861,0.9830247,0.13312373
2,2,50,1,0.9971014,0.063619624,0.99097264,0.073263051,1,0.057756234,0.9850823,0.082425249
2,3,50,1,0.9971014,0.0909389,0.9880606,0.108830064,1,0.086547964,0.9840535,0.113954794
2,4,50,1,0.9971014,0.095491636,0.99039024,0.113330898,1,0.10238408,0.9840535,0.115296427
3,0,50,1,0.9941691,0.076342139,0.9891432,0.0939241,1,0.051273656,0.9784689,0.123854658
3,1,50,1,0.9941691,0.090441238,0.98796946,0.10632336,1,0.062071626,0.97906697,0.135478576
3,2,50,1,0.9941691,0.109581033,0.9894366,0.125851281,1,0.080262688,0.97906697,0.156355706
3,3,50,1,0.9941691,0.075391694,0.9882629,0.09612063,1,0.048160147,0.9814593,0.125783238
3,4,50,1,0.9941691,0.072061757,0.9876761,0.092704205,1,0.040862236,0.9784689,0.126459586
4,0,50,1,0.9971182,0.098394892,0.9872093,0.106538076,1,0.075111393,0.9799886,0.12842948
4,1,50,1,0.98847264,0.108572021,0.9875,0.109045842,1,0.082167128,0.9782733,0.129409327
4,2,50,1,0.98559076,0.118285958,0.9851744,0.124888386,1,0.095104614,0.9748428,0.145804845
4,3,50,1,0.98847264,0.109451689,0.9872093,0.111701146,1,0.080275511,0.9794168,0.13061371
4,4,50,1,0.99135447,0.092791131,0.9883721,0.091110441,1,0.061442402,0.9794168,0.113788185
0,0,75,1,0.97959185,0.225127474,0.9717979,0.242169625,0.9986207,0.237680642,0.96004045,0.242091549
0,1,75,1,0.97376096,0.204222212,0.96886015,0.230470109,0.9972414,0.220318462,0.9524532,0.229903911
0,2,75,1,0.9912537,0.195664225,0.979436,0.211982596,1,0.204682064,0.9686394,0.215432069
0,3,75,1,0.9825073,0.21302792,0.9747356,0.234903958,1,0.233495641,0.96307534,0.235251962
0,4,75,1,0.97959185,0.207304633,0.97679204,0.212123221,1,0.208807607,0.9656044,0.209033937
1,0,75,1,0.9795322,0.240509547,0.97588235,0.251688188,1,0.277136651,0.96807957,0.221604636
