Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,10,1,0.99708456,0.021145945,0.98971796,0.033063293,1,4.58E-05,0.9817906,0.058114596
0,1,10,1,0.9941691,0.017562335,0.9885429,0.034669402,1,5.11E-05,0.9812848,0.060973483
0,2,10,1,0.9941691,0.024127455,0.9882491,0.038623938,1,0.000158887,0.9802731,0.06420995
0,3,10,1,0.9883382,0.021224937,0.985899,0.041022203,1,0.000111713,0.97673243,0.071978626
0,4,10,1,0.9941691,0.023699798,0.9864865,0.040211727,1,9.18E-05,0.9797673,0.065169138
1,0,10,1,0.9883041,0.030468051,0.98558825,0.044701961,1,8.23E-05,0.985348,0.057327802
1,1,10,1,0.99122804,0.032943307,0.98882353,0.039036621,1,3.05E-05,0.985348,0.048287936
1,2,10,1,0.99122804,0.040929878,0.9867647,0.046358506,1,6.51E-05,0.985348,0.055519066
1,3,10,1,0.9883041,0.036487007,0.9882353,0.042943476,1,4.35E-05,0.985348,0.053550568
1,4,10,1,0.99122804,0.035123474,0.98764706,0.041451763,1,3.56E-05,0.98587126,0.048883473
2,0,10,1,0.9942029,0.034356919,0.9895166,0.036439486,1,3.56E-05,0.9845679,0.047814883
2,1,10,1,0.9971014,0.02840472,0.99155504,0.03132762,1,3.23E-05,0.9855967,0.044631388
2,2,10,1,0.9971014,0.025354749,0.99097264,0.031632096,1,2.33E-05,0.9866255,0.042181246
2,3,10,1,0.9942029,0.033081114,0.98835176,0.036514116,1,5.28E-05,0.9835391,0.048303595
2,4,10,1,0.9971014,0.028252582,0.99097264,0.033822406,1,3.52E-05,0.9855967,0.042124381
3,0,10,1,0.9941691,0.013384612,0.98884976,0.0335376,1,0.000143068,0.9784689,0.061716419
3,1,10,1,0.9912537,0.021681471,0.9900235,0.031644252,1,9.09E-05,0.9802632,0.057232119
3,2,10,1,0.9941691,0.016631653,0.9891432,0.033785253,1,0.000363434,0.97906697,0.06164714
3,3,10,1,0.9883382,0.022067311,0.9891432,0.035081961,1,0.000111405,0.9778708,0.063352252
3,4,10,1,0.9912537,0.02102134,0.9894366,0.032491044,1,0.000131667,0.9778708,0.059207206
4,0,10,1,0.9798271,0.047641525,0.9857558,0.041528478,1,0.000188213,0.9759863,0.078243745
4,1,10,1,0.9942363,0.034427787,0.9880814,0.039751728,1,0.000287891,0.9794168,0.071992239
4,2,10,1,0.99135447,0.03272411,0.9872093,0.035939297,1,9.17E-05,0.9771298,0.068486717
4,3,10,1,0.9942363,0.026407095,0.9880814,0.036454812,1,0.000181491,0.9782733,0.069385115
4,4,10,1,0.99135447,0.027853583,0.98953485,0.032717082,1,0.000143324,0.9822756,0.065277906
0,0,25,1,0.99708456,0.018363347,0.9876616,0.038429476,1,9.75E-05,0.9787557,0.067262507
0,1,25,1,0.9912537,0.025506524,0.98883665,0.037972353,1,7.74E-05,0.9797673,0.066759204
0,2,25,1,0.9912537,0.025770503,0.9853114,0.042530838,1,8.34E-05,0.9762266,0.072709039
0,3,25,1,0.9883382,0.025267178,0.9841363,0.040000538,1,0.000158105,0.9762266,0.070576532
0,4,25,1,0.9883382,0.028099555,0.987074,0.040814433,1,6.68E-05,0.9792615,0.065680529
1,0,25,1,0.9853801,0.035163591,0.9844118,0.050023822,1,0.000103421,0.9827316,0.059286233
1,1,25,1,0.99122804,0.044054283,0.98735297,0.045811432,1,4.52E-05,0.9884877,0.053629554
1,2,25,1,0.99122804,0.031057202,0.9841176,0.045798929,1,5.12E-05,0.9837781,0.057525211
1,3,25,1,0.99122804,0.033868367,0.9867647,0.046968121,1,6.94E-05,0.9843014,0.058718473
1,4,25,1,0.9883041,0.041991452,0.9852941,0.051282178,1,6.34E-05,0.981685,0.063895571
2,0,25,1,0.9971014,0.019621158,0.9895166,0.034153456,1,3.33E-05,0.9845679,0.043966252
