Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,9,1,0.9912537,0.029766022,0.9885429,0.032929632,1,3.23E-05,0.98077893,0.060111639
1,0,9,1,0.9883041,0.051085252,0.9870588,0.041737162,1,4.55E-05,0.9827316,0.056357756
2,0,9,1,0.9942029,0.041647907,0.99039024,0.035571576,1,3.09E-05,0.9861111,0.045552225
3,0,9,1,0.9912537,0.02467823,0.98884976,0.034303281,1,0.000146977,0.9784689,0.068293985
4,0,9,1,0.99135447,0.027021663,0.9872093,0.041401881,1,0.000153664,0.97770154,0.0856563
5,0,9,1,0.9942029,0.021105924,0.9886231,0.03886982,1,6.75E-05,0.9817106,0.054328785
6,0,9,1,0.9769452,0.072760425,0.9872464,0.039748358,1,1.89E-05,0.9807375,0.067857176
7,0,9,1,0.99418604,0.021224076,0.98717946,0.047770714,1,7.23E-05,0.98095757,0.054076862
8,0,9,1,0.98550725,0.029606783,0.98831433,0.033351095,1,6.73E-05,0.9794304,0.05823775
9,0,9,1,0.99710983,0.014049606,0.9880571,0.030339756,1,8.85E-05,0.9841357,0.050998653
10,0,9,1,0.98542273,0.042471196,0.9897089,0.033511279,1,9.70E-05,0.9814385,0.064619222
11,0,9,1,0.9885387,0.033496788,0.98844934,0.044101594,1,1.05E-05,0.98655635,0.054467614
12,0,9,1,0.9826087,0.040284901,0.99068415,0.028033394,1,4.12E-05,0.9860465,0.044882666
13,0,9,1,1,0.002979193,0.9871081,0.045927933,1,8.39E-05,0.9767693,0.079690432
14,0,9,1,0.98571426,0.026764346,0.98703915,0.044924485,1,0.000124412,0.979436,0.06608307
15,0,9,1,0.99122804,0.016188505,0.9920354,0.03054691,1,8.27E-05,0.98296124,0.056988891
16,0,9,1,0.96793,0.058895952,0.9858782,0.04813319,1,3.14E-05,0.979506,0.069506346
17,0,9,1,0.98550725,0.032013762,0.9892222,0.030680975,1,5.89E-05,0.9908522,0.03022081
18,0,9,1,0.9941349,0.029295472,0.98939306,0.032131477,1,3.18E-05,0.9889074,0.038542846
19,0,9,1,0.9825073,0.062093711,0.98827666,0.037302359,1,7.05E-05,0.98060465,0.053135126
0,0,12,1,0.20116618,6.625805976,0.20094007,6.652739198,0.3034483,6.880759434,0.14567527,6.489632836
1,0,12,1,0.19005848,1.19E-07,0.19088235,1.19E-07,0.25543815,1.19E-07,0.15541601,1.19E-07
2,0,12,1,0.20869565,10.55962327,0.20937683,10.79188221,0.32694763,10.53307597,0.1558642,10.67220015
3,0,12,1,0.19533528,6.890616916,0.19659625,7.162401502,0.17386934,9.64757089,0.20394737,5.458770296
4,0,12,1,0.34582132,8.032918971,0.33604652,8.01170075,0.45137024,11.16407302,0.25328758,5.700478718
5,0,12,1,0.18550725,6.49395738,0.18465577,6.488614912,0.21690308,5.1535991,0.17321141,7.378428959
6,0,12,1,0.2074928,10.59971185,0.20869565,10.73486167,0.031143827,12.79637249,0.29719317,9.801003761
7,0,12,1,0.19767442,6.700254828,0.1969697,6.678301805,0.3134415,6.125996889,0.14254625,7.041801265
8,0,12,1,0.1884058,7.615216117,0.1820041,7.468342929,0.18170267,7.435532348,0.17985232,7.56609707
9,0,12,1,0.10404624,1.599709354,0.11476842,1.600991391,0.07781283,1.600246754,0.13730854,1.600849243
10,0,12,1,0.21574344,3.95522113,0.21670097,3.960852175,0.21911038,5.3461748,0.21055685,3.212755797
11,0,12,1,0,4.005275053,0.002310136,4.26711899,0,3.416229756,0.003619442,4.633816901
12,0,12,1,0.2,6.594029404,0.19912663,6.419545648,0.30757576,6.665062335,0.13895349,6.192262545
13,0,12,1,0.20408164,5.736942332,0.20509815,5.897403417,0.21580547,4.274150401,0.18962723,6.701975491
14,0,12,1,0.09714286,7.717705411,0.08755761,8.083650875,0.060367454,8.482135891,0.10693302,7.605396068
15,0,12,1,0.2134503,9.802818321,0.21327433,9.818249843,0.1543443,7.77635047,0.2426557,10.79590405
16,0,12,1,0.6180758,1.576042405,0.6569579,1.389045384,0.7067524,1.398514812,0.64214396,1.410663471
17,0,12,1,0.19130434,11.67977924,0.18613458,11.63647198,0.1788026,13.45782726,0.19884449,11.02005041
18,0,12,1,0.74486804,1.418267574,0.73482615,1.426669459,0.88381743,1.376216683,0.7066001,1.43428507
19,0,12,1,0.005830904,1.282911358,0.003223916,1.249618589,0,1.148745526,0.002852253,1.257620703
