Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,1,1,0.9883382,0.035345287,0.9853114,0.04669899,1,0.000263131,0.9787557,0.071961089
1,0,1,1,0.99122804,0.034887344,0.9844118,0.050259989,1,0.000262894,0.9769754,0.067859779
2,0,1,1,0.9971014,0.035256266,0.9880606,0.045384581,1,0.000127933,0.9814815,0.061512081
3,0,1,1,0.9883382,0.026899252,0.9903169,0.038416766,1,0.000484818,0.97906697,0.064607391
4,0,1,1,0.99135447,0.024686223,0.98459303,0.04697919,1,0.00024728,0.9759863,0.08308963
5,0,1,1,0.99130434,0.048799175,0.9842474,0.047466514,1,0.000202136,0.97633135,0.075278544
6,0,1,1,0.98270893,0.075259954,0.97971016,0.053771021,1,0.000202117,0.9713814,0.07939914
7,0,1,1,0.9738372,0.050332477,0.9819347,0.059292924,1,0.0014548,0.9744287,0.073333252
8,0,1,1,0.9826087,0.054398551,0.98626935,0.039581593,1,0.000250924,0.97890294,0.064356559
9,0,1,1,0.99421966,0.022873243,0.98427033,0.044211499,1,0.00016863,0.97593,0.079219868
10,0,1,1,0.9883382,0.041855617,0.9850044,0.043543445,1,0.000161186,0.9721578,0.077475874
11,0,1,1,0.98567337,0.056444257,0.98556167,0.046186572,1,8.64E-05,0.9819028,0.051484172
12,0,1,1,0.9826087,0.067334836,0.98573506,0.044779827,1,0.000133633,0.977907,0.06501996
13,0,1,1,0.99708456,0.0105875,0.9859361,0.043053939,1,0.000284305,0.9778498,0.072726859
14,0,1,1,0.9942857,0.026588267,0.98790324,0.040071677,1,0.000574583,0.980611,0.065098044
15,0,1,1,0.9883041,0.029356336,0.9884956,0.03625379,1,0.000240114,0.98296124,0.053806438
16,0,1,1,0.9825073,0.058264978,0.98352456,0.050869306,1,0.000226584,0.9774041,0.060682963
17,0,1,1,0.99130434,0.0458506,0.9871832,0.040043421,1,0.000154409,0.98555607,0.044780517
18,0,1,1,0.9882698,0.036579258,0.9864467,0.04470806,1,0.00013856,0.9805879,0.057737439
19,0,1,1,0.97959185,0.070304741,0.98622507,0.044036058,1,0.000199669,0.97775245,0.067437782
0,0,3,1,0.9883382,0.031647758,0.98472387,0.044532243,1,0.000197903,0.97673243,0.068714528
1,0,3,1,0.9883041,0.036348552,0.9832353,0.052774692,1,0.000136905,0.9774987,0.067882301
2,0,3,1,0.9884058,0.042592279,0.98573095,0.046628463,1,0.000284616,0.9789095,0.063653232
3,0,3,1,0.9883382,0.029551443,0.9867958,0.041040942,1,0.000399596,0.97248805,0.076930632
4,0,3,1,0.98847264,0.027194723,0.98401165,0.047798936,1,0.000378968,0.9736993,0.081418007
5,0,3,1,0.99130434,0.032684189,0.9859977,0.047964858,1,0.000307082,0.9768693,0.072763821
6,0,3,1,0.98270893,0.069908783,0.98289853,0.044395544,1,0.000108204,0.9746835,0.068650822
7,0,3,1,0.97965115,0.0501954,0.9833916,0.060089371,1,0.001267303,0.9744287,0.077565052
8,0,3,1,0.9942029,0.039607801,0.9871458,0.037088666,1,0.000292669,0.9778481,0.0630433
9,0,3,1,0.9913295,0.030827083,0.9851442,0.044202378,1,0.000310711,0.9775711,0.076966554
10,0,3,1,0.98542273,0.041153195,0.98735666,0.037394296,1,9.87E-05,0.975058,0.063721163
11,0,3,1,0.98567337,0.039023081,0.98671675,0.041634007,1,8.17E-05,0.9829369,0.049415458
12,0,3,1,0.97971016,0.069455883,0.9860262,0.041594987,1,8.91E-05,0.98023254,0.061106642
13,0,3,1,0.99708456,0.013223292,0.9850571,0.046285293,1,0.000202595,0.9756888,0.079518364
14,0,3,1,0.9885714,0.030621154,0.98675114,0.038701953,1,0.000459223,0.98237365,0.060644292
15,0,3,1,0.99122804,0.02530019,0.9914454,0.032514998,1,0.00016601,0.98296124,0.055318783
16,0,3,1,0.97959185,0.059860262,0.9820535,0.053291914,1,0.000293982,0.97530216,0.066641018
17,0,3,1,0.9884058,0.043666872,0.9895135,0.037896315,1,0.000104542,0.98651904,0.044775327
18,0,3,1,0.9824047,0.044157172,0.9864467,0.042434393,1,0.000118542,0.98280644,0.054105699
19,0,3,1,0.97959185,0.070738363,0.9868113,0.042613883,1,0.000250205,0.97775245,0.075055216
0,0,8,1,0.9912537,0.05161927,0.9811986,0.054721388,1,0.000546384,0.9731917,0.087008289
1,0,8,1,0.9853801,0.049582136,0.9802941,0.060723095,1,0.000498143,0.9764521,0.08387296
2,0,8,1,0.9942029,0.038204673,0.98223644,0.054582451,1,0.0004181,0.97530866,0.071826539
3,0,8,1,0.9912537,0.025748592,0.9853286,0.048015857,1,0.001365241,0.9736842,0.08395992
4,0,8,1,0.98847264,0.040486332,0.9834302,0.050073993,1,0.000763476,0.97141224,0.097072404
5,0,8,1,0.9884058,0.048960797,0.9827888,0.059804744,1,0.000895012,0.9741797,0.08694069
6,0,8,1,0.98270893,0.077671196,0.9826087,0.056050187,1,0.000345291,0.97578424,0.087142215
7,0,8,1,0.9883721,0.030897017,0.98397434,0.058779374,1,0.001036397,0.976605,0.07257611
8,0,8,1,0.9768116,0.057964637,0.9830558,0.048146869,1,0.000602963,0.9757384,0.076355312
9,0,8,1,0.9913295,0.030385159,0.9807748,0.049437923,1,0.000936335,0.9742888,0.084386588
10,0,8,1,0.97959185,0.068254696,0.9855925,0.048125787,1,0.00064273,0.9721578,0.086980049
11,0,8,1,0.982808,0.057161271,0.9823852,0.05561571,1,0.000209259,0.9793175,0.065025085
12,0,8,1,0.9710145,0.063968659,0.98748183,0.045434226,1,0.000394642,0.98139536,0.060242566
13,0,8,1,0.99708456,0.014706066,0.9809552,0.057380938,1,0.00073344,0.96920586,0.094739611
14,0,8,1,0.98571426,0.040474537,0.98531103,0.054229985,1,0.000589399,0.97414804,0.082307194
15,0,8,1,0.99122804,0.029160233,0.9882006,0.044634994,1,0.000993065,0.97708577,0.075084489
16,0,8,1,0.96793,0.077033779,0.98087674,0.060353389,1,0.000465974,0.9716238,0.084275453
17,0,8,1,0.98550725,0.052181836,0.98368776,0.048635968,1,0.000703604,0.98363024,0.05183723
18,0,8,1,0.98533726,0.0550664,0.9867413,0.049524047,1,0.000294252,0.9839157,0.058462957
19,0,8,1,0.9825073,0.097244315,0.9841735,0.055177305,1,0.000649143,0.9731888,0.087761927
