Run Num,Mutation Num,Percentage,StdDev,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff
0,0,1,1,0.9941691,0.014041848,0.9882491,0.036032065,1,5.27E-05,0.98077893,0.063219385
1,0,1,1,0.99122804,0.031294888,0.9864706,0.044318282,1,4.46E-05,0.9848247,0.049072401
2,0,1,1,0.9971014,0.022308624,0.9912638,0.031294504,1,1.74E-05,0.9850823,0.044172759
3,0,1,1,0.9941691,0.018916662,0.99119717,0.030638191,1,0.000432482,0.9826555,0.054744918
4,0,1,1,0.9942363,0.030534401,0.9898256,0.035591512,1,7.43E-05,0.9817038,0.068466099
5,0,1,1,0.9942029,0.018834303,0.99008167,0.033265981,1,3.12E-05,0.9865519,0.050074638
6,0,1,1,0.98559076,0.053884257,0.98811597,0.036389634,1,1.47E-05,0.98128784,0.064145035
7,0,1,1,0.99418604,0.014518213,0.9892191,0.042305963,1,0.000190292,0.984222,0.044925771
8,0,1,1,0.9942029,0.026626294,0.99123573,0.027446747,1,4.83E-05,0.9836498,0.050190677
9,0,1,1,0.99421966,0.015120755,0.9906787,0.029344804,1,6.21E-05,0.98468274,0.056151227
10,0,1,1,0.9912537,0.022110115,0.9885328,0.032917577,1,5.84E-05,0.98085845,0.055213789
11,0,1,1,0.9885387,0.034618027,0.9901819,0.032163042,1,1.18E-05,0.9875905,0.036790267
12,0,1,1,0.9768116,0.061424439,0.99097526,0.027986114,1,2.09E-05,0.9848837,0.045353352
13,0,1,1,0.99708456,0.006411124,0.9903311,0.034104566,1,2.74E-05,0.98487306,0.064122706
14,0,1,1,0.9885714,0.024905642,0.98847926,0.033039793,1,4.79E-05,0.9853114,0.048872825
15,0,1,1,0.99415207,0.013066553,0.9914454,0.025614019,1,0.000125669,0.9841363,0.046192178
16,0,1,1,0.9825073,0.060589624,0.9873492,0.040343855,1,3.16E-05,0.98318446,0.047959186
17,0,1,1,0.98550725,0.045862693,0.99097,0.031640398,1,5.93E-05,0.9918151,0.028617691
18,0,1,1,0.9882698,0.045501475,0.9914555,0.028762048,1,2.53E-05,0.9872435,0.040618597
19,0,1,1,0.98542273,0.055447478,0.99150056,0.032497099,1,2.68E-05,0.9863092,0.043614213
