"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,5,-0.531815350055695,0.659282982349396,-0.0260622935457297,-0.0363640838218944,0.100465892863455,1,"negligible",1,"nk","bla bla","nk",1.28110054768703e-34,"nk",25,25,25
"2",2,10,-0.560138761997223,0.602324664592743,-0.0105604960431211,-0.0363640838218944,0.104854894583713,1,"small",1,"nk","bla bla","nk",4.81739145707973e-197,"k",25,25,25
"3",3,25,-0.499718725681305,0.665601015090942,0.0341015588768676,-0.0363640838218944,0.118298930797723,1,"medium",1,"nk","bla bla","nk",0,"k",25,25,25
"4",4,50,-0.498034328222275,0.706354796886444,0.0958600351350714,-0.0363640838218944,0.132217878970846,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
"5",5,75,-0.628393471240997,0.696391999721527,0.164802321347282,-0.0363640838218944,0.143986844783492,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
"6",6,80,-0.535271644592285,0.726991534233093,0.180301801786084,-0.0363640838218944,0.14071640123906,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
"7",7,85,-0.538567662239075,0.896114826202393,0.200482381213116,-0.0363640838218944,0.138432801320846,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
"8",8,90,-0.577529013156891,0.815666496753693,0.21139222677921,-0.0363640838218944,0.142712033724402,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
"9",9,95,-0.541422605514526,0.705868303775787,0.231641405844825,-0.0363640838218944,0.139107227944398,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
"10",10,99,-0.539651274681091,0.733529686927795,0.234437407212275,-0.0363640838218944,0.140805183951114,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
"11",11,100,-0.763300597667694,0.680552303791046,0.238741159221574,-0.0363640838218944,0.142658761013874,1,"large",1,"nk","bla bla","nk",0,"k",25,25,25
