"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,1,-0.288247108459473,0.228768244385719,-0.0360247769393027,-0.0363640838218944,0.0970437576593613,1,"negligible",0.950070408318507,"nk","bla bla","nk",0.970190359825567,"nk",2,0,0
"2",2,2,-0.358932703733444,0.113707594573498,-0.0363969742693007,-0.0363640838218944,0.102333229120264,1,"negligible",0.955714562394178,"nk","bla bla","nk",0.728898587905566,"nk",0,0,0
"3",3,3,-0.31805881857872,0.196816459298134,-0.0281830380763859,-0.0363640838218944,0.108104176712713,1,"negligible",0.961337874937332,"nk","bla bla","nk",0.614152003347996,"nk",0,0,0
"4",4,4,-0.292540013790131,0.0968822091817856,-0.0376832070574164,-0.0363640838218944,0.0941854299186221,1,"negligible",0.955329086788356,"nk","bla bla","nk",0.738377997448149,"nk",0,0,0
"5",5,5,-0.12189182639122,0.299972683191299,-0.000637829937040806,-0.0363640838218944,0.0933716389135461,1,"negligible",0.950007743410923,"nk","bla bla","nk",0.990115208004013,"nk",1,1,0
"6",6,6,-0.137031272053719,0.23567271232605,0.0248214565496892,-0.0363640838218944,0.0796280296817929,1,"small",0.976635683475849,"nk","bla bla","nk",0.387088249799992,"nk",0,0,0
"7",7,7,-0.228938177227974,0.108822993934155,-0.0237635482475162,-0.0363640838218944,0.0677261921672237,1,"negligible",0.966540187699378,"nk","bla bla","nk",0.528946737595528,"nk",0,0,0
"8",8,8,-0.248120322823524,0.19009692966938,-0.0357399275538046,-0.0363640838218944,0.086299683736685,1,"negligible",0.956295494174504,"nk","bla bla","nk",0.715160842287599,"nk",0,0,0
"9",9,9,-0.392741471529007,0.0635474696755409,-0.0553970094770193,-0.0363640838218944,0.0956623005207818,1,"negligible",0.955284743785636,"nk","bla bla","nk",0.73948884398173,"nk",0,0,0
"10",10,10,-0.181483373045921,0.105654187500477,-0.0282308266789187,-0.0363640838218944,0.0642226121684442,1,"negligible",0.964433314217398,"nk","bla bla","nk",0.56193619953456,"nk",0,0,0
"11",11,11,-0.156180217862129,0.125084713101387,-0.00460158408619463,-0.0363640838218944,0.0622755413578822,1,"small",0.988347971190791,"nk","bla bla","nk",0.233074306144077,"nk",2,0,0
"12",12,12,-0.222877040505409,0.119518369436264,-0.0418928516842425,-0.0363640838218944,0.0855824647427747,1,"negligible",0.953430893933948,"nk","bla bla","nk",0.790762351992321,"nk",0,0,0
"13",13,13,-0.147700443863869,0.224357977509499,0.00363162191468291,-0.0363640838218944,0.073547172399328,1,"negligible",0.950870522358824,"nk","bla bla","nk",0.895047629029492,"nk",0,0,0
"14",14,14,-0.363296240568161,0.0756146982312202,-0.0775883471406996,-0.0363640838218944,0.121110198609511,1,"negligible",0.950052417384334,"nk","bla bla","nk",0.974280059143568,"nk",1,0,0
"15",15,15,-0.144440427422523,0.259990513324738,-0.0198061162338126,-0.0363640838218944,0.076537756929267,1,"negligible",0.95140088507726,"nk","bla bla","nk",0.866746967933339,"nk",0,0,0
"16",16,16,-0.0957229435443878,0.0790057331323624,-0.0185545311961323,-0.0363640838218944,0.0476854526794625,1,"small",0.983613123628631,"nk","bla bla","nk",0.295834668849216,"nk",0,0,0
"17",17,17,-0.169474616646767,0.450001150369644,-0.00263169640791602,-0.0363640838218944,0.117968584915106,1,"negligible",0.953493839165063,"nk","bla bla","nk",0.78882927207239,"nk",1,0,0
"18",18,18,-0.297855526208878,0.239427238702774,-0.0368174145091325,-0.0363640838218944,0.108517549809124,1,"small",0.978957928102717,"nk","bla bla","nk",0.356527627821917,"nk",0,0,0
"19",19,19,-0.212133571505547,0.192198142409325,-0.0324162864417303,-0.0363640838218944,0.090585152827771,1,"negligible",0.968103385390329,"nk","bla bla","nk",0.505479475543679,"nk",0,0,0
"20",20,20,-0.236915275454521,0.0423740185797215,-0.0343082346115261,-0.0363640838218944,0.059222351191057,1,"small",0.97579702644518,"nk","bla bla","nk",0.398233784424887,"nk",0,0,0
"21",21,21,-0.403959572315216,0.192488387227058,-0.0207259145565331,-0.0363640838218944,0.117234677586208,1,"negligible",0.95897122738297,"nk","bla bla","nk",0.658319845406372,"nk",2,0,0
"22",22,22,-0.094935305416584,0.238057568669319,0.0209446336771362,-0.0363640838218944,0.0830573996258036,1,"small",0.972799099922414,"nk","bla bla","nk",0.438763899512167,"nk",0,0,0
"23",23,23,-0.273038566112518,0.0533198788762093,-0.0398128326237202,-0.0363640838218944,0.0919719769954986,1,"negligible",0.967209989228323,"nk","bla bla","nk",0.518797222506952,"nk",0,0,0
