for 2, error:No module named mutant2
for 3, error:No module named mutant3
for 4, error:No module named mutant4
for 5, error:No module named mutant5
for 6, error:No module named mutant6
for 7, error:No module named mutant7
for 8, error:No module named mutant8
for 9, error:No module named mutant9
for 10, error:No module named mutant10
for 11, error:No module named mutant11
for 12, error:No module named mutant12
for 13, error:No module named mutant13
for 14, error:No module named mutant14
for 15, error:No module named mutant15
for 16, error:No module named mutant16
for 17, error:No module named mutant17
for 18, error:No module named mutant18
for 19, error:No module named mutant19
for 20, error:No module named mutant20
for 21, error:No module named mutant21
for 22, error:No module named mutant22
for 23, error:No module named mutant23
for 24, error:No module named mutant24
for 25, error:No module named mutant25
for 26, error:No module named mutant26
for 27, error:No module named mutant27
for 28, error:No module named mutant28
for 29, error:No module named mutant29
for 30, error:No module named mutant30
for 31, error:No module named mutant31
for 32, error:No module named mutant32
for 33, error:No module named mutant33
for 34, error:No module named mutant34
for 35, error:No module named mutant35
for 36, error:No module named mutant36
for 37, error:No module named mutant37
for 38, error:No module named mutant38
for 39, error:No module named mutant39
for 40, error:No module named mutant40
for 41, error:No module named mutant41
for 42, error:No module named mutant42
for 43, error:No module named mutant43
for 44, error:No module named mutant44
for 45, error:No module named mutant45
for 46, error:No module named mutant46
for 47, error:No module named mutant47
for 48, error:No module named mutant48
for 49, error:No module named mutant49
for 50, error:No module named mutant50
for 51, error:No module named mutant51
for 52, error:No module named mutant52
for 53, error:No module named mutant53
for 54, error:No module named mutant54
for 55, error:No module named mutant55
for 56, error:No module named mutant56
for 57, error:No module named mutant57
for 60, error:No module named mutant60
for 61, error:No module named mutant61
for 62, error:No module named mutant62
for 63, error:No module named mutant63
for 64, error:No module named mutant64
for 84, error:No module named mutant84
for 85, error:No module named mutant85
for 86, error:No module named mutant86
for 87, error:No module named mutant87
for 92, error:No module named mutant92
errNum:66
